centers,pdf
-89.0909090909091,0.0005457628953398164
-87.27272727272728,0.0003274577372038898
-85.45454545454545,0.00019845923466902413
-83.63636363636364,0.0001786133112021217
-81.81818181818181,0.00011907554080141448
-80.0,9.922961733451206e-05
-78.18181818181819,9.922961733451206e-05
-76.36363636363637,0.00011907554080141448
-74.54545454545455,0.0001488444260017681
-72.72727272727272,0.0001587673877352193
-70.9090909090909,0.0001587673877352193
-69.0909090909091,0.00012899850253486568
-67.27272727272728,4.961480866725603e-05
-65.45454545454545,0.00011907554080141448
-63.63636363636364,9.922961733451206e-05
-61.81818181818181,0.00019845923466902413
-60.0,0.0001786133112021217
-58.18181818181819,0.00011907554080141448
-56.36363636363636,0.00018853627293557293
-54.54545454545455,0.0001389214642683169
-52.727272727272734,0.0001587673877352193
-50.90909090909091,0.0001786133112021217
-49.09090909090909,0.0001786133112021217
-47.27272727272727,0.0001786133112021217
-45.45454545454545,0.0002679199668031826
-43.63636363636364,0.00020838219640247535
-41.81818181818182,0.0002778429285366338
-40.0,0.00037707254587114586
-38.18181818181819,0.00037707254587114586
-36.36363636363636,0.00039691846933804825
-34.54545454545455,0.0005953777040070724
-32.727272727272734,0.0004663792014722067
-30.90909090909091,0.000813682862142999
-29.090909090909093,0.001101448752413084
-27.272727272727277,0.0012602161401483033
-25.454545454545457,0.0013197539105490104
-23.63636363636364,0.0017662871885543148
-21.81818181818182,0.002123513810958558
-20.0,0.0027188915149656307
-18.181818181818187,0.0041477980045826045
-16.363636363636367,0.005467551915131615
-14.545454545454547,0.007283453912353186
-12.727272727272734,0.01012142096812023
-10.909090909090914,0.013594457574828153
-9.090909090909093,0.020441301170909486
-7.272727272727273,0.027982752088332404
-5.454545454545453,0.03933462031140058
-3.6363636363636402,0.05045826041459939
-1.8181818181818201,0.06161166940299854
0.0,0.06520378155050788
1.818181818181813,0.0571661825464124
3.636363636363633,0.045119707002002636
5.454545454545453,0.032249625633716424
7.272727272727266,0.023219730456275824
9.090909090909086,0.015837046926588126
10.909090909090907,0.012433471052014361
12.72727272727272,0.008454363396900429
14.54545454545454,0.006072852580872139
16.36363636363636,0.004217258736716763
18.18181818181818,0.0034928825301748247
20.0,0.0025799700506973135
21.818181818181813,0.0020441301170909484
23.636363636363633,0.0016968264564201562
25.454545454545453,0.001299907987082108
27.272727272727266,0.001299907987082108
29.090909090909086,0.0008037599004095477
30.909090909090907,0.0007342991682753893
32.72727272727272,0.0005556858570732676
34.54545454545454,0.0004862251249391091
36.36363636363636,0.0004961480866725604
38.18181818181818,0.00039691846933804825
40.0,0.0003175347754704386
41.81818181818181,0.0003175347754704386
43.636363636363626,0.00028776589027008497
45.45454545454544,0.00023815108160282896
47.272727272727266,0.00018853627293557293
49.09090909090909,0.0001786133112021217
50.90909090909091,0.0001786133112021217
52.72727272727272,0.0002480740433362802
54.54545454545453,0.0001587673877352193
56.36363636363636,7.938369386760965e-05
58.18181818181819,0.00012899850253486568
60.0,0.0001389214642683169
61.81818181818181,0.00018853627293557293
63.636363636363626,9.922961733451206e-05
65.45454545454544,7.938369386760965e-05
67.27272727272727,0.0001389214642683169
69.0909090909091,0.0001587673877352193
70.9090909090909,0.00010915257906796327
72.72727272727272,0.00010915257906796327
74.54545454545453,0.00012899850253486568
76.36363636363636,0.0001488444260017681
78.18181818181819,0.0001488444260017681
80.0,0.00011907554080141448
81.81818181818181,0.0001389214642683169
83.63636363636363,0.0002976888520035362
85.45454545454544,0.00018853627293557293
87.27272727272727,0.0003274577372038898
89.0909090909091,0.0007144532448084868
