bins,hist
-30.062469877284695,3.3329941654762004e-05
-30.002224446668894,6.249364060267876e-05
-29.941979016053093,4.582866977529775e-05
-29.881733585437292,6.665988330952401e-05
-29.82148815482149,2.0831213534226252e-05
-29.76124272420569,5.416115518898826e-05
-29.70099729358989,2.9163698947916754e-05
-29.64075186297409,6.665988330952401e-05
-29.580506432358288,3.3329941654762004e-05
-29.520261001742487,6.249364060267876e-05
-29.460015571126686,5.832739789583351e-05
-29.399770140510885,5.832739789583351e-05
-29.339524709895084,7.499236872321451e-05
-29.279279279279283,2.9163698947916754e-05
-29.219033848663482,4.582866977529775e-05
-29.15878841804768,7.915861143005976e-05
-29.09854298743188,4.1662427068452503e-05
-29.03829755681608,6.665988330952401e-05
-28.97805212620028,5.832739789583351e-05
-28.917806695584478,6.249364060267876e-05
-28.857561264968673,5.416115518898826e-05
-28.797315834352872,9.582358225744077e-05
-28.73707040373707,5.832739789583351e-05
-28.67682497312127,4.999491248214301e-05
-28.61657954250547,7.082612601636926e-05
-28.55633411188967,7.915861143005976e-05
-28.496088681273868,6.665988330952401e-05
-28.435843250658067,6.249364060267876e-05
-28.375597820042266,8.749109684375026e-05
-28.315352389426465,8.749109684375026e-05
-28.255106958810664,7.915861143005976e-05
-28.194861528194863,7.915861143005976e-05
-28.134616097579062,6.665988330952401e-05
-28.07437066696326,7.082612601636926e-05
-28.01412523634746,5.416115518898826e-05
-27.95387980573166,7.915861143005976e-05
-27.89363437511586,7.915861143005976e-05
-27.833388944500058,7.082612601636926e-05
-27.773143513884257,7.499236872321451e-05
-27.712898083268456,7.915861143005976e-05
-27.652652652652655,2.9163698947916754e-05
-27.592407222036854,6.665988330952401e-05
-27.532161791421053,0.00010415606767113127
-27.471916360805253,7.915861143005976e-05
-27.41167093018945,8.332485413690501e-05
-27.35142549957365,6.249364060267876e-05
-27.29118006895785,5.416115518898826e-05
-27.23093463834205,7.082612601636926e-05
-27.170689207726248,5.416115518898826e-05
-27.110443777110447,0.00010415606767113127
-27.050198346494646,6.249364060267876e-05
-26.989952915878845,7.499236872321451e-05
-26.929707485263044,6.249364060267876e-05
-26.869462054647244,5.416115518898826e-05
-26.809216624031443,5.416115518898826e-05
-26.748971193415642,7.499236872321451e-05
-26.68872576279984,9.582358225744077e-05
-26.628480332184036,8.332485413690501e-05
-26.568234901568236,8.332485413690501e-05
-26.507989470952435,5.832739789583351e-05
-26.447744040336634,7.082612601636926e-05
-26.387498609720833,7.915861143005976e-05
-26.327253179105032,7.915861143005976e-05
-26.26700774848923,6.665988330952401e-05
-26.20676231787343,9.998982496428602e-05
-26.14651688725763,7.082612601636926e-05
-26.08627145664183,5.832739789583351e-05
-26.026026026026027,7.499236872321451e-05
-25.965780595410227,6.249364060267876e-05
-25.905535164794426,7.499236872321451e-05
-25.845289734178625,9.998982496428602e-05
-25.785044303562824,8.749109684375026e-05
-25.724798872947023,8.749109684375026e-05
-25.664553442331222,7.499236872321451e-05
-25.60430801171542,0.00010415606767113127
-25.54406258109962,6.665988330952401e-05
-25.48381715048382,9.998982496428602e-05
