rei,a,cf,cfc,cfcrei,epsilon,epsilonc,eta,etac,fic,ficfn,foc,g,gc,gstd,jlamc,lambc,lambda,mu,muc,nuw,nuwc,nuwta,nuwtac,reic,reoc,rho,ta,tac,tempavg,tempavgstd,tempbot,tempmid,temptop,time,torque,torquestd,dr
265438.10174298874,0.0,0.0050852210851278674,0.004612445428687407,0.03195138640583524,0.08488824012173041,0.08488824012173041,7.928155607338076e-05,8.223640938250526e-05,4.00173301256836,-4.007434158570933,0.0,358302188.07397383,324990646.7791145,121574496.22581682,6.502438862201217e-06,0.0003383322952669031,0.00032222123358752674,1.4966556567939507e-06,1.5714884396336486e-06,129.59325261306466,123.42214534577585,0.005025147707483831,0.004785854959508409,252798.19213617968,0.0,1032.0440046179297,106816486124.41992,96885701700.15414,19.361677856329425,0.03035627460562285,19.40233259533268,19.33704860317745,19.345652370479023,59.869256584142896,2.7895744250508523,0.9464889850681476,-0.3288597361709389
276539.8446216949,0.0,0.005039969754803557,0.004571401138143815,0.03166706391201121,0.09513812908268808,0.09513812908268808,7.706385817274655e-05,7.993605704993402e-05,4.168516877676378,-4.173407671024772,0.0,385491982.22087085,349652591.5835563,117688054.0132208,6.772496693365517e-06,0.00032772693001247363,0.00031212088572616536,1.496446654740957e-06,1.5712689874780046e-06,133.8087751327716,127.43692869787772,0.005021310838326196,0.004782200798405901,263371.28059209033,0.0,1032.0430899851954,115959226780.98358,105178436989.55428,19.365789073322073,0.03122260682330685,19.40790315523332,19.341921695915087,19.347542368818907,59.8567896690707,3.0003611890246216,0.916039538041968,-0.5894289580945067
287641.587500401,0.0,0.004974936421121892,0.004512413987412146,0.03125844742534566,0.10556896643843806,0.10556896643843806,7.507380204486026e-05,7.787183078429986e-05,4.3340393428572925,-4.339014488835474,0.0,411665775.2987839,373392993.4682846,125726830.62497358,7.038455517564601e-06,0.00031923679319765825,0.00030403504114062685,1.4958240150776716e-06,1.5706152158315546e-06,137.3686250143007,130.82726191838162,0.0049954976036822385,0.004757616765411654,273944.3690480009,0.0,1032.0403651956076,125480396706.71338,113814418781.59946,19.378036832266666,0.03471361677468491,19.42408185788264,19.34937226576207,19.36065637315707,59.85212725164743,3.2013538265205064,0.9777778891429622,-0.2487700263508419
298743.33037910715,0.0,0.004920948127900339,0.004463445013968561,0.030919228974616294,0.11684891451145077,0.11684891451145075,7.317310688118817e-05,7.590029599950815e-05,4.4991344095423935,-4.504082397337852,0.0,439297623.55039436,398455894.3767749,136527911.31276065,7.3030296363310515e-06,0.0003107624877273958,0.00029596427402609133,1.495101380303004e-06,1.5698564493181543e-06,141.128730594508,134.4083148519124,0.004978882997933935,0.004741793331365652,284517.4575039116,0.0,1032.0372028083943,135359829046.44048,122775355144.1637,19.392251565196474,0.03739160150573916,19.44245204077094,19.36092316770893,19.373379487112146,59.857201469664815,3.412907964290442,1.0607213604110346,-0.026536577945845963
309845.0732578133,0.0,0.004864977759531853,0.004412678239938189,0.030567556778446,0.1286435385886784,0.1286435385886784,7.139746048697148e-05,7.405847059867697e-05,4.6640630059509585,-4.668781514090651,0.0,467088591.6840484,423663121.70888734,140186777.02485505,7.5670675180993045e-06,0.0003030467171858168,0.0002886159211293494,1.494373664815036e-06,1.5690923480557878e-06,144.7004398178605,137.80994268367675,0.004958285255743669,0.004722176434041591,295090.54595982225,0.0,1032.0340181870133,145595309846.04544,132059237955.59676,19.40656623932092,0.038388766280399916,19.45877899644453,19.375553536440734,19.385366185079967,59.865425184141856,3.6252908052994366,1.0880877269396696,0.24258697489100145
320946.8161365195,0.0,0.004796276655112529,0.004350364313027237,0.030135895008571494,0.14068778302975038,0.14068778302975038,6.977711163250338e-05,7.237773073510547e-05,4.828517302184976,-4.8333393553225,0.0,494093050.5729185,448156961.97090113,137148643.51466456,7.82957056439199e-06,0.00029671390619522166,0.00028258467256687785,1.4935513898495166e-06,1.5682289593419925e-06,147.78340492017426,140.74609992397546,0.0049229756353731035,0.004688548224164861,305663.6344157328,0.0,1032.0304197553744,156187225745.40466,141666417909.66406,19.42274096470014,0.03884712395435233,19.4753069572702,19.392695156536195,19.400220780295797,59.86182397807428,3.8306571732767103,1.0633093781202672,0.7076743080350778
332048.55901522556,0.0,0.004742813085252156,0.004301871279140277,0.029799973491955418,0.15364128917873626,0.15364128917873626,6.820385441931291e-05,7.074583763593166e-05,4.9915484438763675,-4.997768720005097,0.0,522935806.26435137,474318191.62299436,147073427.93073905,8.087462120483304e-06,0.0002899859536535681,0.0002761770987176839,1.4923522609375184e-06,1.566969873984394e-06,151.1987129867721,143.9987742731164,0.004901435897090983,0.004668034187705699,316236.7228716435,0.0,1032.025172139191,167150625938.16968,151610545068.6346,19.446328671561204,0.04247572906640905,19.504064061946327,19.411210457540182,19.42371149519873,59.85050295599638,4.047821843636759,1.1385095127173912,1.2372391534135496
343150.30189393176,0.0,0.004693511928034225,0.0042571536762215185,0.02949020518529677,0.16744602131733288,0.1674460213173329,6.67235788924698e-05,6.921039168540438e-05,5.154118519290508,-5.160698120680354,0.0,552720509.7804163,501333795.7191984,164873727.87517178,8.343874669198087e-06,0.00028359184116527576,0.000270087467776453,1.4911102192587174e-06,1.5656657302216534e-06,154.62125339463483,147.25833656631886,0.00488237142037371,0.004649877543213056,326809.81132755405,0.0,1032.019736728578,178545856796.57587,161946355371.04382,19.47076050264761,0.04287782755024102,19.528368900820727,19.43467545449903,19.449237152624093,59.859007083684155,4.271163715381803,1.2742252369039522,1.6964380117955535
354252.0447726379,0.0,0.004654801839136914,0.004222042484477926,0.02924698252349757,0.18228302787333275,0.18228302787333275,6.52883247023708e-05,6.772164503371539e-05,5.316234909575922,-5.323061699742516,0.0,584257607.1323125,529938872.68236965,181601618.06033403,8.598831462756731e-06,0.00027701407689087633,0.0002638229303722631,1.489817373991089e-06,1.564308242690644e-06,158.3062384772619,150.76784616882085,0.004872992093307287,0.0046409448507688435,337382.8997834647,0.0,1032.0140789917982,190305187984.79825,172612415405.71265,19.496191675963843,0.0474165528039903,19.558254093337354,19.457766698968424,19.472554235587573,59.86281225410092,4.5069590652941125,1.4010709728529092,1.8562656470576422
365353.7876513441,0.0,0.004609758483934086,0.004181186833500303,0.028963966775901087,0.19733581515246648,0.19733581515246648,6.394947979625506e-05,6.633290087615738e-05,5.476752103072138,-5.483860784187937,0.0,615374988.3770049,558163254.7637231,171644947.45382807,8.848629881921809e-06,0.00027121513825105416,0.0002583001316676706,1.4881710148759997e-06,1.5625795656197994e-06,161.6794308569289,153.98041033993232,0.0048556662191882325,0.004624444018274507,347955.9882393753,0.0,1032.0068742111864,202419702876.10226,183600637529.34445,19.52857671464168,0.04881849328840525,19.591665422041327,19.48681674755589,19.50724797432786,59.86450094528351,4.736417324939182,1.3215139666265745,2.1880262915067283
