a,cf,epsilon,eta,fic,ficfn,foc,g,grei,gstd,lambda,mu,nuw,rei,reo,rho,ta,tempavg,tempavgstd,tempbot,tempmid,temptop,time,torque,torquestd
-0.0,0.04808246078905026,0.5704289754360362,0.00025184416231102734,6.590137631534994,6.6,0.0,18827107.831676677,0.0665126876170649,3942375.95135376,0.001145786472145682,1.31899468e-05,36.443200634043194,49600.76744451168,0.0,946.4937799541286,3729502848.751717,21.12427876977927,0.07771180218959536,21.201602932122743,21.04284145823972,21.1283919189729,59.86,10.440760174848476,2.186283851730036
-0.0,0.04762505864735624,0.6181085779138648,0.0002468403140287862,6.790461165859423,6.8,0.0,19798943.564736303,0.06627569511209602,3189141.687850679,0.0011226647013921928,1.31899468e-05,37.193764297030754,51108.50546080775,0.0,946.3956719057048,3959683861.6208043,21.247929437646377,0.05570871575284898,21.300870784957915,21.18451746846087,21.25840005951746,59.86,10.978563268476831,1.7683869686141016
-0.0,0.04727127882715057,0.669574726048663,0.00024195384040987805,6.991280942041111,7.0,0.0,20831417.10359218,0.06616794033764942,2443227.5419071186,0.001098577640094115,1.31899468e-05,38.00926285428528,52619.97844871357,0.0,946.487871005882,4197352879.42882,21.131726423110194,0.06359248373985506,21.111452548652203,21.166946945448107,21.116779775231006,59.86,11.552197724777173,1.3549077103288032
-0.0,0.04691694684189307,0.7227981107170753,0.00023737120295782508,7.189829797895427,7.2,0.0,21866280.556581654,0.0660408079995204,2180755.155787905,0.0010763078537141153,1.31899468e-05,38.795709000994364,54114.35932150118,0.0,946.6697362826117,4439143589.70144,20.902485258818775,0.08692586065913097,20.8581007635389,21.001262679022588,20.848092333892094,59.86,12.128417975015303,1.2095843169177685
-0.0,0.04643759544635253,0.776775694368036,0.000233135482024478,7.389779652522456,7.4,0.0,22863391.65424022,0.06572565690773552,2038613.4808958585,0.0010579950812511175,1.31899468e-05,39.46722156666314,55619.28483207951,0.0,946.8345468295498,4689482845.62997,20.694709636261116,0.08572365019457082,20.65017565492095,20.795487254975754,20.638465998886804,59.85,12.683686445706398,1.130940438177618
-0.0,0.04603072213047847,0.8342970811812722,0.0002290087635075724,7.590094204108883,7.6,0.0,23908375.87610271,0.06549922107292815,2163458.9693679316,0.0010391779114485716,1.31899468e-05,40.18188399517778,57126.95523966638,0.0,946.9456527554805,4947163983.311916,20.554621717546976,0.06499003983234274,20.528204064629882,20.632539388590526,20.50312169942122,59.86,13.264957883214295,1.2003405107668872
-0.0,0.04576491482819283,0.8966000663211608,0.00022492233904784775,7.789535427807523,7.8,0.0,25035929.891542364,0.06545968087792187,1797578.7905394856,0.0010184521888094618,1.31899468e-05,40.9995940378794,58628.052532109556,0.0,947.011475647017,5210568235.161602,20.471622249559562,0.04158098031256491,20.469347467826665,20.520072036681253,20.42544724416942,59.83,13.891518263489505,0.9974104699532845
-0.0,0.04542165617924502,0.9599085341752723,0.0002211183676813053,7.988743611157595,8.0,0.0,26135323.887203068,0.06529765367207219,2089424.8518988173,0.0010005606348851897,1.31899468e-05,41.73272946418582,60127.39584295466,0.0,946.9802006148234,5480484329.520042,20.51105916687829,0.04188606844094432,20.541748358631413,20.505049484337103,20.486379657666014,59.86,14.501052712963123,1.1593068464705572
-0.0,0.04499492419046057,1.0242420906231902,0.00021756129146899216,8.189094553959231,8.2,0.0,27204656.724943817,0.06500542701703725,2088505.8410513003,0.0009853384974481173,1.31899468e-05,42.377443280984046,61635.34014955603,0.0,946.8387568657724,5758823193.854884,20.68940166798817,0.07960475263276617,20.766864800709456,20.628286254161345,20.673053949094378,59.85,15.092112108557076,1.1586238566142977
-0.0,0.044504209154801334,1.0884704575910396,0.00021427826504364598,8.387413228662087,8.4,0.0,28227025.97955922,0.06460492251680934,2859728.007464974,0.0009726480781148466,1.31899468e-05,42.93035397664892,63127.98856053449,0.0,946.6570169506222,6041128230.946813,20.918519172036678,0.09947539941178386,21.01140891181364,20.82163776480199,20.92251083949338,59.86,15.656278104853971,1.586164161308871
-0.0,0.044081820024403987,1.1573539547054634,0.00021101616839792518,8.587994318181796,8.6,0.0,29312372.329888873,0.06429493783165911,3249572.9772349703,0.0009590330978463149,1.31899468e-05,43.539817741377945,64637.66506978161,0.0,946.4436373053402,6333524730.727074,21.187477472131114,0.1187549126437052,21.293777010868915,21.06481175188257,21.20384365364269,59.83,16.25460687028003,1.8019875923649062
-0.0,0.04364455325778478,1.2274363948696814,0.0002079373638217613,8.787105395022596,8.8,0.0,30382931.740198713,0.0639496443411522,3306149.5214911387,0.0009466925801444823,1.31899468e-05,44.10737673871374,66136.27750706185,0.0,946.1998772527201,6630612450.586187,21.49466829334567,0.13034843230537088,21.600026325837458,21.356500298646427,21.527478255553298,59.86,16.843925469705532,1.8328888274471395
-0.0,0.0433258434063692,1.3032277777224597,0.00020484586458067232,8.986293970268974,9.0,0.0,31543960.737281732,0.06376789249554164,2718114.833965645,0.0009325179791725973,1.31899468e-05,44.77782436455212,67635.4732372272,0.0,945.9950441949778,6934628771.15185,21.752753286935334,0.09200545190410071,21.83949582135516,21.638943129783886,21.779820909666526,59.86,17.483800027525405,1.5065633832322913
-0.0,0.04296436267287906,1.3806955951382047,0.00020190998572386707,9.186555629802852,9.2,0.0,32690513.83782191,0.06351522336235671,2356549.3860471933,0.0009198643292918275,1.31899468e-05,45.393787929926866,69142.74555200557,0.0,945.907747353745,7247152370.127185,21.8627318517937,0.05372243256891472,21.91080084126143,21.79853188812677,21.878862825990712,59.85,18.117625373802106,1.3060387843114794
-0.0,0.04267356309204114,1.463009410461372,0.000199007985275602,9.386829406850406,9.4,0.0,33900391.318071365,0.06335802127442446,2073991.6747046553,0.000906373145549937,1.31899468e-05,46.069465421818435,70650.10906942819,0.0,945.8650585228436,7566583416.601889,21.916509319928753,0.030286370596210827,21.95045878666969,21.891727433096825,21.907341740021863,59.84,18.78731164526492,1.1493887364536084
-0.0,0.04232844726174041,1.5463154615280248,0.00019627173353114767,9.587633873392358,9.6,0.0,35080289.94525506,0.06311223201969728,2051337.7422344445,0.000894625107886883,1.31899468e-05,46.67444041091825,72161.46682910621,0.0,945.8215581692812,7893777048.593222,21.971307157887317,0.029269282541228077,22.0045328755356,21.948435298594458,21.960953299532267,59.86,19.440307436034168,1.1367818346544663
-0.0,0.042058274885833774,1.6345317064746012,0.00019356817058614956,9.787463426853728,9.8,0.0,36324505.77892463,0.0629686524753481,2208530.778535786,0.0008819891728230139,1.31899468e-05,47.34312798254351,73665.4868911985,0.0,945.793703551663,8226257093.016492,22.006394872988892,0.024822050479896267,22.036045154303253,21.997051378155874,21.986088086510094,59.87,20.129216844509237,1.2238568425262122
-0.0,0.04178002460567389,1.7257192938997508,0.00019095882962827238,9.98826390512783,10.0,0.0,37579990.24502646,0.06280664675511795,2042752.05548658,0.0008700138398019059,1.31899468e-05,47.99478396537361,75176.81463312013,0.0,945.7997936780873,8567260864.3539915,21.998723372553506,0.0201922625093975,21.99968623284257,22.017233171606343,21.979250713213318,59.86,20.8250773791086,1.1319978888890534
-0.0,0.04158891213053556,1.8232817051251606,0.00018835139423884124,10.18860969089392,10.2,0.0,38923811.95556882,0.0627681688977566,1869510.0055435204,0.0008568254848601325,1.31899468e-05,48.73352511800448,76684.7201252179,0.0,945.8615034549576,8914393989.875143,21.92098774886555,0.04571585039091728,21.906257214560874,21.967444074635498,21.8892619574013,59.84,21.571168021363842,1.0360628217306525
