a,cf,epsilon,eta,fic,ficfn,foc,g,grei,gstd,lambda,mu,nuw,rei,reo,rho,ta,tempavg,tempavgstd,tempbot,tempmid,temptop,time,torque,torquestd
-0.0,0.04754324725489215,0.21676599909179162,0.0002794374032415969,4.791339679358854,4.8,0.0,14214904.05545047,0.06401657999860644,3129553.776532542,0.0013260883249950354,1.09742901e-05,31.4881938865829,43342.85150579853,0.0,939.4292271069326,2847797542.1466336,18.254245066230844,0.021701966591201327,18.282049659788417,18.240518635617434,18.240166903289534,59.87,5.416335169272575,1.192460541262924
-0.0,0.04757106176127449,0.24510169310041754,0.0002709853105461565,4.990652638610655,5.0,0.0,15431164.473789321,0.06457829116604122,3224141.664644347,0.0012723836093895076,1.09742901e-05,32.81724629273739,45145.85287371407,0.0,939.3997267024997,3089654197.9625044,18.28684583851643,0.03710103564481105,18.33556637605867,18.26820796283585,18.256763176655635,59.87,5.8795848277213985,1.228462987745746
-0.0,0.0476532060170225,0.2759105287590167,0.00026308146941824567,5.188576653306621,5.2,0.0,16708203.966114692,0.06519495761612883,3205050.80014182,0.0012217374656034712,1.09742901e-05,34.17765883732836,46936.2897353199,0.0,939.3554957183065,3339578551.6061106,18.335728078620512,0.03226236688414276,18.37261620455463,18.31039525266928,18.324172778636083,59.87,6.365862878934525,1.2211314845749237
-0.0,0.04751728125470679,0.3082838208293847,0.000255884891465234,5.3891785237139285,5.4,0.0,17973716.798284344,0.06550407732277407,3715355.008486356,0.0011796253561158923,1.09742901e-05,35.397786315535335,48750.95069920565,0.0,939.2974956404587,3602801456.663869,18.399832379130697,0.03888969582662904,18.446460495763855,18.36137015956364,18.391666482061375,59.87,6.847603254902268,1.4154711201223127
-0.0,0.04731087276335564,0.34242798555836085,0.0002492527821204364,5.589319699499153,5.6,0.0,19249525.635967936,0.06569691636115797,4131389.484559776,0.0011423477818649664,1.09742901e-05,36.55290179669076,50561.44418177496,0.0,939.2278028459862,3875369270.9538074,18.476867554058913,0.050914396658027064,18.534313231587458,18.431917020956913,18.46437240963195,59.89,7.333115113500123,1.5738546103376458
-0.0,0.04711306918095125,0.3790446535232099,0.00024300193590445838,5.789919338677483,5.8,0.0,20569682.75865574,0.06588524047296707,5467016.27057653,0.0011073995506814258,1.09742901e-05,37.70646851218557,52376.08496178046,0.0,939.1460638217112,4158533608.884735,18.567228589858836,0.04877448280051678,18.621502270384152,18.51923151182236,18.560951987372388,59.87,7.835347586950929,2.0824809622043357
-0.0,0.04672148894325819,0.41626471824567646,0.00023737770496833654,5.990188606749175,6.0,0.0,21834278.10780894,0.06578350501264092,7942679.125061709,0.0010793469839337929,1.09742901e-05,38.68647145887513,54187.73717767342,0.0,939.0354668799719,4451190509.909102,18.689509632266574,0.06254115614742616,18.753555235618347,18.626596853186342,18.688376807993894,59.85,8.31607436270423,3.0251474272230876
-0.0,0.046295726588392525,0.45525181625027694,0.00023212365777484367,6.190510268826178,6.2,0.0,23106542.77381334,0.06561428937302713,7734929.115169654,0.0010540249732639121,1.09742901e-05,39.61587945954913,55999.863354033376,0.0,938.9268754906726,4753878584.405986,18.809593509851428,0.07100844930069902,18.88632413887714,18.73902648848445,18.80342990219477,59.88,8.799627167119759,2.945680495947241
-0.0,0.04587052329678672,0.496338096520464,0.0002271631721231661,6.391029559118157,6.4,0.0,24401499.585836742,0.06542746522880018,6213365.217538287,0.0010304187028576633,1.09742901e-05,40.52345534138234,57813.77729142643,0.0,938.7979393986241,5066835926.267256,18.952201326070316,0.0731779612919499,19.029978569639475,18.874793605356395,18.9518318032131,59.87,9.291507355970243,2.365900850519681
-0.0,0.04542276428977257,0.5391185223104537,0.00022251601008006815,6.5911280895123285,6.6,0.0,25700065.68465095,0.06518951444523886,4545705.298191821,0.0010089855382413606,1.09742901e-05,41.38426638002923,59623.88500029244,0.0,938.65088387283,5389080762.295815,19.114884511097614,0.07950886495582178,19.19070609827354,19.029251992282443,19.124695442736044,59.87,9.784437367079834,1.7306247122132539
