a,cf,epsilon,eta,fic,ficfn,foc,g,gstd,lambda,mu,nuw,rei,reo,rho,ta,tempavg,tempavgstd,tempbot,tempmid,temptop,time,torque,torquestd
-0.0,0.02522507565051295,1.2397802757018492,3.9275551111140216e-05,10.58425438449977,10.6,0.0,2154886873.8008904,453467968.0653085,0.00014786328890307296,1.4342051947548334e-06,282.3968450718658,732632.0833962884,0.0,994.7946308281079,813665716708.294,21.051939959354005,0.04102541942676126,21.09121334193645,21.032776908500058,21.03182962762396,59.86,14.849955381767087,3.1249803294558616
-0.0,0.025142891647837878,1.3070044909004361,3.874565143855695e-05,10.783923693437929,10.8,0.0,2231945467.340886,386568677.70370513,0.0001455256128425184,1.4334734365028188e-06,286.9331760407312,746834.0528866884,0.0,994.7889093767344,845517060173.5902,21.074523524268173,0.03958358036741869,21.081280242025564,21.06612318037289,21.076167150410143,59.88,15.365208973624808,2.6612247487622227
-0.0,0.024974016239089993,1.3711148527972246,3.8267697107337504e-05,10.982081676966763,11.0,0.0,2301881731.87156,323927405.106377,0.00014378154315545984,1.432631124771944e-06,290.413674605161,761004.5307971222,0.0,994.7823119753918,877907250543.144,21.100540462955145,0.03782793874603048,21.13552441128118,21.073540552477787,21.092556425102675,59.86,15.827943210509035,2.2273536043846573
-0.0,0.024857276807562376,1.441008550196076,3.784860428513373e-05,11.18305662268245,11.2,0.0,2366780320.3569055,285121805.834682,0.00014212912731019045,1.435341839600151e-06,293.79007018770164,773467.6151243546,0.0,994.8034995194893,906897950016.1344,21.016895089419005,0.03185624005165404,21.008499626214196,21.044467905383208,20.997717736665003,59.86,16.3361834204087,1.9679908934561057
-0.0,0.024938414692324804,1.5254903268511757,3.72979218945872e-05,11.385088024052118,11.4,0.0,2463789902.08356,298110520.78420156,0.00013907612504144968,1.434551023283004e-06,300.2393565087667,787875.0513546724,0.0,994.7973315387542,940998319501.2786,21.041273006181473,0.048303980929345694,21.0854238291829,21.0099439457893,21.028451243570295,59.86,16.98693166837436,2.0553631792638845
-0.0,0.02492414334070607,1.607956306797534,3.6789674281216273e-05,11.588863704693525,11.6,0.0,2555116166.651815,362338479.48633075,0.00013660713822599834,1.4334834113859323e-06,305.66577142621696,802574.0972867161,0.0,994.7889874307982,976437452287.8276,21.07421556235039,0.017122115110916457,21.07641877011732,21.06690324114917,21.079324675786715,59.86,17.590234121978067,2.4944535863972055
-0.0,0.024808165524082396,1.685847870532841,3.6366648520716855e-05,11.79136539746161,11.8,0.0,2631050737.08637,497685179.3256149,0.0001349357109044388,1.4339824387729726e-06,309.4520050199997,816313.9538228387,0.0,994.7928901371358,1010156334296.6982,21.058812832939783,0.012802046039094074,21.064668127462458,21.060277179160085,21.051493192193973,59.87,18.125676282069985,3.4286227641621805
-0.0,0.024633332713146057,1.7632098216154541,3.59351412965182e-05,11.997289223057672,12.0,0.0,2709749781.301436,339138942.139014,0.00013343281770734894,1.4326072386591406e-06,312.93745426075844,831367.3081793766,0.0,994.7821247070003,1047755710415.3069,21.10127858155657,0.029243198381713926,21.12713197917859,21.07574687378411,21.100956891704893,59.84,18.631855322574427,2.3318712848646332
-0.0,0.024641111482342035,1.8503352958589523,3.546672738613824e-05,12.190445223780868,12.2,0.0,2806533326.9314513,486772874.964837,0.00013109121534105877,1.4305783011312326e-06,318.5272650004893,845950.3788558978,0.0,994.766181304706,1084835602208.697,21.164043568659075,0.01814920410440375,21.181869552597437,21.15602810664803,21.154233046732653,59.87,19.242395687107777,3.3374541395756587
-0.0,0.024552458274749764,1.9324071813248354,3.510579654235803e-05,12.3829487222315,12.4,0.0,2880676747.454837,528556526.9724237,0.0001296265863054,1.4317636193957502e-06,322.1262510901913,858597.6725417301,0.0,994.7755042925344,1117515523586.938,21.127359620951406,0.033277384178435,21.095307523852167,21.15083846612958,21.13593287287625,59.86,19.783672474396464,3.629976609859408
-0.0,0.024409425045969806,2.0146389803310423,3.482676888887772e-05,12.58064038750638,12.6,0.0,2936908683.68843,457535414.50352764,0.00012875521898392863,1.4364262161142867e-06,324.3062814672365,869473.5618332209,0.0,994.8119394776166,1146006056322.2344,20.983500611194717,0.07351380921994521,20.9307629338391,21.050106561344684,20.969632338399506,59.86,20.302182898860195,3.162838436056007
-0.0,0.02432392349569879,2.1041262809372347,3.44844011748831e-05,12.779158149632572,12.8,0.0,3011783779.2830057,530038273.8403582,0.00012736794127137782,1.4383155818667302e-06,327.838590082959,882033.3672468686,0.0,994.8265962240577,1179353989433.9116,20.92540610867629,0.03440705339400114,20.918829035537414,20.945966290671826,20.911422999818935,59.87,20.874890505301128,3.6737334884877897
-0.0,0.02424017624883846,2.1978980127533756,3.409232890055182e-05,12.981158176048172,13.0,0.0,3101467415.470781,616062383.085696,0.00012572954400766765,1.43729110621229e-06,332.1106953639403,896614.2955427112,0.0,994.8186565175563,1218668172101.5178,20.95689259424977,0.044215809817280426,20.97462130320355,20.948798862157773,20.94725761739174,59.86,21.465711026522577,4.263858141363396
-0.0,0.024190788869796066,2.29513858985015,3.375958068746158e-05,13.17879843019367,13.2,0.0,3181493039.528436,663462031.1621412,0.00012426485981119925,1.4392371594333913e-06,336.02521542791294,909034.586480855,0.0,994.8337229976568,1252665064707.0159,20.897110905010365,0.042598285406740315,20.8618541772641,20.937024236631746,20.89245430114061,59.87,22.079582698181802,4.604430876365977
-0.0,0.024128961249749416,2.395148093923862,3.334855448247301e-05,13.378911140805066,13.4,0.0,3284333541.663392,699131780.9444185,0.00012246046316524573,1.436195215452217e-06,340.97638706324943,924792.3935577816,0.0,994.8101432539227,1296470529025.044,20.990611334533025,0.04851312691415777,21.028390131594353,20.957501539604937,20.98594233239763,59.86,22.696509368736532,4.831376233532606
-0.0,0.024067833523781768,2.4981045452358166,3.304219202539387e-05,13.579404475617977,13.6,0.0,3363322258.109372,807878546.3307234,0.00012116748632392097,1.4386727054543227e-06,344.61494213513373,937034.7034847089,0.0,994.8293596809525,1331022821530.553,20.914438107252405,0.05437688392030241,20.85779126180746,20.96429536074183,20.921227699208995,59.87,23.323071396198404,5.602260969818628
-0.0,0.023996467292563738,2.602397620957401,3.266104998719057e-05,13.779442124603284,13.8,0.0,3465573716.6601067,887420824.7765484,0.00011954395297077113,1.436034060585446e-06,349.295177635519,952585.243387365,0.0,994.8088895922164,1375567321448.4727,20.99557306429875,0.06653113765076797,21.036693199813076,20.954145415248068,20.99588057783905,59.86,23.94357187253339,6.131170777604353
-0.0,0.023951226016297015,2.711737366039712,3.230387865695715e-05,13.978572168392883,14.0,0.0,3566453337.414171,852008721.3965243,0.00011795237525282762,1.4346812929439527e-06,354.00835463189736,967262.4597483923,0.0,994.7983483262225,1418282736029.5144,21.037255888896894,0.029838880732205846,21.00911045779815,21.045045199611888,21.057612009275275,59.85,24.593884593606393,5.875361930843289
-0.0,0.023887396384943298,2.8229927488275375,3.2022920393546086e-05,14.179791214297616,14.2,0.0,3647261150.407727,826924435.9281414,0.00011679412570773757,1.4372020737591272e-06,357.5190621544359,979465.0784350317,0.0,994.8179656578446,1454293502383.0828,20.959630532673707,0.04316617587537331,20.917626987454476,20.99916596154958,20.962098649015505,59.86,25.240084748393226,5.722552343423584
