time,torque,temptop,tempmid,tempbot,fic,icangle,balance,mass,dm,alpha,torquenorm,alpha100
1185.658561085973,31.3381781130761,2538.5149321266967,2548.4823529411765,2509.1053393665156,-17.08520669683261,-739543623.9470251,462.65140271493215,24.651402714932125,-0.031413574660633874,0.6992004198194443,0.8618834181765477,69.92004198194442
1156.105,33.19812352258795,2527.5520833333335,2543.4114583333335,2491.6822916666665,-17.081776041666664,-739361893.037042,677.7786458333334,239.77864583333334,-0.422421875,0.7005596097468644,0.9130368739194953,70.05596097468644
1152.365,33.23328425258132,2527.835164835165,2542.263736263736,2491.8076923076924,-17.07962637362638,-739338899.8454038,835.5741758241758,397.5741758241758,-0.4217582417582417,0.7015582137920796,0.914003887701947,70.15582137920796
1148.775,33.27641706017721,2528.0169491525426,2538.954802259887,2491.7966101694915,-17.087703389830498,-739316817.6398227,991.8926553672317,553.8926553672317,-0.45048022598870047,0.7025488854934789,0.9151901548650271,70.2548885493479
1145.29,33.25809216439322,2527.408163265306,2540.3002915451893,2492.247813411079,-17.080524781341104,-739295384.7497139,1145.868804664723,707.868804664723,-0.4478717201166181,0.7035260661658801,0.914686171392885,70.352606616588
1141.9,33.262965770790586,2527.286567164179,2539.614925373134,2492.0805970149254,-17.08709253731344,-739274534.6440214,1304.7880597014926,866.7880597014926,-0.4879402985074628,0.7045360593101292,0.9148202085575681,70.45360593101292
1138.6549999999997,33.251345205931834,2525.643312101911,2539.5923566878982,2488.8216560509554,-17.07777707006368,-739254580.1469523,1462.5509554140128,1024.5509554140128,-0.4912738853503188,0.7055401214411792,0.9145006120537297,70.55401214411792
1135.4399999999998,33.1549412445661,2521.413373860182,2536.80547112462,2484.9392097264436,-17.078437689969597,-739234811.579037,1619.6474164133738,1181.6474164133738,-0.49072948328267424,0.7065413745770832,0.9118492461878568,70.65413745770832
1132.2500000000002,33.20041119658821,2519.9126213592235,2536.0873786407765,2484.0485436893205,-17.08178317152101,-739215197.9499681,1777.6990291262136,1339.6990291262136,-0.4881877022653726,0.7075501428016411,0.9130997910514328,70.7550142801641
1129.0800000000002,33.16871475737201,2519.8184615384616,2536.5938461538462,2483.996923076923,-17.086412307692303,-739195700.3944033,1931.76,1493.76,-0.48689230769230774,0.7085348348045796,0.9122280544981107,70.85348348045795
1125.835,33.15158028397853,2519.7716049382716,2538.41975308642,2481.395061728395,-17.08846913580246,-739175741.3167772,2090.722222222222,1652.7222222222222,-0.48734567901234527,0.7095522847885575,0.9117568108143287,70.95522847885574
1122.6399999999999,33.13396125936965,2520.0285714285715,2537.393650793651,2480.784126984127,-17.088695238095255,-739156084.9137124,2246.5809523809526,1808.5809523809523,-0.49520634920634926,0.7105512883517199,0.9112722406807348,71.05512883517198
1119.495,33.1293859060986,2519.9426751592355,2538.6751592356686,2480.8471337579617,-17.073165605095543,-739136747.0078537,2400.4458598726114,1962.4458598726114,-0.4881210191082802,0.7115388909496465,0.9111464062719064,71.15388909496465
1116.5949999999998,33.13533982161689,2519.751879699248,2540.4285714285716,2481.09022556391,-17.082323308270674,-739118919.0474929,2556.3007518796994,2118.3007518796994,-0.6190977443609034,0.7125406762134214,0.9113101548165704,71.25406762134214
1114.0399999999997,33.11437004427297,2519.938775510204,2540.534693877551,2481.9714285714285,-17.077685714285717,-739103206.2046614,2712.9673469387753,2274.9673469387753,-0.619469387755102,0.7135490877856345,0.9107334300525983,71.35490877856346
1111.5849999999998,33.12895466531715,2518.3414634146343,2540.3414634146343,2482.2276422764226,-17.07569105691058,-739088115.2981585,2866.849593495935,2428.849593495935,-0.6292276422764226,0.7145409706389605,0.9111345460011073,71.45409706389604
1108.98,33.1023845512179,2518.389090909091,2539.661818181818,2481.8436363636365,-17.090432727272717,-739072095.8360765,3025.1563636363635,2587.1563636363635,-0.5855636363636354,0.7155628109732003,0.9104037970507831,71.55628109732002
1106.4199999999998,33.024860798855556,2518.1054852320676,2540.8987341772154,2481.5232067510547,-17.089810126582286,-739056342.5163965,3180.6118143459917,2742.6118143459917,-0.6633755274261615,0.7165676694252393,0.9082716872505631,71.65676694252393
1104.16,33.08857313506397,2518.079069767442,2540.795348837209,2483.1767441860466,-17.086911627906968,-739042441.9370135,3329.9906976744187,2891.9906976744187,-0.6601395348837201,0.7175345676946686,0.9100239462974413,71.75345676946687
1101.855,33.135379208637815,2518.3333333333335,2538.959349593496,2483.3414634146343,-17.081638211382128,-739028264.6931709,3476.890243902439,3038.890243902439,-0.6440650406504067,0.7184867074194022,0.9113112380646171,71.84867074194023
1099.29,33.06242963903815,2518.430711610487,2534.6554307116103,2483.4644194756556,-17.07664044943821,-739012493.7721161,3641.434456928839,3203.434456928839,-0.596779026217229,0.7195547067589904,0.9093049304811258,71.95547067589904
1096.735,33.011177312254524,2517.3852459016393,2530.22131147541,2483.3852459016393,-17.07330327868851,-738996786.3817586,3792.9795081967213,3354.9795081967213,-0.5884836065573757,0.7205397283938401,0.907895354900874,72.053972839384
1094.235,33.02358520523187,2517.984375,2532.453125,2484.046875,-17.08414453124999,-738981414.9416217,3938.64453125,3500.64453125,-0.6302343750000006,0.7214878201310493,0.9082366050262991,72.14878201310493
1091.6299999999999,32.99920686357759,2517.950943396226,2533.324528301887,2483.0603773584908,-17.07291698113207,-738965400.118698,4105.815094339622,3667.8150943396226,-0.596452830188679,0.7225774103447078,0.9075661356595526,72.25774103447078
1089.1250000000002,33.08132928277126,2519.6271186440677,2532.737288135593,2483.3389830508477,-17.09287288135593,-738949998.0710553,4257.3983050847455,3819.398305084746,-0.6136864406779657,0.7235668185076773,0.909824721053642,72.35668185076773
1086.6650000000002,33.00193017002936,2520.4375,2532.609375,2480.2265625,-17.092,-738934858.5642895,4405.46875,3967.46875,-0.5933984375000012,0.7245346169529746,0.9076410338449201,72.45346169529746
1084.1100000000001,33.00312043962275,2520.3176470588237,2531.7764705882355,2475.956862745098,-17.076964705882357,-738919144.9311094,4554.478431372549,4116.478431372549,-0.5850588235294102,0.7255098535392838,0.9076737694309519,72.55098535392838
1081.5,33.001355201975734,2519.861423220974,2529.1498127340824,2473.8464419475654,-17.088662921348313,-738903094.0801727,4709.940074906367,4271.940074906367,-0.6103370786516855,0.7265287291930104,0.9076252206910854,72.65287291930103
1078.8950000000002,32.973687734342995,2518.8110236220473,2529.8740157480315,2470.9448818897636,-17.075322834645668,-738887071.6415547,4868.377952755905,4430.377952755905,-0.5684645669291352,0.7275685699670572,0.9068642915940093,72.75685699670572
1076.245,33.03878401532347,2514.6666666666665,2529.4927536231885,2470.659420289855,-17.075347826086947,-738870782.0300868,5016.865942028986,4578.865942028986,-0.5769927536231884,0.7285444697600074,0.9086546128105009,72.85444697600074
1073.5900000000001,32.92607708355855,2511.8549019607844,2529.211764705882,2471.164705882353,-17.078486274509803,-738854461.0758194,5175.874509803922,4737.874509803922,-0.5855686274509793,0.7295909593600629,0.9055548718092458,72.95909593600629
1071.1299999999999,33.020415123308766,2511.5822784810125,2529.3544303797466,2469.4556962025317,-17.0845400843882,-738839334.0619873,5318.481012658228,4880.481012658228,-0.5875105485232058,0.7305307724008172,0.9081494193247588,73.05307724008172
1068.525,32.93619052368898,2511.549295774648,2526.5915492957747,2468.9718309859154,-17.08571478873239,-738823311.9312295,5469.06338028169,5031.06338028169,-0.5673239436619715,0.7315244848310407,0.9058330183663839,73.15244848310407
1065.7749999999999,32.95931922505178,2511.9323308270677,2525.3609022556393,2469.7293233082705,-17.087928571428574,-738806395.3628757,5622.443609022556,5184.443609022556,-0.5715413533834611,0.732538021715716,0.906469119294671,73.2538021715716
1063.1699999999998,32.94880233091247,2512.372549019608,2525.062745098039,2469.9333333333334,-17.087949019607844,-738790371.33111,5776.18431372549,5338.18431372549,-0.6057254901960786,0.7335553707976781,0.9061798766770345,73.35553707976781
1060.6150000000002,32.888937742196255,2511.6171875,2527.234375,2469.5390625,-17.078140624999993,-738774657.2788858,5926.66796875,5488.66796875,-0.5702343749999983,0.7345525157993625,0.9045334409409079,73.45525157993626
1058.0600000000002,32.946958884274004,2511.7921568627453,2525.4627450980392,2469.156862745098,-17.076509803921574,-738758950.6681334,6076.396078431372,5638.396078431372,-0.5637254901960784,0.7355460213728947,0.9061291769814664,73.55460213728946
