rei,a,cf,epsilon,eta,fic,ficfn,foc,g,gstd,lambda,mu,nuw,nuwta,rho,ta,tempavg,tempavgstd,tempbot,tempmid,temptop,time,torque,torquestd
269541.9268251497,0.0,0.005046113198469139,0.08551438281665784,7.853537346815734e-05,4.021442789890229,-4.027330577742034,0.0,366661953.34015626,212208828.85426068,0.00031985059669550236,1.4811307637369485e-06,130.58027082080517,0.005001724794046523,1031.976064733203,110163736683.13737,19.667063393125193,0.032582364703955286,19.710773460108467,19.646456529514058,19.643960189752082,59.86074582569114,2.795313857509747,1.617015034366725
280354.162323793,0.0,0.004992864496372485,0.09509823150082436,7.645571348598462e-05,4.18114226039816,-4.186557022159119,0.0,392478350.5885794,184982663.13195372,0.0003107909281957206,1.4805607057516949e-06,134.38330548242155,0.0049880039064378314,1031.9735700510391,119180380833.74104,19.678276833578042,0.035478296153232475,19.725288741828127,19.652151750888233,19.657390008016588,59.868005981413546,2.989840701047493,1.4085275083412059
291166.3978224363,0.0,0.004948495049823584,0.10545448356881186,7.448823464238482e-05,4.340143954668325,-4.345469316872191,0.0,419611349.10036105,181391022.34957135,0.0003019615923526233,1.479797529785853e-06,138.32320406488807,0.004981164967235368,1031.970230247863,128566664906.8424,19.69328904017699,0.036249973810009405,19.741189039140632,19.664000714969912,19.6746773664189,59.86203273085033,3.193237320358429,1.3803060049440037
301978.63332107954,0.0,0.004908186444862648,0.11654005415090218,7.262962086353326e-05,4.499181546327876,-4.5054887523408,0.0,447694173.4426241,191866643.73740086,0.00029355126756945636,1.4790978696236879e-06,142.28968210684675,0.004976717871915122,1031.9671684019233,138300805763.71677,19.7070518463627,0.0386960305275479,19.758342472579454,19.67438631495705,19.68842675155214,59.864683869559656,3.4037535794557017,1.459537862034938
312790.86881972285,0.0,0.004865523207330571,0.12812442344363106,7.088916516716553e-05,4.657456323699828,-4.664708362295955,0.0,476114718.4955664,193009317.43302646,0.00028586540256279365,1.4782066796761767e-06,146.10327828684888,0.004968325005667691,1031.963268385216,148370281261.93002,19.724582177780018,0.04060335084871585,19.778463381518286,19.689461572901347,19.705821578922357,59.86228160429678,3.6154642625976696,1.466065106650624
323603.10431836615,0.0,0.004819811080769451,0.1402089912136801,6.926097281227134e-05,4.81512990773409,-4.8227191417840745,0.0,504781454.27804977,186031575.43496266,0.00027889358423947847,1.4771818928574269e-06,149.74222957072786,0.004955338229134087,1031.958783723191,158776889084.77444,19.744740453369815,0.04026332100996565,19.79773962855946,19.710957071297155,19.725524660254028,59.86669012850109,3.827938716805296,1.4106060884365978
334415.33981700946,0.0,0.004798361876991117,0.15371709237446665,6.765207791624699e-05,4.9722542373336145,-4.980326332358241,0.0,536723199.11533993,188613042.58492637,0.00027110386243685064,1.4760692622669389e-06,154.06076957859975,0.004965831614831168,1031.9539146401137,169569652139.64676,19.76662667757014,0.039663760578194505,19.817346761732082,19.733453114218793,19.749080156760748,59.86934843321561,4.063852659799064,1.4280921777861966
345227.57531565276,0.0,0.0047693957652009105,0.16770316308526165,6.615906927947375e-05,5.1289800523565425,-5.137300552078396,0.0,568512682.5678205,196277102.63702402,0.00026421439656970674,1.4749102480784276e-06,158.07298773922273,0.004967284901017412,1031.9487547344718,180723779836.16568,19.78961406065282,0.043194219501532925,19.846606415174673,19.755534668038628,19.76670109874439,59.86349629352569,4.297781044432135,1.4840216961434083
356039.810814296,0.0,0.004737890354210058,0.1823448342576204,6.475486450045923e-05,5.285507883429208,-5.294164064312456,0.0,600715841.4530357,217126965.4235607,0.00025789926968701455,1.4737663787894705e-06,161.94806968291684,0.004964996409988665,1031.9432979993308,192227954290.7557,19.81308382684641,0.04375068759706572,19.870866953434298,19.778887999135247,19.78949652796882,59.86920270551902,4.534221507996022,1.6396493882831515
366852.0463129393,0.0,0.004708506919036002,0.19769173862914657,6.341252448003932e-05,5.441467027482343,-5.450569260842976,0.0,633765100.5074948,239272411.7394681,0.00025183519102188055,1.4725355091083512e-06,165.8350336996135,0.0049638784874123125,1031.9371465565962,204060081043.5823,19.838939670150477,0.04218774261568862,19.893266163833918,19.80369428881333,19.81985855780374,59.86702202766884,4.775743843754771,1.8035846226872951
377664.2818115826,0.0,0.004679296872057402,0.21393107302420114,6.213802785700658e-05,5.598690004506199,-5.608908874338224,0.0,667450140.620801,245857415.68002546,0.0002461261808518309,1.4716980701152486e-06,169.66628992604612,0.004961887430570816,1031.9346598034253,216240497057.0878,19.85288114745263,0.043287850581303904,19.90885655086447,19.822631380409558,19.82715551108479,59.860068477369985,5.023968333833856,1.8500672321315266
