time,pixels,walltimedt,source,numDroplets,numFrames,walltime,diastd,diameter,alpha,tempbot,icangle,torque,mass,diastdsmooth
67.332,260.80084110185607,68.21033333333357,p1,3,2,2019-02-28 16:05:16.541400,24.733890058441762,84.10827125534858,0.7058580910067861,20.04427959614762,7.983220494853538,6.9179013842830885,55605.19752268432,24.733890058441762
70.6165,260.2387643431742,70.30851000000025,p1,20,11,2019-02-28 16:05:17.926300,17.482025594000774,83.92700150067368,0.7037045494405969,20.045465864950977,7.983097310217292,6.879699584043352,55350.76025499572,21.107957826221266
73.90100000000002,262.50977747949065,74.2553214285717,p1,14,6,2019-02-28 16:05:21.553200,18.2526728500037,84.65940323713573,0.702100895766789,20.048021247915763,7.983342222720694,6.913349541931053,55175.94311675656,20.15619616748208
77.1855,264.06355607239493,77.29669411764738,p1,17,10,2019-02-28 16:05:24.521000,27.338541844929985,85.16049683334734,0.7007633507919896,20.053024081123805,7.983462982353868,6.919136388791121,55029.74553855761,21.951782586844054
80.47,263.56073133066667,80.58044782608731,p1,23,16,2019-02-28 16:05:27.884200,20.15401277961234,84.99833585414001,0.6995018245611985,20.058772252174546,7.983329284524359,6.8808523121858425,54883.52338970094,21.592228625397713
83.75450000000002,257.11515578974854,83.85056363636406,p1,22,13,2019-02-28 16:05:30.983600,19.17076161570916,82.91963774219391,0.6982556092939308,20.06128376166814,7.983185248674258,6.884407013250013,54737.47393643958,21.188650790449618
87.039,261.6204003983702,86.66895714285756,p1,21,13,2019-02-28 16:05:34.083000,17.84136596137024,84.37257912847438,0.6969971634594525,20.060710542870353,7.983146189421756,6.926390804116091,54591.60098470245,20.710467243438277
90.3235,261.5078287111794,90.26875750000048,p1,40,20,2019-02-28 16:05:37.710100,32.029695107449754,84.33627475935538,0.6957222913710168,20.060279458307843,7.983211505345227,6.936310009504613,54445.15621334316,22.125370726439712
93.60799999999999,261.9483713509502,93.99148620689716,p1,29,14,2019-02-28 16:05:41.205200,36.96221868675892,84.47834976068144,0.6944381094525681,20.06041758801752,7.98328557817503,6.913765275997411,54299.0204441733,23.7739093886974
96.8925,264.86811528519183,97.02954482758685,p1,29,15,2019-02-28 16:05:44.172800,30.155352150299997,85.41996717947437,0.6931596925578681,20.05964239474865,7.983225233642375,6.9089709888539,54155.13228622593,24.41205366485766
100.177,262.73235266047203,99.92847826087021,p1,23,14,2019-02-28 16:05:47.272400,23.41312638222785,84.73118373300224,0.6919009818962497,20.059567420069868,7.983146924995147,6.930581800205189,54013.23464428882,24.321242093709497
103.4615,260.08186554538514,103.3617966666674,p1,30,17,2019-02-28 16:05:50.503600,22.28767779429338,83.87640163838671,0.6906733935565247,20.063523615312,7.983306450153185,6.959119907487734,53871.68363237796,24.151778402091484
106.746,257.7514099819804,107.01960000000078,p1,24,12,2019-02-28 16:05:53.932900,14.312169289336527,83.12482971918867,0.68946983687313,20.070841202842367,7.983592066413314,6.976320885292721,53729.72381664658,23.394885393418026
110.0305,257.33889350995537,110.21635862069044,p1,29,15,2019-02-28 16:05:57.230200,24.115683316062213,82.99179315696061,0.6882720120427515,20.078412335598266,7.983678995684244,6.967247422699613,53587.21456772646,23.44637095932118
113.315,258.9627489499116,113.29540526315878,p1,19,8,2019-02-28 16:06:00.461300,20.437054056338294,83.51548653634646,0.6870674725207208,20.084543326717736,7.983528388298865,6.9496595055316135,53444.60461814419,23.245749832455655
116.5995,261.87222631784493,116.76493333333424,p1,18,10,2019-02-28 16:06:03.956700,30.468628917515154,84.45379298750497,0.6858489963981355,20.088667718496332,7.983316581284582,6.963461431591917,53302.731753416134,23.697179775271874
119.884,261.8685783901338,119.59977500000099,p1,20,10,2019-02-28 16:06:07.121900,25.66004549012545,84.45261653081816,0.6846227806245451,20.0908466034268,7.983159502815985,6.999248475914468,53161.473728925725,23.755064489752105
123.1685,258.60367394242985,122.85065263157995,p1,19,11,2019-02-28 16:06:10.287400,19.886439124868343,83.39968484643362,0.6834065074099998,20.09168571041958,7.983109759248078,7.003856852373564,53019.841759873874,23.905340335431326
126.45299999999999,262.8562473694042,126.46997777777884,p1,18,9,2019-02-28 16:06:14.244200,34.22741520563926,84.77113977663284,0.6822005694120631,20.09164495616614,7.983147370116189,6.972635700726162,52877.41689416822,24.90376173265855
129.7375,261.1505104544551,129.43578000000107,p1,20,10,2019-02-28 16:06:17.014000,14.541326522290518,84.22103962156177,0.6809878241796098,20.091018713191787,7.983182031653425,6.9516641779034885,52734.40471684175,24.10393577499358
133.02200000000002,263.37575802307657,132.98290769230886,p1,13,7,2019-02-28 16:06:20.179400,12.38635318500034,84.9386819624422,0.6797740790969943,20.09027450132581,7.9831867863944,6.960145274749491,52591.219870640896,23.61845705033033
136.3065,267.6720326666981,135.90032222222342,p1,9,5,2019-02-28 16:06:23.608600,10.646143277796083,86.32423053501014,0.6785937665106291,20.09009231740082,7.983215635561146,6.981378390711342,52448.48567315397,23.08566840421076
139.591,269.0577050318006,139.54785588235416,p1,34,16,2019-02-28 16:06:26.642200,32.29140909353669,86.77110987275572,0.6774500290239615,20.090628558663468,7.983274806583319,6.998348614664919,52306.10560530683,23.988796099971164
142.8755,261.78270110856886,142.81105714285846,p1,21,13,2019-02-28 16:06:30.071400,7.238299653023697,84.42492110751346,0.6762968839033981,20.09124259999027,7.983292185960337,6.996892173341393,52162.89596587937,22.439333884069537
146.16,259.1860361525082,146.73020000000128,p1,25,10,2019-02-28 16:06:33.698400,15.956768802502625,83.5874966591839,0.67510038755055,20.091701006387183,7.983235225177102,6.9741579319237035,52018.514851569445,21.126493266303516
