a,cf,epsilon,eta,fic,ficfn,foc,g,grei,gstd,lambda,mu,nuw,rei,reo,rho,ta,tempavg,tempavgstd,tempbot,tempmid,temptop,time,torque,torquestd
-0.0,0.04679278935754293,0.21356854606877884,0.000259584223998443,4.7930170397595235,4.8,0.0,17210385.90709882,0.06432476681229585,3993360.2640189743,0.0012147979961379353,9.89806171e-06,34.37289691037356,48072.39628860621,0.0,933.7004426580362,3503206139.2743087,21.036798860776123,0.03890387195859821,21.05249507990482,21.07311393894922,20.984787563477845,59.85,5.302041779116093,1.2302433584686479
-0.0,0.046729616789931025,0.24082237187757294,0.0002519059412092747,4.9910400801604045,5.0,0.0,18636659.155428234,0.0647601613819632,4046962.6416464807,0.001168177124203781,9.89806171e-06,35.744687533269605,50058.502741693934,0.0,933.692335647858,3798655089.431504,21.0454471918782,0.037122145865997894,21.064676537712614,21.07679734876449,20.99486768916099,59.87,5.741387092881056,1.2467459367229552
-0.0,0.04649892284126056,0.2693286643306261,0.00024495819516106383,5.189227955911778,5.2,0.0,20046664.342612565,0.06494428406467272,3924547.4461634555,0.0011291362047179075,9.89806171e-06,36.98059287595829,52046.26243953868,0.0,933.6473979219194,4106324303.963468,21.093388221251793,0.030867943608152374,21.121128813616437,21.102833741574553,21.056202108565397,59.87,6.175469514534722,1.2089753536008447
-0.0,0.04630057591500276,0.30039503618271823,0.0002383633222260009,5.389208347245256,5.4,0.0,21529307.89178905,0.06515817010231417,4462667.872692805,0.0010918943219658998,9.89806171e-06,38.2419117383062,54052.000483527736,0.0,933.6049244944741,4428918564.689523,21.138704499201275,0.031085674415707743,21.16691076386948,21.140508239598717,21.10869449413274,59.89,6.631903141922995,1.374683349554293
-0.0,0.046066503716174705,0.33341501942502094,0.0002322289336109731,5.589283734134903,5.6,0.0,23040467.852694213,0.06530312655147362,5180257.534807887,0.0010581581120338792,9.89806171e-06,39.461140838318045,56058.69130193507,0.0,933.5461534844613,4763871744.998287,21.20141599724315,0.03814276213385646,21.24258506082783,21.197112930517186,21.16455000037965,59.87,7.0969551330345455,1.5956297214597102
-0.0,0.04570787654252593,0.367767602841327,0.00022660487598697552,5.790067969272017,5.8,0.0,24533081.27152916,0.06525371913729995,6878822.212669434,0.0010294784662669937,9.89806171e-06,40.560465960584985,58072.49163686988,0.0,933.4581739218287,5112285168.0153675,21.295309186377832,0.04095302313408192,21.33196231974627,21.283011237417746,21.270954001973276,59.87,7.555999714232873,2.1186241588620893
-0.0,0.04557913466912972,0.40607926766628855,0.0002210598716538368,5.990150968603936,6.0,0.0,26183960.654468216,0.06551354808607007,10513651.50413951,0.0009979025461802676,9.89806171e-06,41.84389191911585,60079.25880558822,0.0,933.4527525278588,5471712664.873667,21.301095563210335,0.04777784000883972,21.302352504480407,21.336244594006082,21.264689591145682,59.87,8.064410987398928,3.2381047247409875
-0.0,0.04520394642339685,0.4445051526514044,0.00021611923317782123,6.190461165859339,6.2,0.0,27734228.32346946,0.06540311654160161,10161637.02410441,0.0009736270234252045,9.89806171e-06,42.88718912225776,62088.3046953132,0.0,933.6322153648764,5843778609.111897,21.109586510511708,0.10220403676500585,21.062182808663017,21.22803850237709,21.03853822049565,59.86,8.543520929305824,3.130289315386445
-0.0,0.044901301759269686,0.48582367974595136,0.0002113698056386281,6.390911003506366,6.4,0.0,29361497.364507515,0.06538061136832655,8068071.909094659,0.000949446007413629,9.89806171e-06,43.97946377374827,64098.75113258231,0.0,933.8448150858607,6228353978.251187,20.882811550967293,0.10434467781531835,20.836017901791916,21.014038450369238,20.798378300741557,59.88,9.046860295932325,2.4859331427472493
-0.0,0.04442001103674473,0.5272612218091322,0.0002070885846446339,6.591312625250536,6.6,0.0,30896992.788052373,0.06508044824989424,5941637.579241657,0.0009305536172630371,9.89806171e-06,44.8723485821178,66108.71398008523,0.0,933.9540057419786,6625086739.521605,20.766380659359008,0.06542580765561577,20.76181807296051,20.844122747874657,20.69320115723933,59.87,9.521090054402709,1.8309505669580552
