,time,torque,temptop,tempmid,tempbot,fic,icangle,balance,tempavg,mass,dm,alpha,torquenorm,alpha100
0,26.670863636363638,41.60852387246601,21.602862675082346,21.6028680363963,21.430035641922732,17.41774962121213,17.41778072446385,14223.570643939394,21.545255451133546,29488.350643940423,-0.05410995770857354,0.6501797638338106,1.1443452982838818,65.01797638338105
1,62.49,41.648268473251555,21.62221921338691,21.597560372984173,21.394481083411538,17.418239511417916,17.418234643313184,13837.97238449283,21.538086889927605,29102.752384493568,-0.1557249070631968,0.6514999503370241,1.145438380729693,65.14999503370241
2,82.14999999999999,41.63520478948582,21.57858350602131,21.589564452504693,21.361113736632102,17.418535871156628,17.41851865408138,13543.749145924841,21.50975389838594,28808.52914592561,-0.14396290873596856,0.6525040950628477,1.1450790946098246,65.25040950628477
3,102.64500000000001,41.60596007533919,21.520583409159908,21.557603094279337,21.33749858611065,17.417838536585368,17.417717615181875,13250.851219512195,21.471895029850067,28515.63121951296,-0.14271219512195185,0.6535009769621426,1.1442747870300622,65.35009769621426
4,123.49,41.59884821619676,21.489508648175864,21.53864583780542,21.31379771638449,17.416624351108997,17.41673404644366,12956.136857008023,21.44731740078879,28220.9168570088,-0.13933459178857951,0.6545012837644654,1.1440791919496733,65.45012837644654
5,145.4561707746479,41.61712277852303,21.483003176717688,21.530800761419442,21.287504626902887,17.417679577464778,17.417774965770885,12659.350792253521,21.43376952167998,27924.13079225432,-0.12765845070422574,0.655505840804494,1.1445817911175833,65.5505840804494
6,169.09400732302683,41.63111624347422,21.431213267578784,21.501282945462894,21.234442746285826,17.41834743694061,17.418353901090654,12363.561025223758,21.388979653109132,27628.34102522458,-0.12236371033360326,0.6565042480375296,1.1449666486980319,65.65042480375295
7,193.80076861167,41.61078834884391,21.40049057787188,21.452192284042518,21.18217860737371,17.416777062374262,17.416679521574967,12067.128772635815,21.34495382309597,27331.90877263664,-0.12035010060362308,0.6575020585156256,1.1444075774193798,65.75020585156255
8,219.04999999999995,41.63112207392555,21.344829860039553,21.416646887422527,21.132207938982482,17.416371439719068,17.416407096722942,11767.603589543503,21.29789489548136,27032.383589544334,-0.1171361685524766,0.658507463942122,1.1449668090509824,65.8507463942122
9,244.985,41.63219309185334,21.285393217208618,21.367926425766058,21.092900654104618,17.418228658536542,17.418206724247348,11471.548780487805,21.248740099026193,26736.32878048864,-0.11363185975609828,0.6594984522366877,1.14499626489839,65.94984522366877
10,270.94499999999994,41.64074897896013,21.22256488679797,21.3214886886232,21.0320316260362,17.418263629283494,17.41817086363812,11170.741043613707,21.192028400485782,26435.521043614535,-0.1161682242990653,0.6605025398374121,1.1452315745963095,66.05025398374121
11,296.71765957446814,41.646535345933074,21.195826612377655,21.283017239274596,21.008806527230877,17.417612379110224,17.417653986671375,10869.290909090909,21.162550126294235,26134.070909091733,-0.11660348162475895,0.66150592606994,1.1453907151094391,66.150592606994
12,322.95257035647285,41.65241172842056,21.165425885588625,21.24112686961038,20.978707164137212,17.42081050656658,17.420861684383958,10574.301313320826,21.12841997311192,25839.081313321654,-0.11281425891181907,0.6624850810033855,1.145552331289121,66.24850810033855
13,349.825,41.635165396673926,21.1127812191555,21.207815782276224,20.914218942218884,17.418272895125476,17.418279993429927,10269.130723781389,21.078271981216528,25533.910723782217,-0.1132496307237815,0.6634951694485635,1.145078011202511,66.34951694485635
