alpha,nufit
0.05,1.1876885122404103e-06
0.1,1.2790871240084515e-06
0.2,1.557041002286271e-06
0.3,2.0726370489331563e-06
0.4,2.3621514380437224e-06
0.5,3.713928460549414e-06
0.6,5.684559070765792e-06
0.7,1.615008179174082e-05
0.8,1.3189946820846829e-05
0.9,1.1805406717692289e-05
0.95,1.0974290062822486e-05
1.0,9.898061714822422e-06
