t0,a0,t5,a5,t10,a10,t20,a20,t30,a30,t40,a40,t50,a50,t60,a60,t65,a65,t70,a70,t75,a75,t80,a80,t90,a90,t100,a100
782968193036.8765,0.00514393081381043,449133940015.70886,0.0049193723822124275,288331505720.4611,0.0050299846909453725,174320983355.98883,0.004946338647263317,114535154501.1035,0.004863176752211649,68344537941.73175,0.004818087547150172,37489884073.29838,0.004863744195904104,23895120730.75315,0.0048792349382004475,18499968290.609734,0.004940760395445718,1116854197337.6042,0.004401660324419143,903001479622.0687,0.004096586904171382,779260492142.2079,0.0041680682407050605,464228614856.743,0.004065266492666501,375863490988.815,0.00408048213220824
827627826354.4021,0.005149340540175249,474730506360.4496,0.004942294848056619,304833788513.4722,0.005030689095140535,184294614952.8105,0.004966800651467951,121119516883.29272,0.004868490561777529,72250809404.05089,0.004819162176477665,39629775138.88735,0.004859175382505471,25261694804.822044,0.004866817305461941,19560250923.875515,0.0049198840848772175,1180536836704.9778,0.004361631112151119,954473278450.373,0.004136517264392451,823669616353.7579,0.00418096762771574,490820377371.7422,0.004092474578973988,397241628581.2437,0.004097914598076848
873448057205.5182,0.0051435131789722335,501156657795.72345,0.004947009853131002,321679170537.99695,0.005027601995734615,194570688161.34415,0.004972474514069608,127830648268.49884,0.004877275927359608,76252679101.10373,0.0048243190149565565,41830191361.342445,0.0048603730130426445,26663232953.733597,0.0048562756259523,20646916516.341507,0.004902044299132796,1246044127286.2827,0.004345078902833547,1007384857164.4854,0.004136056496635279,869496364060.0981,0.0042170792942123544,518154526193.3725,0.004109989357651535,419313012370.9122,0.00410895083954728
920648928447.9135,0.005139630323268441,528250610873.9631,0.004963070240176112,339027897925.0341,0.0050347823181915085,205055673401.85413,0.0049708741224866355,134724448503.5222,0.004877365866126308,80388258532.24101,0.00482916543786352,44097707852.966095,0.004843506792400315,28109984163.05863,0.004839946616688108,21759502935.53649,0.004877184587594977,1313637844197.7886,0.004363635269715786,1061828961706.4209,0.004178544618221917,916334585465.3739,0.004219633907958407,545982870528.28613,0.004127029665950167,442061953883.33167,0.004110475778265268
969227358428.4694,0.0051428189878848065,556096791953.0079,0.004969144870927922,356957740919.6413,0.0050318852980560215,215878807546.9371,0.004976431047480995,141824957681.48502,0.00487837552270578,84637990140.3574,0.004822801507383399,46419765438.44865,0.004835981468527601,29593793195.000755,0.0048281921049631365,22907103396.297047,0.004863413196732737,1382862289408.2527,0.004361132981163877,1117863327062.9067,0.004200936678934172,964408900617.6356,0.004204214614936249,574635756174.0253,0.004136380458349212,465336688905.9386,0.0041149765792671674
1018927656473.5653,0.005143574418137852,584487423943.9225,0.00497444561527536,375253791819.7477,0.005036810924409813,226989235183.85553,0.004981438016567265,149102762099.85724,0.004875502154356183,88952156463.66599,0.00483115492386178,48794612600.75189,0.004833164092520828,31113146552.79861,0.004818685319742066,24083959702.5289,0.004846265310683899,1454131679046.3833,0.004359152956080156,1175132078533.8977,0.004243718790293114,1014165770238.0144,0.004224108744421396,604198503024.5037,0.00414852772750201,489154307140.17694,0.0041158141393073736
1069817633385.7053,0.005147641851478052,613783903614.2499,0.004992492323269617,393996563031.9799,0.005047844146980976,238242002393.17935,0.004983875333187231,156548291229.28693,0.00489663740658166,93389328599.82207,0.004846752186796592,51236012662.658035,0.00482761056872126,32663425294.931225,0.004799203567407686,25283732117.220234,0.004826821030647123,1526911891901.9497,0.0043578067826135465,1233574387395.9902,0.004254319909604435,1064675596411.5493,0.004237101724845907,634420253550.7399,0.004150175743313378,513557748762.22675,0.004130589831605362
1122020647880.1877,0.005150163952816112,643663731729.2969,0.005007493853859196,413194782353.73785,0.005055863168760895,249847524449.76514,0.004990277951795163,164161659379.8231,0.004894799868479171,97936087151.50696,0.004847649683011246,53725244402.01518,0.0048176627893953446,34257396812.507477,0.0047845170858942165,26517070464.37893,0.004812535466803785,1601341379085.4463,0.004347588747203008,1293962134308.0027,0.004299943422291168,1116884360128.112,0.004250580814952615,665338569277.5671,0.004170356599734249,538548561277.0947,0.004141532428972738
1175673876780.5137,0.005142286782484726,674275223231.3367,0.005016955927466244,432817095466.4601,0.005055523471296759,261825694941.03726,0.004994567759021171,171965219903.74832,0.0048992482116185605,102590083732.27386,0.004843845946883107,56285683525.622955,0.004812237417985802,35887884701.56227,0.0047735945370425414,27781088007.960075,0.004788647363322617,1677516091899.1975,0.004349544574242252,1355729715311.7402,0.004299491010176199,1169779285790.7778,0.0042542928772879044,697026676020.8567,0.004181472227926969,564188600676.7969,0.004148639119362349
1230388114584.087,0.005144454956550217,705684695346.5709,0.005027190961523018,452989282839.8409,0.00506782084974576,273958664638.6677,0.004995880216527673,179950813011.20755,0.004903918909320405,107343904948.67867,0.004839956141254935,58903245664.021645,0.004805712550218034,37551036152.996254,0.0047637993196161,29067662117.42179,0.004766608256065609,1755580141577.7527,0.004366328305431503,1418685478507.6372,0.004305049758881178,1224306689681.3093,0.0042797129204437635,729353064299.6008,0.004179615826866311,590406017431.229,0.00415143288282124
