time,torque,temptop,tempmid,tempbot,fic,icangle,balance,tempavg,mass,dm,alpha,torquenorm,alpha100
17.951271080574642,43.23213487834976,21.492291497463405,80.67564611304326,21.33169704920122,17.499014366021232,17.49899840327195,15892.830730793254,41.16654488656945,28293.830730793255,-0.0886266924564803,0.6402330452755458,1.1889989280670457,64.02330452755459
41.845,43.27827716282344,21.49032023336721,63.08886578940272,21.330316403307123,17.497822493224916,17.497814852465105,15530.376693766937,35.30316747535909,27931.37669376694,-0.1942140921409213,0.6415077605865306,1.190267963864888,64.15077605865307
56.76,43.25718183000802,21.490048836781344,53.92175936767355,21.331053309789684,17.49822561380227,17.498233797829194,15246.640345056403,32.24762050474815,27647.640345056403,-0.18864631718646374,0.6425026153447818,1.189687785990829,64.25026153447818
71.99,43.25828940571136,21.47645043223002,69.57431801055377,21.296891959831033,17.49796621182586,17.4979602555774,14961.00129954516,37.449220134204985,27362.001299545158,-0.18716049382716107,0.6435014815384723,1.1897182472744952,64.35014815384723
87.39,43.27516629587516,21.45568659326887,35.36015353791902,21.265161326375345,17.49773848150553,17.497728747583743,14673.205710577548,26.02700048585441,27074.205710577546,-0.18697598961713238,0.6445052025198723,1.1901824067329705,64.45052025198723
102.70499999999998,43.28250847758273,21.435594617419383,67.08973868680368,21.25067053087763,17.498931668856756,17.49890330704067,14386.849540078843,36.59200127836674,26787.849540078845,-0.18603153745072235,0.6455012335214045,1.1903843362977384,64.55012335214046
118.10000000000001,43.26726269417759,21.41507613759993,52.83484422979179,21.226931485062323,17.4967572254335,17.496761935350037,14099.177263969172,31.825617284151758,26500.17726396917,-0.18770070648683365,0.6464991561091012,1.1899650366222247,64.64991561091013
133.585,43.280477296140404,21.39573398862215,64.6637384202371,21.201934773403707,17.49820519480521,17.498229437232126,13809.487012987012,35.75380239408767,26210.487012987014,-0.1878571428571424,0.6475013794943439,1.1903284733947281,64.75013794943439
149.105,43.28968461379452,21.38394055289437,40.71564916369038,21.16465088797856,17.49697890025572,17.496934676033113,13520.184782608696,27.754746868187635,25921.184782608696,-0.18485294117647097,0.6484995533137679,1.190581699168841,64.84995533137679
164.79,43.302764415409754,21.34744586473578,30.023402071240874,21.147652405323523,17.499031786395406,17.49900243694836,13227.671964399236,24.172833447100093,25628.671964399236,-0.1869930069930066,0.6495060630952194,1.1909414285725264,64.95060630952194
182.34710358056265,43.307464407881945,21.312609981588533,89.60328921910593,21.12020337419602,17.49991304347826,17.499920964774525,12936.743606138107,44.01203419163024,25337.74360613811,0.15359974424552403,0.6505044010509876,1.191070690891565,65.05044010509876
196.10499999999993,43.30779728253962,21.290791928283543,34.61717515092372,21.093025496772206,17.497760759493644,17.497765822794513,12645.896202531645,25.66699752532652,25046.896202531647,-0.18533544303797347,0.6514997431542441,1.1910798458318024,65.1499743154244
211.91000000000003,43.33723720335531,21.269785542454184,21.274530389294952,21.054312863533045,17.499422517394038,17.499404561097336,12353.039848197344,21.199542931760636,24754.039848197343,-0.18532574320050602,0.6524992314861927,1.1918895221152137,65.24992314861927
227.845,43.33816007324751,21.240153513902364,21.279991528216655,21.006992313436786,17.499458281444586,17.499457589608728,12058.27397260274,21.175712451851805,24459.27397260274,-0.1845703611457048,0.6535024717064148,1.19191490349681,65.35024717064148
243.86000000000007,43.33401515888754,21.19969791265507,21.241063757822065,20.968491419367496,17.4982467125861,17.498269846234802,11762.41828428303,21.136417696614988,24163.41828428303,-0.18507201001878376,0.6545066471944396,1.1918009073052085,65.45066471944396
259.86,43.32493228335715,21.15453182077747,21.226939249623886,20.955086566514982,17.497708047411106,17.497706903715173,11467.44915782907,21.112185878972102,23868.44915782907,-0.18402994385527136,0.655505045723396,1.1915511040211517,65.55050457233959
275.83000000000004,43.33199504854294,21.12578503826539,21.206334563823415,20.932445399425553,17.498297297297302,17.498291256362172,11172.954116907606,21.088188333838104,23573.954116907604,-0.18439346323067418,0.6564990961014612,1.1917453488868917,65.64990961014612
291.895,43.33742202171947,21.072815715068753,21.175547058490366,20.888482540891403,17.497703452527773,17.497695232232985,10877.35758323058,21.045615104816907,23278.35758323058,-0.18376078914919708,0.6574941054853062,1.1918946051127914,65.74941054853062
308.115,43.35240742287992,21.05918279633049,54.61018500347462,20.884765195181398,17.497866214549934,17.49788070283592,10578.87607891492,32.18471099832851,22979.87607891492,-0.18430332922318268,0.6584960371361004,1.1923067435826258,65.84960371361004
324.415,43.35008765116928,21.04201585830966,88.94089401655883,20.864660425448207,17.4978431013431,17.497824243670514,10279.833943833944,43.61585676677241,22680.833943833943,-0.18272283272283227,0.659497042296181,1.1922429436781088,65.9497042296181
341.04499999999996,43.34492354366336,21.03167710894948,90.0,20.837321381157615,17.496795023696663,17.496783504475395,9980.619668246445,43.95633283003557,22381.619668246447,-0.17804502369668299,0.6604958222774161,1.1921009169587196,66.04958222774161
357.9999999999999,43.33825930982533,21.00471395171462,60.028232297452604,20.81796534877914,17.49717381092189,17.497147354328664,9678.776864357016,33.95030386598209,22079.776864357016,-0.17684086905460944,0.6615005380963723,1.1919176327671777,66.15005380963723
374.98999999999995,43.35272579711758,20.99151111320189,72.22330479041634,20.820305285039968,17.498051917404144,17.498081776479196,9377.729203539822,38.01170706288624,21778.729203539824,-0.177840707964601,0.66249978283077,1.1923154997226675,66.249978283077
392.0650000000001,43.35285346856245,20.979840256242266,90.0,20.820513538644537,17.4984924418605,17.49849127904919,9075.65,43.93345126496245,21476.65,-0.1762558139534883,0.6634996139883909,1.1923190110276616,66.34996139883908
409.22499999999997,43.37311007309382,20.980932349434294,85.18293557613514,20.80725689567364,17.496191004672905,17.49618574768028,8772.917640186915,42.32370827374764,21173.917640186915,-0.17678738317757,0.6644987709358281,1.192876121638596,66.44987709358281
426.51,43.34311237392155,20.983568502050982,90.0,20.803607133574925,17.497496275071626,17.49749872651072,8468.799426934098,43.92905854520878,20869.799426934096,-0.17511747851002965,0.665499643700914,1.1920511049638314,66.5499643700914
443.9600000000001,43.35023717405573,20.98068779249043,90.0,20.80628585985068,17.49770945558739,17.497697389361107,8162.577650429799,43.92899121744686,20563.5776504298,-0.17437249283667555,0.6665045604384846,1.1922470559559826,66.65045604384846
461.32000000000005,43.344367946015055,20.985729091190223,57.73658663609769,20.824075994840666,17.49814707585407,17.49813308243675,7858.129704690215,33.182130574042745,20259.129704690215,-0.17625361899247216,0.667500796491936,1.1920856365426555,66.75007964919361
478.80500000000006,43.35234245884264,20.997087534494547,33.116200686883836,20.845179626284413,17.497857062146913,17.497885907081695,7552.125988700565,24.986155949220947,19953.125988700565,-0.17483050847457668,0.6684992508746779,1.1923049568984636,66.84992508746778
496.50000000000006,43.32255611439658,21.022179684695086,21.053159073487873,20.867959470504672,17.49942283776138,17.499429527037197,7243.7795364612775,20.981099409562546,19644.77953646128,-0.17383267382702,0.6695024532083326,1.191485753041956,66.95024532083326
514.1981431005111,43.33771615755962,21.069340289930658,21.060963019285992,20.883377992755836,17.49723679727426,17.497230109164192,6935.758659852357,21.00456043399076,19336.758659852356,-0.47562180579216545,0.6705016980423518,1.1919026946323035,67.05016980423518
532.01,43.30617088223545,21.103346923868475,21.090874827870433,20.936443976631185,17.497650864472927,17.497647177288698,6626.953708867819,21.04355524279003,19027.95370886782,-0.17318460680423692,0.6715005842354258,1.1910351154888825,67.15005842354257
549.9000000000001,43.30209249224659,21.13884434804652,21.106147287908556,20.983909736726158,17.497240896358527,17.4972528789297,6316.559663865546,21.076300457560322,18717.559663865548,-0.17371428571428668,0.6725016952392782,1.1909229488947821,67.25016952392781
567.7550000000001,43.276546149897904,21.169605981830898,21.12715534505025,21.041403528394696,17.4978180291153,17.497798929938217,6008.178611422172,21.112721618425116,18409.178611422172,-0.1726371780515107,0.6734934230013356,1.1902203563960752,67.34934230013356
585.8499999999998,43.294140195804395,21.226441884355694,21.169001889064784,21.0871043039359,17.49676977632295,17.496746529674702,5694.761047463175,21.16084935911886,18095.761047463177,-0.17286961265684814,0.674498396976655,1.190704239548782,67.44983969766551
604.07,43.26469584252059,21.278609546367967,21.20071420709702,21.15068683202497,17.49896189950302,17.49897478374496,5380.2733296521255,21.21000352849665,17781.273329652126,-0.1722694643843178,0.6755038360032607,1.1898944413606845,67.55038360032607
701.4558085991681,43.252239687563254,21.512376566021707,21.4190470253246,21.380805832567074,17.49618751733701,17.49622048033514,9863.64826629681,21.43740980797104,17493.894868238556,0.22953398058252458,0.6764200638297074,1.1895518639021856,67.64200638297075
767.175,43.26012602167192,21.64381975772374,21.572529001696005,21.515348521365137,17.495704678362543,17.495678809288137,12456.74269005848,21.57723242692829,17155.74269005848,-0.22962719298245687,0.6774948683863612,1.1897687591082162,67.74948683863612
780.9800000000001,43.24586974270155,21.67462223784663,21.600403151209775,21.53641849521934,17.496238334529785,17.496229361083262,12138.99928212491,21.603814628091932,16837.99928212491,-0.23017229002153436,0.6785017421383776,1.1893766734418088,67.85017421383776
794.8199999999997,43.25559300788105,21.700942726617566,54.35287932751869,21.53724894386009,17.497644363636365,17.497675959606344,11821.410181818183,32.53035699933226,16520.41018181818,-0.23007272727272754,0.6795051267668273,1.1896440891479327,67.95051267668273
808.57,43.23885289433116,21.72483581540866,64.9908433676712,21.560479737754306,17.49674909090914,17.496678989896857,11505.511272727274,36.09205297361135,16204.511272727274,-0.22968000000000094,0.6805001932439192,1.1891836914108662,68.05001932439193
822.4150000000005,43.25867503811235,21.753140736844177,49.2856214074082,21.596265716456827,17.497456241032978,17.497464131980255,11187.243902439024,30.87834262023646,15886.243902439024,-0.22931133428981337,0.6814997273979921,1.1897288531932797,68.14997273979921
836.345,43.24329933031675,21.79708701423274,63.960480117224286,21.62454775604995,17.497706896551737,17.497777378669493,10867.933908045978,35.794038295835776,15566.933908045978,-0.22914511494252826,0.6824995291437325,1.1893059802507642,68.24995291437325
850.3099999999997,43.21081684764378,21.807422167625866,79.410547562008,21.64703713963685,17.498291220556766,17.49826215401979,10548.21341898644,40.955002289757026,15247.21341898644,-0.22992862241256187,0.6834976013512777,1.1884126254074792,68.34976013512777
864.4800000000004,43.18121634592106,21.83929982929317,53.04208054793791,21.644281144140173,17.49758618283323,17.497584709614937,10225.16748080949,32.175220507123804,14924.16748080949,-0.22555478018143835,0.6845030019634051,1.187598532721157,68.4503001963405
878.8149999999998,43.197858022794314,21.849651719564367,47.61910312749736,21.65903580648998,17.497999999999998,17.498001510942135,9901.863319386332,30.375930217850534,14600.863319386332,-0.22453277545327724,0.6855061454113274,1.1880562231872702,68.55061454113273
893.1500000000001,43.2068825154666,21.848631898088684,43.070774384126885,21.700991507165124,17.498427076064214,17.498427153585798,9579.318213538032,28.87346592979357,14278.318213538032,-0.22569434752267975,0.686503886704899,1.1883044207871318,68.6503886704899
907.5149999999998,43.1929577174825,21.86379881281372,43.24146854406328,21.720452503409287,17.49839652777778,17.498397762346638,9256.038194444445,28.94190662009548,13955.038194444445,-0.22442361111111117,0.687500856265233,1.187921451731284,68.7500856265233
921.9699999999995,43.20871468179066,21.890700978782398,58.47519309434328,21.737136352484853,17.49762991040666,17.497624626695707,8931.13439007581,34.034343475203535,13630.13439007581,-0.22528600964851786,0.6884997714837728,1.18835481024399,68.84997714837728
936.505,43.19889685237205,21.9075082435856,27.175546328114187,21.751410175933653,17.497179258241758,17.49720543347783,8604.587225274725,23.61148824921118,13303.587225274725,-0.2244574175824185,0.6895006564216873,1.1880847937692656,68.95006564216874
951.0750000000003,43.21941195416707,21.93770646009724,45.999758845028964,21.770598084869185,17.495639917695463,17.49560604327022,8276.823731138546,29.90268779666512,12975.823731138546,-0.22530864197530864,0.6905021678401579,1.188649013743877,69.05021678401579
965.6150000000004,43.17523873517085,21.940895968780396,21.895402812968413,21.79206035455075,17.49525655172406,17.49529731801187,7949.970344827586,21.876119712099865,12648.970344827587,-0.2250206896551716,0.691497815923445,1.1874341324944646,69.1497815923445
980.2400000000004,43.15343855296147,21.956620119875158,21.92312045320713,21.836513779995137,17.495036610169496,17.495045009418153,7621.171525423729,21.90541811769247,12320.17152542373,-0.22460338983050906,0.6924962851902892,1.186834569383562,69.24962851902892
