alpha,einstein,pal1,pal2,phan,taylor
0.0,1.002004008016032e-06,1.002004008016032e-06,1.002004008016032e-06,1.002004008016032e-06,1.002004008016032e-06
0.014285714285714285,1.0388010087116e-06,1.048991358362526e-06,1.0208844484131477e-06,1.0376463244119752e-06,1.0368471510149635e-06
0.02857142857142857,1.0756697837186622e-06,1.0983618829970543e-06,1.0404918868678632e-06,1.0750222640275025e-06,1.0717582572324126e-06
0.04285714285714286,1.1126105432410704e-06,1.1502515831863238e-06,1.060869949181444e-06,1.1142385579299135e-06,1.1067375257107655e-06
0.05714285714285714,1.1496234983043054e-06,1.2048056715612707e-06,1.082065861340548e-06,1.155409862858138e-06,1.1417851562704125e-06
0.07142857142857142,1.1867088607594937e-06,1.2621793529896892e-06,1.1041308312801107e-06,1.1986594489638438e-06,1.1769013495135474e-06
0.08571428571428572,1.2238668432874505e-06,1.322538690385214e-06,1.1271204805121224e-06,1.244119955851228e-06,1.2120863068279992e-06
0.09999999999999999,1.261097659402744e-06,1.3860615671195367e-06,1.15109533341637e-06,1.2919342245816572e-06,1.2473402303910778e-06
0.11428571428571428,1.2984015234577875e-06,1.452938759655966e-06,1.1761213734180135e-06,1.342256214276904e-06,1.282663323173451e-06
0.12857142857142856,1.33577865064695e-06,1.5233751363581968e-06,1.2022706770079004e-06,1.3952520130593013e-06,1.3180557889430349e-06
0.14285714285714285,1.3732292570106967e-06,1.5975910012358538e-06,1.2296221386677511e-06,1.4511009543322832e-06,1.3535178322689162e-06
0.15714285714285714,1.41075355943975e-06,1.6758236047778403e-06,1.2582623023363468e-06,1.5099968508531527e-06,1.3890496585252922e-06
0.17142857142857143,1.4483517756792769e-06,1.758328848134783e-06,1.2882863182134287e-06,1.5721493607179011e-06,1.4246514738954345e-06
0.18571428571428572,1.4860241243331013e-06,1.8453832119204507e-06,1.3197990475977186e-06,1.6377855012962371e-06,1.4603234853756775e-06
0.19999999999999998,1.5237708248679398e-06,1.9372859470335684e-06,1.3529163432919611e-06,1.7071513293721385e-06,1.4960659007794318e-06
0.21428571428571427,1.5615920976176643e-06,2.0343615724504452e-06,1.3877665391386279e-06,1.7805138083115921e-06,1.5318789287412183e-06
0.22857142857142856,1.599488163787588e-06,2.136962734279538e-06,1.4244921898125661e-06,1.8581628860585807e-06,1.5677627787207267e-06
0.24285714285714285,1.6374592454587798e-06,2.2454734919969828e-06,1.4632521115372682e-06,1.9404138112291253e-06,1.6037176610069016e-06
0.2571428571428571,1.6755055655924005e-06,2.3603131123433565e-06,1.504223786502912e-06,2.0276097186236566e-06,1.6397437867220487e-06
0.2714285714285714,1.713627348034068e-06,2.4819404697144707e-06,1.547606209242345e-06,2.1201245202223045e-06,1.6758413678259672e-06
0.2857142857142857,1.7518248175182478e-06,2.6108591751664086e-06,1.593623273141104e-06,2.2183661433047226e-06,1.712010617120106e-06
0.3,1.790098199672668e-06,2.7476235859202688e-06,1.6425278210861936e-06,2.3227801639094865e-06,1.7482517482517483e-06
0.3142857142857143,1.8284477210227606e-06,2.8928458855801824e-06,1.6946065180137418e-06,2.4338538916328618e-06,1.7845649757182144e-06
0.32857142857142857,1.8668736089961345e-06,3.047204475049112e-06,1.7501857476057963e-06,2.5521209710097265e-06,1.820950514871096e-06
0.34285714285714286,1.905376091927068e-06,3.2114539793001136e-06,1.8096387945474631e-06,2.6781665757457198e-06,1.8574085819205125e-06
0.35714285714285715,1.9439553990610326e-06,3.3864372613099372e-06,1.8733946531927789e-06,2.812633285272089e-06,1.8939393939393937e-06
