bins,hist
-90.5,0.31047449034662744
-89.5,0.31324699873979783
-88.5,0.3160756340785792
-87.5,0.3189581790163044
-86.5,0.3218931782401739
-85.5,0.3248779617668622
-84.5,0.3279102893313905
-83.5,0.3309872789560493
-82.5,0.33410585958705663
-81.5,0.3372626278551094
-80.5,0.340453189173919
-79.5,0.34367422038827367
-78.5,0.3469204617456141
-77.5,0.3501871634258186
-76.5,0.35346820623963526
-75.5,0.3567589263106117
-74.5,0.36005166892260493
-73.5,0.3633401601877583
-72.5,0.3666168542519099
-71.5,0.36987470373417963
-70.5,0.3731048449774769
-69.5,0.3762986034007833
-68.5,0.37944716118363186
-67.5,0.38254100149704545
-66.5,0.3855706533486705
-65.5,0.3885254539939397
-64.5,0.3913954053193279
-63.5,0.3941703659718614
-62.5,0.39683875074492264
-61.5,0.39939140950252333
-60.5,0.4018168601704491
-59.5,0.4041039243421169
-58.5,0.40624456341966103
-57.5,0.4082268827992547
-56.5,0.41004311890277373
-55.5,0.4116839153294237
-54.5,0.41314101575737683
-53.5,0.4144076592846505
-52.5,0.4154774803501408
-51.5,0.416343981612451
-50.5,0.41700427536429363
-49.5,0.4174542649574335
-48.5,0.41769207109030254
-47.5,0.4177159806190933
-46.5,0.4175274889636512
-45.5,0.4171263612112801
-44.5,0.416515777277743
-43.5,0.4157000572648153
-42.5,0.41468316031086117
-41.5,0.4134694695430135
-40.5,0.4120678085113173
-39.5,0.4104844568332071
-38.5,0.4087268056642402
-37.5,0.40680517970388475
-36.5,0.4047268325978272
-35.5,0.4025026906512207
-34.5,0.4001436629804844
-33.5,0.3976566136200042
-32.5,0.39505543106673385
-31.5,0.3923481481889612
-30.5,0.3895469919060343
-29.5,0.3866596971481875
-28.5,0.38369795798401923
-27.5,0.3806709474678297
-26.5,0.3775894486653233
-25.5,0.37445972973477865
-24.5,0.3712919205700137
-23.5,0.3680960479324432
-22.5,0.36487795599157763
-21.5,0.36166415550459746
-20.5,0.3584359050220242
-19.5,0.35519628705679546
-18.5,0.35196165955396236
-17.5,0.34873919021554195
-16.5,0.34553361740249994
-15.5,0.3423501779490838
-14.5,0.33919242419362333
-13.5,0.3360663893817014
-12.5,0.33297382103459305
-11.5,0.32991946324284194
-10.5,0.32690675375321887
-9.5,0.323937680729273
-8.5,0.32101453027260685
-7.5,0.31814046511024957
-6.5,0.31531723849305426
-5.5,0.31254659794229606
-4.5,0.30982998731161865
-3.5,0.3071675956770945
-2.5,0.30456429890956016
-1.5,0.30201586285090953
-0.5,0.2995276160086375
0.5,0.2970730017889396
1.5,0.2947039931934122
2.5,0.2923935065070794
3.5,0.29014430338651387
4.5,0.28795512905414417
5.5,0.28582809772423434
6.5,0.2837614504163533
7.5,0.2817556913333609
8.5,0.2798104824301579
9.5,0.2779261617518435
10.5,0.2761033137153686
11.5,0.2743399272388724
12.5,0.2726375894154474
13.5,0.2709945183463508
14.5,0.26941141876967045
15.5,0.26788798701777505
16.5,0.2664230198792948
17.5,0.2650176861881318
18.5,0.2636695967102803
19.5,0.2623803499979887
20.5,0.26114881159482267
21.5,0.2599740017429526
22.5,0.258857026250923
23.5,0.2577962464594398
24.5,0.2567921723009408
25.5,0.2558436635894136
26.5,0.2549508578347289
27.5,0.25411431080594815
28.5,0.25333195412543086
29.5,0.252604847765098
30.5,0.2519323041755955
31.5,0.2513144436780603
32.5,0.2507500859794343
33.5,0.25024048012771116
34.5,0.24978343169453532
35.5,0.2493820461111564
36.5,0.24903224964765108
37.5,0.24873619662532903
38.5,0.24849382401883277
39.5,0.2483049312929341
40.5,0.2481683725320426
41.5,0.24808526500385883
42.5,0.2480553967139987
43.5,0.24807855566807788
44.5,0.24815478197314209
45.5,0.24828419022075035
46.5,0.24846664863060972
47.5,0.2487033031183106
48.5,0.248992600968228
49.5,0.24933627251290338
50.5,0.2497335671776251
51.5,0.25018454798775047
52.5,0.25069020616026527
53.5,0.25125032970078515
54.5,0.25186506184875895
55.5,0.25253500993944955
56.5,0.2532600708404537
57.5,0.25404091491239184
58.5,0.254877530696108
59.5,0.2557709953522571
60.5,0.2567206843568423
61.5,0.2577273597437313
62.5,0.25879178354679144
63.5,0.25991386982235365
64.5,0.2610942087169467
65.5,0.2623333273517423
66.5,0.2636314434507025
67.5,0.2649889981913296
68.5,0.2664063181595667
69.5,0.2678842456033728
70.5,0.2694225169621622
71.5,0.27102215210080993
72.5,0.2726829619432439
73.5,0.27440578300784474
74.5,0.276190575187567
75.5,0.2780379343585176
76.5,0.27994780322491697
77.5,0.28192051983186417
78.5,0.28395622741880805
79.5,0.2860550978730872
80.5,0.28821691920031733
81.5,0.2904423331132291
82.5,0.2927302223441219
83.5,0.2950808275352697
84.5,0.29749433776274486
85.5,0.29996909717851966
86.5,0.30250545528684886
87.5,0.3051025927580856
88.5,0.30775912876394346
89.5,0.31047449034662744
90.5,0.31324699873979783
