rei,a,cf,cfc,cfcrei,epsilon,epsilonc,eta,etac,fic,ficfn,foc,g,gc,gstd,jlamc,lambc,lambda,mu,muc,nuw,nuwc,nuwta,nuwtac,reic,reoc,rho,ta,tac,tempavg,tempavgstd,tempbot,tempmid,temptop,time,torque,torquestd,dr,drc,drgc,drt,drcf,drcfc,drcfrei
267411.4052108733,0.0,0.030841382172932457,0.027974042787240326,0.030841382172932457,0.08310659310959632,0.08310659310959632,7.958036009710645e-05,8.254634994418518e-05,4.0191866180254285,-4.024623654691354,0.0,351053351.00446314,318415737.87252885,115752878.39126869,6.5109936996529465e-06,0.0003488199585010427,0.00033220948428670734,1.492091818246431e-06,1.566696409158752e-06,126.01707967990791,120.01626636181706,0.004857666802006389,0.0046263493352441815,254677.52877226032,0.0,1032.0240323924406,108428114446.966,98347496097.02127,19.451451761989613,0.03060845995324743,19.492404698407107,19.42873932388416,19.433211263678924,59.86802708344674,2.717613186159982,0.8961773587856826,2.950476657239176,7.571882530703977,11.936438141874973,1.4279989191469222,2.9277996810608053,11.952652771937233,2.9277996810608053
278493.215731318,0.0,0.03056482028690505,0.027723193003995502,0.03056482028690505,0.09293679398884118,0.09293679398884118,7.736527169153299e-05,8.024870436353371e-05,4.184600222679678,-4.189050178018474,0.0,377321523.48753023,342241744.6598913,114483607.28580056,6.7771153774301674e-06,0.00033796810326039455,0.00032187438405751863,1.4916854711441963e-06,1.5662697447014063e-06,130.0646398809356,123.87108560089105,0.0048534049917956365,0.004622290468376797,265231.6340298266,0.0,1032.0222541402372,117593611872.68733,106660872446.88193,19.459444894533934,0.031665217889760434,19.502050218616148,19.436717156679823,19.439567308305683,59.860275871503255,2.91937347903482,0.8857177429730501,2.7292565422899595,7.361196706942819,11.801312782352014,1.2510743407850744,2.7486275295248386,11.790138348775391,2.7486275295248386
289575.02625176264,0.0,0.03019899447435118,0.027391378208028283,0.030198994474351176,0.10311119960345813,0.10311119960345816,7.536546565674638e-05,7.817436480831481e-05,4.349036283375241,-4.353911041772078,0.0,403086962.70408463,365611757.55472517,122350506.73263717,7.04006333549408e-06,0.0003289277712062353,0.0003132645440059384,1.4909766033001041e-06,1.565525433465109e-06,133.61326889592982,127.25073228183793,0.004832755588263776,0.004602624369775025,275785.7392873929,0.0,1032.0191519997304,127160421867.859,115338251127.30975,19.473388822282146,0.035119871911374084,19.520179391145557,19.445169730205947,19.45481734549479,59.85340070283413,3.1156617721698767,0.9458671647072002,2.9910521020698355,7.610525811495084,12.031747439887619,1.5059942765670575,3.0011189468002852,12.019155507301837,3.0011189468002963
300656.8367722073,0.0,0.029923684655992988,0.027141664087068473,0.029923684655992988,0.11423150181568785,0.11423150181568785,7.34437678141877e-05,7.618104456692271e-05,4.513376439465431,-4.5183154823167255,0.0,430614264.01233023,390579831.30370086,129868059.96559882,7.302700610365361e-06,0.0003197103657405628,0.00030448606261005985,1.4902867361295299e-06,1.5648010729360062e-06,137.46182286377248,130.91602177502145,0.004824759992939388,0.004595009517085133,286339.84454495943,0.0,1032.0161330097847,137093975846.68813,124348277411.962,19.486958993453698,0.03746391505516691,19.537357578691367,19.45520619424785,19.468313207423282,59.86071805912612,3.3252844025551607,1.0033243096216928,3.057942496007937,7.674230948578953,12.08325945996428,1.561079609231475,3.06550673912821,12.077557132996098,3.06550673912821
311738.64729265205,0.0,0.02960824087497521,0.026855547278889082,0.02960824087497521,0.12577989353760138,0.12577989353760138,7.166177106907425e-05,7.433263213523681e-05,4.677522821615752,-4.682209918921899,0.0,458006050.24224246,415424988.88185257,130622839.69063516,7.56471636778291e-06,0.00031153866837417896,0.00029670349368969426,1.4895842518275766e-06,1.564063464418955e-06,141.01932748973385,134.30412141879413,0.004808550810000852,0.0045795722000008116,296893.9498025257,0.0,1032.0130588048726,147381900187.80887,133679728061.50465,19.500777352450108,0.03818798395843685,19.55209529411301,19.46852699791275,19.481709765327206,59.87028720699025,3.5333633273728324,1.0081781275384902,3.2317688558793245,7.839779862742224,12.237043080337994,1.7107127186740678,3.231780344687507,12.228372194727887,3.231780344687507
322820.4578130967,0.0,0.029285975351304838,0.02656324294902933,0.029285975351304838,0.13785514553234632,0.13785514553234632,6.999003273595585e-05,7.259858748788519e-05,4.8407366217970615,-4.845649569638941,0.0,485794376.27340966,440629819.7491243,132209946.05941305,7.823723194756262e-06,0.00030402000774465686,0.0002895428645187208,1.4886419254332304e-06,1.5630740217048915e-06,144.45242385680217,137.5737370064783,0.00478967773142612,0.004561597839453447,307448.0550600921,0.0,1032.0089350053481,158022972035.1429,143331493909.42667,19.519313573647754,0.03857802337317958,19.571347421772522,19.488797468037426,19.497795831135605,59.866495474631826,3.742881549632688,1.0189373721137858,3.3624734235616627,7.964260403392032,12.348477104216894,1.8275691876832312,3.3611485055141666,12.345712930171581,3.3611485055141666
333902.2683335414,0.0,0.029021041494306187,0.02632294013088996,0.02902104149430618,0.15077481758472355,0.15077481758472355,6.838881885122571e-05,7.093769576154545e-05,5.003026145104214,-5.009289913330392,0.0,515000540.60155255,467120671.74743986,141504127.8228334,8.079743644378391e-06,0.00029652070721704864,0.0002824006735400463,1.4874835580659775e-06,1.5618577359692758e-06,148.0655890857455,141.0148467483291,0.004778578591039593,0.004551027229561516,318002.16031765845,0.0,1032.003865769437,169039549899.38943,153323854784.02673,19.542099472330367,0.04184660407690094,19.598631573235764,19.50858915166308,19.519077692092388,59.8614346344584,3.961641263921338,1.0890394696219892,3.758933742033821,8.341841659079808,12.721571320253078,2.245849707020786,3.7616839405258617,12.709010376894215,3.761683940525884
344984.0788539861,0.0,0.028785832267178218,0.02610959842827957,0.028785832267178218,0.16450918601872974,0.16450918601872974,6.686844252787566e-05,6.936065444279587e-05,5.164554744364871,-5.171022381770004,0.0,545312077.7404057,494614129.4697555,151914938.28999576,8.33332632369491e-06,0.000289280320734904,0.00027550506736657515,1.4861853995950459e-06,1.5604946695747982e-06,151.74212514319436,144.5163096601851,0.00477091551300407,0.004543729060003874,328556.2655752249,0.0,1031.9981847810686,180446257626.35275,163670074944.53766,19.567635160082663,0.0416138579041227,19.623319127757497,19.532682852305726,19.546903500184158,59.862315112846616,4.187349300229618,1.16790099886262,3.9443636276162097,8.518441550110678,12.888879168335365,2.449930232877806,3.954689661685029,12.884072255496603,3.954689661685029
356065.88937443076,0.0,0.028594805350562625,0.025936331383730277,0.028594805350562625,0.1792414544630088,0.1792414544630088,6.541457812540396e-05,6.785260396914404e-05,5.325654551401457,-5.332183103075422,0.0,577093473.5841963,523440792.36661786,158523834.3522381,8.585537950609875e-06,0.00028214895373618353,0.0002687132892725557,1.4848530421021031e-06,1.559095694207208e-06,155.57177756203185,148.16359767812554,0.00476923295491786,0.004542126623731295,339110.37083279114,0.0,1031.9923541312762,192251420038.8186,174377705250.62906,19.593843566587765,0.04636199100047056,19.6545231402288,19.55584135622888,19.57116620330689,59.86556148477505,4.4233122407359495,1.2174352790221032,3.941817267093106,8.516016444850605,12.875388578156066,2.458580473093541,3.9430557716959913,12.873519974327419,3.9430557716959913
367147.69989487546,0.0,0.028351693249048283,0.02571582154108688,0.028351693249048286,0.19415337840891925,0.19415337840891925,6.406359221722755e-05,6.645126630982821e-05,5.485223718738466,-5.492075724363463,0.0,608321904.9849197,551765900.213079,141887384.99181005,8.83282246750047e-06,0.0002759350262423209,0.00026279526308792473,1.4831889924905781e-06,1.5573484421151066e-06,159.04331904523406,151.4698276621277,0.004757712943687939,0.004531155184464703,349664.47609035764,0.0,1031.9850719336875,204408845173.24936,185404848229.7046,19.626576589739976,0.048214005847788816,19.689216543424152,19.584469569869,19.606043655926854,59.868728639307655,4.651995171704651,1.0874108174232897,4.158863937294177,8.722727559327769,13.064770656886616,2.729437606525198,4.150555976328684,13.061728776715354,4.150555976328674
