alpha,nu
0.0,9.778278525972605e-07
5.0,1.2316430942715044e-06
10.0,1.4271299478684563e-06
20.0,1.7001567558045271e-06
30.0,1.9429597466266174e-06
40.0,2.2436445314466666e-06
50.0,2.6619241886064916e-06
60.0,2.967701720859415e-06
65.0,3.046522585163464e-06
70.0,5.151291634607771e-07
75.0,6.076811052832989e-07
80.0,6.869877641717269e-07
90.0,9.049225159807086e-07
95.0,9.908906414216879e-07
100.0,1.0845626195314691e-06
