t0,a0,nc0,t100,a100,nc100,t50,a50,nc50,t65,a65,nc65,t5,a5,nc5,t80,a80,nc80,t65_1,a65_1,nc65_1,t0_1,a0_1,nc0_1,t90,a90,nc90,t30,a30,nc30,t40,a40,nc40,t30_1,a30_1,nc30_1,t10,a10,nc10,t70,a70,nc70,t60,a60,nc60,t0_2,a0_2,nc0_2,t20,a20,nc20,t80_1,a80_1,nc80_1,t50_1,a50_1,nc50_1,t100_1,a100_1,nc100_1,t65_2,a65_2,nc65_2,t75,a75,nc75,t40_1,a40_1,nc40_1,t5_1,a5_1,nc5_1,t95,a95,nc95,t10_1,a10_1,nc10_1,t70_1,a70_1,nc70_1,t100_2,a100_2,nc100_2,t60_1,a60_1,nc60_1,t20_1,a20_1,nc20_1,t75_1,a75_1,nc75_1,t90_1,a90_1,nc90_1
1582863932394.5193,0.0051358316315140125,389.39306365809625,1294627939446.6296,0.005115626852981983,357.89600327591165,229135904493.31912,0.005656252353789094,197.95479947854952,164190330007.5649,0.005871617767151718,179.84435319292083,1031501165711.5573,0.0051841191172595415,331.17905391413535,3204131992646.111,0.00510034294890831,512.7238722670135,184780067475.47507,0.00587806069847215,188.75397877040317,1604860141564.688,0.005227205165719435,398.51477055300415,1831089586645.4587,0.0051259849758082884,411.9658020754414,384445763075.6776,0.005466408624582124,235.3076922146974,290248294464.0414,0.005614085761719151,215.96676018467602,424542006802.1112,0.005429243110223065,243.1686346401659,732451669020.4528,0.005320422865432112,296.38603742717675,6278111694303.847,0.005193839346564875,683.3136986911812,161880950918.40054,0.005886752498945363,179.28917779025085,1600004334310.24,0.005233730561161848,398.5289037134951,515026222912.5838,0.005372653337178651,259.9683968637226,3255351821675.6973,0.0051042208804400295,516.3790717718924,202284355361.91675,0.005754524586097965,191.59949860438655,1295377274723.1611,0.005183826055070545,362.751260102258,146941318685.29047,0.0059622401148795206,174.6895939730543,4812905325462.943,0.005216778422297397,617.1138853823153,316148288548.932,0.005531774804451901,220.2017803488906,978841239444.152,0.005255846320021977,328.7967842673575,1552581227166.4731,0.005129188054887881,385.8960688867894,764731030401.1942,0.005287959721525227,299.70336808900845,5275197727628.144,0.005256956802366253,645.1042534926214,1300532387451.99,0.00500993251130647,351.140031965758,185436003600.44116,0.005768804405714052,185.50833942628967,539931428018.21216,0.005364194050260342,264.5086768558737,3578620323034.084,0.005146718557444597,540.7750791827993,1892256392100.646,0.00509629677109306,414.9986678173084
1649456841220.9739,0.005137302402262575,395.97841542132517,1345117385999.0413,0.005120940115619328,363.7925253931089,238355079094.47336,0.005648325442988461,200.82116217472645,170771775987.95337,0.005855694120835264,182.19850988202953,1073001172932.9095,0.005196630411230244,337.2577274033313,3332466708458.3423,0.005113793818887817,522.2152397990137,192261971240.36658,0.00586263228847264,191.27138907296634,1669561421283.449,0.005230942423361774,405.1547175852182,1904541120582.6465,0.005109107097124748,417.12012887673956,399826350258.8974,0.005471660752460965,239.25869408865987,301802372801.8194,0.005609418190128276,219.18300582899118,441576830219.33246,0.005433828107104969,247.23412044947744,761739647078.0868,0.005314333049534984,300.7262871033743,6529754351440.247,0.005228892069927638,698.8249707349976,168363241107.82294,0.0058658212737814144,181.47956823099793,1662059563054.2434,0.005231273508427042,404.4511367504497,535719806518.6811,0.005377671834284216,264.343951533394,3386186489782.2983,0.005117570449240233,525.9545045540033,210385335427.6125,0.005756804561554497,194.7097376825868,1358841823378.9329,0.005190352604039861,370.2238771265179,152808397003.9423,0.005953399225544722,177.18375225622205,5005260394184.673,0.005236124485137556,629.1882932855398,328770233664.8913,0.005528669564872947,223.551521539815,1017957427393.2032,0.005262467107116563,334.41152820408433,1614647910397.6047,0.005115526521850637,390.95023146414184,795215781053.1576,0.005297612313342039,304.98197245111027,5486540942801.308,0.005286168856167024,658.9621674654844,1348254635143.7927,0.005017997713214655,356.8118160420135,192840227574.68683,0.00576059485915857,188.1682676468646,561494341398.9832,0.005366388392448183,268.7944239032327,3721807423041.1533,0.005129924834544921,547.5358511004049,1968109130088.4348,0.005110853014846922,422.7786634819756
1716512249659.5173,0.005151226449500844,403.43112829107594,1393422827298.6743,0.005153179046616814,371.28585203582264,247722795611.7356,0.005648428340760136,203.94544610597697,177459704748.57373,0.005831322575699761,184.24977582566711,1114926062213.4075,0.005204896737176552,343.0129722491334,3462532361124.942,0.005129779329283141,531.9321251883703,199583845361.31787,0.005846543129869761,193.61959714144513,1729156011543.338,0.005228094702335638,410.6550022392419,1979042344221.7405,0.005108593238153968,423.52920091624975,415436249618.4871,0.005477467942465765,243.21009650943859,313634979657.3802,0.005603213736538114,222.33456573484585,458852180808.95416,0.005430770156604463,250.91726370596825,791640562570.0424,0.005325507332662485,306.0357784196925,6785586272717.9375,0.005245095672005862,711.8497959242578,174942673854.55798,0.005863291351694191,184.20430644651958,1723984632801.8225,0.0052287231280622164,410.2126054966972,556551083312.9358,0.0053788505519982025,268.4673591815292,3518571329153.241,0.005143807982988044,536.823219009468,218630999092.93686,0.005745519379114457,197.3394845929167,1423367191847.5623,0.005203323914459414,378.100840433128,158772174031.95667,0.005940931901782595,179.54128571624608,5202624564523.349,0.005238217582819009,639.2526379445708,341647184864.2973,0.005521192280011472,226.70652011096794,1058275469136.7604,0.005272537030545472,340.2977912920372,1677664257986.742,0.005134951700393745,398.49087759944166,826592247408.3254,0.005297228895237964,309.7171615543516,5701668723418.03,0.005304813349731611,671.538474848675,1397663747747.2756,0.005029634193963763,362.82523078576594,200425051020.36234,0.005748314025374415,190.68708787728565,583547078734.2588,0.005367732354305158,273.036817156216,3867399455433.147,0.005181639509017731,561.6099689003711,2044908802303.7532,0.0051231926292703905,430.33856086226524
1782040290550.7346,0.00514341587209438,408.9014478055856,1445509296802.9165,0.0051622316117885475,377.4381906457059,257222999663.73795,0.005640422444880587,206.74525531237379,184295915503.8351,0.005822312259942218,186.7677030647821,1157868764209.9973,0.005217445560881357,349.0773429088789,3595663032947.8364,0.005137568697470251,540.8405380596997,207502817092.95926,0.005826883085797257,195.99541104278134,1793137714735.1538,0.0052338153758435995,417.1227305196,2055272664976.7915,0.005113823694779315,430.4210767461048,431521374519.65497,0.005489367196893432,247.4703700483072,325751179573.1116,0.005608299198790288,225.9360717924885,476602418681.61237,0.005439649429633951,255.17222958610785,822158327540.5469,0.005324666493330315,310.65231565453934,7047485110435.466,0.005253192850382909,723.8307205256139,181690756841.8032,0.005841962097658227,186.33389770389294,1789363548476.303,0.005232001357251614,416.62687613999066,577941174144.9915,0.005388957063548601,273.06005775157473,3654569477598.884,0.005145162929465443,545.1720986848284,227023440946.41232,0.005726421337579319,199.66943087934314,1449926304603.677,0.005190982492716455,380.0037966664455,164889799635.28748,0.0059165735593288415,181.52973951921408,5402261320247.521,0.005233746850420058,648.399912897228,354791711652.0577,0.005525734996198213,230.3453446214026,1098777685312.8229,0.005266740520537999,345.0689279593801,1742089621216.7961,0.005132938850485423,404.38430169927204,858234750201.1998,0.005305952206352971,314.924009323252,5920203565313.201,0.005314361846713333,682.945075122532,1449073252074.9058,0.005032961641738006,368.34922164530246,208152455900.44797,0.005726350253493851,192.85483169028598,605969509830.195,0.005371413276127537,277.3759976496299,4016476856127.844,0.005185362412169103,570.5808908614921,2123638562501.988,0.00515336866060696,439.4641506533449
1849185115444.6453,0.0051451560230153055,415.13629456617286,1506862271078.265,0.005143840332503649,382.39913661067686,266913052441.21167,0.005626499763921249,209.30819367464989,191255551872.36075,0.005790388405980458,188.51821396178556,1201862703253.307,0.005220241581309792,354.51330980615666,3731004929581.2803,0.005129249070172539,548.0044908899116,215188578225.50882,0.005816394097800749,198.50959875160504,1857477580601.0427,0.005236816553224078,423.28881517095607,2132841674700.2944,0.005109242139991124,436.45546189434816,447825553167.6072,0.005481858931178355,250.82533660060304,338091406650.99896,0.00559890102643544,228.93724028907775,494547225349.5333,0.005436322802413045,258.81434545485564,853055739456.0863,0.005322561184157059,315.14587444849735,7312429107557.404,0.005236764089858293,732.2977122416893,188575118975.78717,0.0058294251446006935,188.72067710541353,1856434701784.0256,0.005244042569515704,423.7776806036894,599843404781.4535,0.005390170562134392,277.21559813080984,3792275696988.896,0.005164984949454578,555.4296012738921,235594501088.81897,0.005724609573072505,202.58716748805676,1476583314349.0325,0.0051858436014666515,382.4041506116128,171080003852.14798,0.005903544148377808,183.81989593828993,5605341995662.538,0.005241742468632141,659.0472101181449,368116341903.4757,0.005523529970129925,233.67419425425132,1139733219753.2834,0.005268904178647786,350.30116624904076,1807878375591.98,0.005139347912329074,410.93743199991275,890593200924.0432,0.005302731800977218,319.4268452183992,6143743580179.303,0.005330340878208869,695.2295384225447,1502757163812.7168,0.005030002041860361,373.52844866938415,215967836705.54904,0.005722895875902724,195.60118230157136,628982279115.807,0.005371142981412896,281.5283127424938,4168425240948.132,0.00519958549223992,580.7076270574739,2203614911941.285,0.005146253393973912,445.39511293862853
1917138876091.7441,0.005159573783259104,422.3526825758709,1569973991376.0674,0.005117680987186354,386.749885321212,276775561074.90063,0.005614278558888538,211.9068778379721,198330976140.35294,0.005779889781950508,190.93070518730818,1246221355405.3298,0.005223295072500977,359.90065428205395,3869974822964.6553,0.005148977867553731,558.2185713301299,223218842853.1916,0.00580332848977003,200.98770672614856,1923320467890.0393,0.0052352421529238465,429.09893422369163,2210871269396.7305,0.005103121257260945,442.2433083916541,464336720813.30273,0.005476446643257024,254.23308808803174,350555372936.8048,0.005600039310962026,232.32381295315895,512859211327.96783,0.005434896256637725,262.53700261278567,884576133000.6019,0.005319605383546938,319.5755196695122,7582917255660.447,0.005222731647558807,741.0239394121893,195547332761.523,0.005813924678939888,190.97220374091904,1924394175043.1057,0.005241507284479642,429.70836413401975,621984871959.6539,0.005390444729799841,281.27849271389346,3932566436327.569,0.005167478451228795,563.831196598411,244319627351.88696,0.005710001258053319,205.03100800852295,1519315587515.2415,0.005185105231292471,386.73793342445526,177415622040.676,0.005877874604876948,185.70220484635334,5813719579527.056,0.005236330369107094,668.0495428742262,381740668484.9472,0.005528479123735261,237.30836429174408,1182407589148.123,0.005268178425286086,355.4408664076235,1875091062297.1248,0.005151884982664809,417.99886661320664,923779296289.7649,0.005301239631256105,324.04455319775894,6371269096842.525,0.005336995596752579,706.2967759525172,1559118075023.1216,0.0050471003993411805,380.3588683178904,223925840751.7751,0.005696698855028754,197.54450213255186,652417773500.6885,0.005364941165212836,285.34829186568567,4323228537781.061,0.005209587631653847,590.3731877565015,2285247590288.4473,0.005157169071154175,452.8815969555471
1988162423135.3882,0.005139674846274518,426.8904009548832,1626479196315.8308,0.005124319793444385,392.76757744619437,286837193569.93945,0.005609156756308798,214.75919286138472,205504239492.07065,0.0057635844918993645,193.11720997021214,1291222037599.892,0.005199409832231118,363.3744797286828,4010212639581.0146,0.005177651200191091,569.3767784184909,231349990394.29507,0.005859709391364683,205.86564263262264,1991610049334.1365,0.005228700560948872,434.5857630485263,2291784528588.4155,0.005109558207240277,449.2135670249347,481186245562.4056,0.0054834796872251824,258.21503188089315,363253071761.24567,0.005584746736616936,235.0104646826249,531359428984.26575,0.005452752009372982,267.15979594700644,916836483174.2045,0.0053167632740483564,324.0142260999301,7857267279311.519,0.005245056606686688,754.846751366879,202664709594.65558,0.005794485507609405,193.0750399142056,1994316180823.1738,0.005233198520491305,435.19591993989224,644580855949.1257,0.00538612516206305,285.09355690804034,4075433776692.319,0.005174629939852358,572.7285504337306,253205753580.05435,0.005693641113317099,207.3860389939971,1592337708938.0374,0.0051801053262445764,393.68843964895694,183863793464.63287,0.005853724452355282,187.59910489500777,6025134793694.87,0.005246265241121279,678.9486839662331,395724648795.6036,0.005528827991603765,240.76331793658517,1225200711974.1206,0.00526672909162174,360.4324434511896,1942899349818.4053,0.005148877414483721,423.73337614250346,957517717961.8763,0.005298297044691791,328.54512736674843,6603112259693.451,0.005339024367741097,716.7395593145008,1617986560692.0366,0.005022382810685788,384.14906099899076,232088224571.2367,0.0056834747645705935,199.92871677488756,676069763011.4078,0.005356773234825426,289.00134709990573,4480902799724.507,0.005214730064980276,599.4846148294441,2368550460498.27,0.0051501586153536736,458.7897021791444
2057902426469.0776,0.0051923829660129135,437.2568564602032,1683842317281.5522,0.0051258861348547615,398.3726572985272,297076694416.80115,0.005612128731052447,217.90894469260016,212842828684.9213,0.005744951553274352,195.21355909526326,1337329254869.0132,0.005251306098611163,372.1882618244386,4152840440420.23,0.005237304776664091,584.0445097414324,239636390813.5578,0.005730503385782851,204.18032063210336,2061445893195.91,0.005238735600470915,441.4639616221253,2373849791868.201,0.005141381546497385,458.4174367269154,498352289115.0349,0.005480834130265836,261.7346626560922,376291368405.15796,0.0055853948230320605,238.37657782751126,550426539451.9325,0.005443241203062414,270.4813501860389,949637537177.1447,0.005314138635419509,328.43998931137594,8135986974494.979,0.005269467685667847,769.0079745962564,209868545402.62247,0.0057864106333251845,195.5186505611117,2069115429249.592,0.005232789220747782,441.61836872608393,667644178260.0151,0.005381121043629981,288.86224871162483,4221114070676.095,0.0051931699107024155,582.9124988178546,262202111854.25665,0.005690253670541059,210.17744182764267,1676281469740.8115,0.005197159043040993,403.1853886107271,190451146530.43073,0.005847869595995954,190.06892400420097,6240851855461.628,0.005278290194282279,692.7727762109787,409853259350.33136,0.005528420911063358,244.14759932251124,1269096916910.8364,0.005268052664661981,365.6352207198096,2012013804052.1562,0.005170822116320529,431.53098051251095,991608455949.5782,0.00532088368107152,334.59531340780484,6838992425868.651,0.005362805951567555,730.1110674572901,1679724526862.2744,0.005076241193769256,394.12816794854194,240375376631.9135,0.005674650413794506,202.43942874159967,700067689288.1887,0.005370455892175456,293.8104021251365,4640620957779.776,0.005222568743666318,608.8560194469405,2453042882282.767,0.00519370869114979,469.2017713772772
2123527961615.4153,0.005174131403622582,441.225544330182,1743900161699.2568,0.0051347356392448555,404.6939725546732,307425573452.2188,0.005610693094711082,220.85768220438857,220308163795.33868,0.005741938130472368,197.82024935547224,1384600861651.5215,0.00526138878424528,378.12050886842405,4299344254396.4897,0.005193050002984955,587.1964114336306,247958918997.16928,0.0057375551984723,207.2424751099663,2134262184765.873,0.005243909190005356,448.07866952956266,2457077504654.2446,0.005147857620885553,465.365377244689,515865044075.98883,0.005481465322883377,265.40622882939795,389477792581.5005,0.005600031545238104,242.31681576092876,569602468628.4067,0.00546279761090677,275.1971018409652,982872442603.4999,0.005323833780196767,333.5979329704482,8423312079624.615,0.005289383480780135,782.7051855570112,217230553987.06528,0.0057916848038824685,198.41444314266332,2142773888198.3652,0.0052470906267062635,449.06489235006404,691159766009.1826,0.005395715299913794,293.68408071181597,4369995721347.572,0.005204098095737996,592.2947443369595,271408704298.29758,0.005695207946546109,213.28440149846838,1767349452318.127,0.005211790878381879,412.9675748461868,197075289814.7396,0.005834651867461964,192.25065049098862,6459501677649.007,0.005291137001410157,704.0907079113077,424192994924.0628,0.005529555513044661,247.58003465127206,1313378056762.4595,0.005278314477590728,371.40792296369705,2082906923934.6042,0.005174856019135618,437.89119873851456,1026104612525.3817,0.005310975749542959,338.57194959761455,7077360318888.659,0.005370105036524412,741.1929897114034,1743157891074.6934,0.005053161760496342,398.19691540360265,248750147404.36874,0.005684467513108448,205.58675305095502,724651437960.5206,0.00539746389043854,299.3928392608663,4802583066370.886,0.005253588136664722,620.9347661419489,2539176409021.37,0.0051887319957875586,475.2677977603909
2192401013645.0415,0.00517053919175594,446.5846917471479,1804893135074.242,0.005166258846603244,412.81622603507907,318091633879.1543,0.005608741040557373,223.81350451516508,227951024746.7507,0.005725789950300611,199.973308303401,1432728522352.4834,0.005233899659071358,381.3212035381655,4446912004938.569,0.0052043862624366515,596.4759480648368,256603815609.85513,0.00574129632086825,210.23993145850676,2209030512479.3203,0.005227712749893614,452.8896565105405,2542389686076.039,0.005113027675137586,468.5705513410353,533629522472.1955,0.005482751548004118,269.08810828354126,402866792712.4932,0.005584472654122103,244.9326927396932,589388167298.4053,0.005444887344919798,278.06700783747965,1016890229896.7261,0.005320155847330715,337.9356306015122,8715735800122.494,0.00527833279053065,791.8052758052386,224749964176.94818,0.005766147701380268,200.24681409550354,2221862522921.0264,0.005224630985351345,453.67254228775244,715032064793.6635,0.0053801221737471185,296.8399467192329,4520222704919.018,0.0051838952838851125,598.0261199359832,280807554116.5027,0.005673628222018923,215.3894309680058,1863256430856.4866,0.005196946628656781,420.58841722526097,203932841554.956,0.00581439180998475,194.22233102422223,6680184388029.508,0.0052682276961919655,710.5259062808369,438917889744.8344,0.005532004425436632,251.09370899825484,1358754733950.4048,0.005262516032880743,375.36161591113944,2154756663282.8406,0.005159904991934253,442.58938952000744,1061234412042.2996,0.005316888470070749,343.5437722534466,7322061704752.553,0.005361606567417132,750.1503154708228,1809200588713.51,0.005072079608038223,405.677339605516,257401413544.47238,0.005653049336110236,207.26556123873965,749689672546.0997,0.005374352226621181,302.18905968697385,4967652469163.3545,0.0052246595415603074,625.9194939599519,2626714270078.567,0.005183098049823079,481.23206590929476
