bin,hist
-88.19999999999999,0.3070919971079068
-84.6,0.3254439943647259
-81.0,0.3458329805643761
-77.4,0.368434009444132
-73.8,0.3929542638434616
-70.19999999999999,0.41906591585437797
-66.6,0.44574410541501924
-63.0,0.4715470262892878
-59.4,0.4942435390257388
-55.8,0.5116184181490436
-52.2,0.5211986317707963
-48.599999999999994,0.5216410403068173
-44.999999999999986,0.5133148480029952
-41.39999999999999,0.49726719448775375
-37.8,0.475987025625615
-34.2,0.4519282765336456
-30.599999999999994,0.42687331253682287
-26.999999999999986,0.40163056362183286
-23.39999999999999,0.37762910484388057
-19.799999999999997,0.35555641997117154
-16.200000000000003,0.33488734779188206
-12.599999999999994,0.31666902793443624
-8.999999999999986,0.30005483686946993
-5.3999999999999915,0.28527075305782845
-1.7999999999999972,0.27220537866670075
1.7999999999999972,0.26039402559350344
5.400000000000006,0.2503363926882748
9.000000000000014,0.24157097464365468
12.600000000000009,0.23395454567460017
16.200000000000003,0.2273502455865149
19.799999999999997,0.22199041843069053
23.400000000000006,0.2174103761045437
27.000000000000014,0.2138010863214648
30.60000000000001,0.2110988931769904
34.2,0.2091064633672837
37.8,0.2079956678343961
41.400000000000006,0.2076519259502934
45.000000000000014,0.20819618393345607
48.60000000000001,0.20938018375647663
52.2,0.2114967425798871
55.8,0.21443127977565318
59.400000000000006,0.21831747274314817
63.000000000000014,0.2230184612877756
66.60000000000001,0.22886207331752237
70.2,0.2358005669040409
73.8,0.24392306031357994
77.39999999999999,0.2533568653550666
81.0,0.2642388422230971
84.60000000000002,0.2767313134740536
88.20000000000002,0.2909902360738714
