time,pixels,source,diameter
55.54986842105265,263.5963075543694,p1,85.00980918628413
58.74036842105265,262.4584508561566,p1,84.64285040111051
61.93036842105265,262.9856027082804,p1,84.81285687342043
65.12086842105265,264.84919438901414,p1,85.41386519045706
68.31136842105265,262.89079690492133,p1,84.78228200183713
71.50136842105265,259.1489486921834,p1,83.57553595322915
74.69186842105265,259.83421228590186,p1,83.79653346220336
77.88236842105265,263.158165274374,p1,84.86850830098562
81.07286842105265,262.8000281775788,p1,84.75300908726916
84.26336842105263,264.157898087099,p1,85.19092213308943
87.45336842105263,262.41784784803025,p1,84.62975593098976
90.64386842105264,259.8244404759808,p1,83.7933820535038
93.83436842105266,259.014022312929,p1,83.53202219591961
97.02436842105266,257.0272221173961,p1,82.89127913286025
100.21486842105264,259.24199470357496,p1,83.60554329190293
103.40536842105266,259.9635501973584,p1,83.83824493864809
106.59536842105265,260.23854737095405,p1,83.92693152713268
109.78586842105267,258.52720000513614,p1,83.3750220016564
112.97636842105265,263.8504615165294,p1,85.09177383908073
116.16636842105265,261.7778317707134,p1,84.42335074605508
119.35686842105264,263.7626493570519,p1,85.06345441764924
122.54736842105265,267.92187992268225,p1,86.40480627506503
125.73736842105265,268.82146512353876,p1,86.69492250234126
128.92786842105266,261.7143443420474,p1,84.4028760503103
132.11836842105265,259.66624334405856,p1,83.74236347845888
135.30836842105265,259.04684464010154,p1,83.54260739643274
138.49886842105263,253.80334593182042,p1,81.85157906301208
141.68936842105265,263.73722026478197,p1,85.05525353539218
144.87986842105266,267.5935030674181,p1,86.29890473924235
148.07036842105265,264.5557190661931,p1,85.31921939884728
151.26036842105265,262.29261445393587,p1,84.58936816139432
154.45086842105263,270.1231937350459,p1,87.11472997955231
157.64136842105265,271.46106937398565,p1,87.54619487311038
160.83136842105264,272.9828755883992,p1,88.03697737725875
164.02186842105266,274.9846721872049,p1,88.68255678037359
167.21236842105264,266.37208656316307,p1,85.90499791662009
170.40236842105264,269.78383687095146,p1,87.00528739088185
173.59286842105263,271.7022581434283,p1,87.62397825125564
176.78336842105264,267.4507314556253,p1,86.25286089443917
179.97336842105264,262.7161438102686,p1,84.72595637881162
183.16386842105265,265.55398889123757,p1,85.64116141742412
186.35436842105264,264.6508107466903,p1,85.34988646580763
189.54436842105264,262.6817215580992,p1,84.71485520248699
192.73486842105262,269.66028555111876,p1,86.9654420902358
195.92536842105264,264.91987983226784,p1,85.43666124590638
199.11586842105265,258.48116362606925,p1,83.36017526940734
202.30636842105264,257.5438341403605,p1,83.05788651026626
205.49636842105264,260.03355049735563,p1,83.8608200353972
208.68686842105262,257.2650271431535,p1,82.967971253667
211.87736842105267,260.2782962938026,p1,83.93975055475134
215.06736842105266,261.37036684332685,p1,84.29194330697291
218.25786842105265,255.09071313480467,p1,82.26675498597452
221.44836842105263,258.52168299407793,p1,83.37324276559013
224.63836842105263,261.8042002588527,p1,84.43185458347999
227.82886842105268,262.61049457923093,p1,84.69188450180198
231.01936842105266,260.24871357078973,p1,83.9302101265797
234.20936842105266,260.5214494982756,p1,84.01816746319389
237.39986842105264,261.6556182242114,p1,84.38393687730819
240.59036842105263,263.0337448618219,p1,84.82838271793757
243.78036842105263,270.3931778382522,p1,87.20179985283633
246.97086842105267,265.6485581325263,p1,85.67165999773974
250.1613684210526,265.88364899000163,p1,85.74747679927553
253.35136842105265,270.23802035146997,p1,87.15176156334907
256.54186842105264,270.1721301158426,p1,87.13051196235924
259.7323684210526,270.3654880296317,p1,87.19286988955622
262.92286842105267,268.87150000862266,p1,86.71105875278081
266.1133684210526,269.70211242845323,p1,86.97893125817617
269.30336842105265,267.91306934356686,p1,86.40196486330032
272.49386842105264,268.56732652281283,p1,86.61296280360715
275.6843684210526,270.0285345922343,p1,87.08420240599555
278.8743684210527,268.3623217696967,p1,86.54684877072718
282.0648684210526,268.7053131803383,p1,86.6574635006591
285.25536842105265,272.55803687518215,p1,87.89996689224624
288.44536842105265,273.2005784621717,p1,88.10718655405037
291.63586842105263,275.73515791983976,p1,88.92458842914833
294.8263684210527,270.2113339056656,p1,87.14315518457715
298.0163684210526,269.66817951051223,p1,86.9679878921402
301.20686842105266,268.2017276303151,p1 p2,86.49505716077661
304.3973684210527,271.58673858639,p2,87.58672319411079
307.58736842105264,271.6754158864361,p2,87.61532162337565
310.7778684210527,266.887172456565,p2,86.07111311724222
313.9683684210526,263.1246546391892,p2,84.85770112113852
317.15836842105267,258.4088445151338,p2,83.33685235613065
320.34886842105266,263.0806156520098,p2,84.84349854777315
323.53936842105264,263.18651816116176,p2,84.87765210697467
326.7298684210527,259.40992352150863,p2,83.65970033568654
329.9203684210526,254.3342407681054,p2,82.02279264771398
333.11036842105267,251.26714572037127,p2,81.03365449481974
336.30086842105266,254.70419550958013,p2,82.1421030518396
339.49136842105264,255.41404836544766,p2,82.37103059785687
342.6813684210527,252.58999852104407,p2,81.46027452303672
345.8718684210526,252.8874924889311,p2,81.55621632768027
349.06236842105267,256.2277680321418,p2,82.63345519036574
352.2523684210526,259.3620808641575,p2,83.6442710786908
355.44286842105265,259.78738625147616,p2,83.78143206610106
358.6333684210527,265.4323920103025,p2,85.60194642332256
361.82336842105263,259.6971662082608,p2,83.75233610216411
365.0138684210527,258.6924371398351,p2,83.42831097759681
368.2043684210526,259.3921194008317,p2,83.65395850676822
371.39436842105266,254.15012101965783,p2,81.96341402883965
374.58486842105265,252.98560602647638,p2,81.58785794353864
377.77536842105263,255.8562833005042,p2,82.51365136441261
380.9658684210527,257.0949867111785,p2,82.91313321435506
