r,stdmax,stdmin,u,umax,umin,unorm
0.005,0.5153630492362803,0.6349644087838814,-7.227720582677522,0.518312401895666,0.6598648352846953,0.5751637290100808
0.015,0.5010606394269569,0.5835091521098058,-6.814552978794614,0.433936554222723,0.6827293828440376,0.5422848957683813
0.025,0.4826565990290135,0.5687226020754403,-6.606010348653715,0.42019786694387656,0.6658553958606908,0.5256896005522269
0.035,0.47708515707676397,0.5569899696483931,-6.497285642759376,0.40598319690054324,0.6515858133539602,0.5170375633625786
0.045,0.4680461559060839,0.5517773172462063,-6.4077398624273245,0.40113584311627526,0.6522675054358519,0.5099117365761451
0.055,0.46362946812646855,0.5476210382502231,-6.353874323543946,0.3788616282041412,0.6761780019857406,0.5056252531883458
0.065,0.46093516659790795,0.5405444568532851,-6.292482055508281,0.38278097465627553,0.6638792912607472,0.5007398117255966
0.07500000000000001,0.45688797111875423,0.5351169477784365,-6.232950731064706,0.3657455763623051,0.6922060565909455,0.4960024594485954
0.08499999999999999,0.4529501233889839,0.5317516675837981,-6.187063824993608,0.35430605006359056,0.7009188256051947,0.492350895486391
0.095,0.44922956538577175,0.5267382072644221,-6.132186369396485,0.37882493538496204,0.6727909760153878,0.4879838863250969
0.10500000000000001,0.4469367381487854,0.5216774534495618,-6.085982456976368,0.3554108957011223,0.6532995044705868,0.48430709579917364
0.11499999999999999,0.44497589442380076,0.5169586571599425,-6.04401304097936,0.36877328649969066,0.6466023430816054,0.48096727579187165
0.125,0.4407826562067519,0.5129377900451306,-5.9924022950465865,0.3668704829249757,0.6433426547972536,0.4768602231259413
0.135,0.4407669795517694,0.5113102360353365,-5.982077572277356,0.3673312529461003,0.6386922796907114,0.476038607793553
0.14500000000000002,0.437033320819721,0.5080402160183276,-5.938072160865072,0.3493804380404278,0.6469145313350168,0.4725367684190243
0.155,0.43515565480657564,0.506017224644732,-5.91356360768436,0.35092436589051734,0.6399292687980674,0.4705864397256538
0.165,0.4345173910632891,0.5038709080719057,-5.896067573555499,0.35700934805544976,0.6313028238012817,0.4691941495675974
0.175,0.432055195067115,0.5008305999623002,-5.8614943206053685,0.35032293797380026,0.619769664437901,0.4664428975147076
0.185,0.4298017518635143,0.4974251975504268,-5.825938744978624,0.3560261858930117,0.6135093680598137,0.46361347470697056
0.195,0.4275825451101091,0.49477772829068906,-5.795360517758041,0.3442502904411146,0.6066053949352728,0.4611801367003991
0.20500000000000002,0.42638256666817775,0.49282275292633015,-5.775537358357528,0.3231065706147007,0.614886074207424,0.45960265979725395
0.215,0.42437308295883863,0.4910135914894886,-5.751544103281713,0.3546635442808719,0.6211153325791812,0.4576933372241636
0.225,0.422154716573252,0.4883851780910158,-5.721090887755375,0.3479186946794292,0.6166508163697253,0.4552699473321339
0.235,0.4209808002704194,0.4861789819779463,-5.6998530150871645,0.3139653453715702,0.5970760833728712,0.45357989112418284
0.245,0.42048335157290917,0.484923750253881,-5.6888405992141395,0.3237803847434876,0.601794194798395,0.4527035509133951
0.255,0.4192102782791879,0.483471442026863,-5.671716522086571,0.3285199913955086,0.5923644771956944,0.45134086015302544
0.265,0.4181556692077428,0.4820077028340877,-5.655893273274461,0.32034091918072216,0.5854138930662623,0.45008168602091525
0.275,0.41573746425590286,0.4790695543817569,-5.622238312265314,0.3203498810390387,0.5783737030639824,0.4474035093188299
0.28500000000000003,0.41308743627581657,0.4764369697496946,-5.589046678317141,0.32028054860642985,0.5796002111636077,0.4447622030127556
0.295,0.41082290425638235,0.4756906123495621,-5.570128702154577,0.3208489105595239,0.5882631688113027,0.44325675830297223
0.305,0.41112306534437837,0.47442871660028274,-5.564085945061396,0.3361721976561832,0.5824939769181803,0.44277589097233055
0.315,0.409743061701988,0.4722915790705369,-5.541987095325353,0.33189905019549937,0.5795185350731271,0.44101732038626246
0.325,0.40716684430973793,0.4700722278779349,-5.511855649253438,0.3233280761524457,0.5758425138811413,0.4386195360938364
0.335,0.40563671294190506,0.4689413245663072,-5.495135875253556,0.31829162549986395,0.5695009252332356,0.43728901875410614
0.34500000000000003,0.40417646964072385,0.46656562387345846,-5.471033928311104,0.31796396373616,0.5722294356465,0.43537104675709115
0.355,0.4040247479792288,0.4660807523057766,-5.467034095086889,0.3228898662767156,0.5742680325062459,0.4350527501425027
0.365,0.4018894086572143,0.464178138599252,-5.441662887946891,0.3113924413906849,0.5731997951822224,0.43303377362823314
0.375,0.4017422590065253,0.46406646043105376,-5.44003662479817,0.3104471394141799,0.5669139271292034,0.43290435971878954
0.385,0.40129029665275884,0.46239027300335267,-5.426665065359775,0.30568179019188424,0.5508428159068169,0.43184028482805575
0.395,0.3998638995656789,0.45976778331692925,-5.401225159474065,0.30804991074932503,0.5442282288664538,0.4298158414413041
