,time,torque,temptop,tempmid,tempbot,fic,icangle,balance,tempavg,mass,dm,alpha,torquenorm,alpha100
0,27.345,31.864597689189026,14.999375820057658,21.14311616471819,20.867851802238985,14.97064591516107,14.970634437455677,15152.317164179105,19.003447929004466,45755.66716417516,-0.07236842105263158,0.6702404213954233,1.1705745453938017,67.02404213954233
1,64.845,31.888058606786085,14.999375820057224,21.02696094914156,20.76452522990791,14.968454734219234,14.968461724814398,14676.830564784053,18.930287333035217,45280.1805647824,-0.15750415282391894,0.6714985922045107,1.1714364032216824,67.14985922045106
2,89.09000000000003,31.931722284817084,14.999375820057235,20.96598818901467,20.71641888134158,14.969054485866463,14.969043993790908,14296.617779598526,18.893927630137384,44899.96777959685,-0.15602212208111668,0.6725005677427485,1.173040427554891,67.25005677427485
3,113.66000000000003,31.909557472763314,14.999375820057246,20.90400168865739,20.682322808352055,14.969576223210703,14.969593723339202,13915.773554387384,18.861900105688367,44519.12355438569,-0.15416093813182288,0.6735005937598413,1.1722261833253964,67.35005937598413
4,138.59999999999997,31.93212783317664,14.999375820057258,20.868610589783355,20.685744580540252,14.969611133200749,14.969609343942407,13533.405964214711,18.851243663459986,44136.75596421298,-0.15262823061630243,0.6745009884528231,1.1730553257372327,67.45009884528231
5,167.5190704006223,31.9329184025445,14.999375820057276,20.853657282561272,20.71120639024749,14.968231816413855,14.968207463595641,13148.2734344613,18.854746497621555,43751.623434459514,0.30249708284714166,0.6755049583154107,1.1730843680112766,67.55049583154107
6,189.785,31.96404457259619,14.999375820057297,20.840313743823597,20.699048962863547,14.968240166414537,14.968242561778126,12761.81845688351,18.84624617558118,43365.16845688165,-0.14567700453857726,0.676508690892634,1.174227815755808,67.6508690892634
7,217.5,31.973732869918596,14.999375820057363,20.83836260835435,20.75264448742917,14.968433252845836,14.968424935804418,12376.033114867196,18.86346097194663,42979.383114865006,-0.1340979648154536,0.6775070162139012,1.174583724038236,67.75070162139012
8,247.30999999999997,31.977236391451385,14.9993758200574,20.880886908902664,20.811827397352516,14.969271955599098,14.969277759650414,11988.8870388508,18.8973633754371,42592.23703884844,-0.1268592882794645,0.6785051967944504,1.1747124290407445,67.85051967944504
9,278.35499999999996,31.990990537432527,14.999375820057418,20.93885685580632,20.901981959295206,14.97006452638272,14.970078494721161,11599.907183725365,18.946738211719296,42203.25718372294,-0.12394787031150742,0.6795044117545102,1.175217699916473,67.95044117545102
10,310.14,31.987563822455844,14.99937582005743,21.01160568574164,20.99666145476507,14.968555278729404,14.968540866468462,11210.149486141388,19.00254765352094,41813.49948613893,-0.12123014637184805,0.6805019295006127,1.1750918164716182,68.05019295006127
11,342.75043465045593,32.0122084953071,14.999375820057445,21.09021907353503,21.106379595016573,14.970641033434653,14.970693600143612,10819.892401215806,19.065324829535953,41423.2424012133,-0.22506382978723377,0.6814970277616178,1.1759971606093547,68.14970277616177
12,375.9699999999999,32.014869408797175,14.999375820057455,21.178239028968207,21.190807939064396,14.969326652707105,14.969312743040463,10426.652108884236,19.12280759602964,41030.0021088817,-0.11826802273407197,0.6824960053898643,1.1760949116504744,68.24960053898643
13,409.755,32.02418197983707,14.999375820057466,21.256738012035637,21.258615296846035,14.969429115407108,14.969431019338437,10027.657586408905,19.171576376312565,40631.00758640633,-0.11773286467486674,0.6835057860868087,1.17643701729128,68.35057860868086
14,443.77,32.03911122641068,14.999375820057463,21.343806375857177,21.353002989900936,14.969095013278247,14.969090357692094,9630.473886102094,19.232061728604997,40233.823886099584,-0.11657716140454463,0.6845071935747621,1.1769854565401114,68.4507193574762
15,477.64000000000004,32.05594668986821,14.999375820057463,21.41524022267857,21.40692217458414,14.969919940915823,14.969929263086273,9233.088626292467,19.273846072439788,39836.43862628999,-0.11781388478582065,0.6855053261178786,1.1776039223740604,68.55053261178786
