alpha,alpha1,alpha2,dt,dtorque,fic,id,t1,t2,toAlpha,torque1,torque2
65.0,0.7699492437501463,0.7722809563330268,1.8999999999996362,-10.301213816758764,12.0,9,5353.6,5355.5,77.0,24.5221039568167,14.220890140057936
67.0,0.7629422506424388,0.7644838359293677,0.8999999999996362,-12.713256155942723,15.0,11,4968.6,4969.5,78.0,34.16918554451765,21.45592938857493
65.0,0.7211989095747818,0.7251496076889133,0.599999999999909,-13.69068739093591,17.5,3,1523.7,1524.3,74.0,43.228392926393596,29.537705535457686
