bins,hist,histnorm
0.10404040404040404,252237.44016772605,1.333682177171327
0.11212121212121212,250007.60835154794,1.3218921473115692
0.1202020202020202,253867.06841917092,1.342298686096099
0.1282828282828283,253245.5009208594,1.3390122053347346
0.13636363636363638,252235.18693766056,1.333670263425384
0.14444444444444446,254034.6748177628,1.3431848894544633
0.15252525252525254,251643.55591413775,1.3305420690105925
0.1606060606060606,253802.98199226358,1.3419598350305788
0.1686868686868687,250779.90173985995,1.325975577300607
0.17676767676767677,251452.88647007756,1.3295339219286004
0.18484848484848485,251875.4451075527,1.3317681617117019
0.19292929292929292,251528.8724276023,1.329935690663641
0.201010101010101,250708.25227146735,1.325596737351488
0.2090909090909091,253912.3987258696,1.3425383659076668
0.21717171717171718,249287.67378574098,1.3180855597625207
0.22525252525252526,250777.89582007658,1.325964971184948
0.23333333333333334,250033.52036050148,1.3220291546665959
0.24141414141414141,251254.28158163,1.3284838169170468
0.2494949494949495,250694.82916084118,1.3255257638933353
0.25757575757575757,250345.4339178158,1.3236783688036073
0.2656565656565657,249840.53589752503,1.321008767135817
0.2737373737373737,250602.09728479665,1.3250354526601813
0.28181818181818186,250283.03499007318,1.323348440234123
0.2898989898989899,249974.7516728649,1.3217184206565118
0.297979797979798,251516.17704007495,1.3298685649741864
0.30606060606060603,251835.76236187108,1.3315583428576032
0.31414141414141417,251402.55649874732,1.3292678068518853
0.3222222222222222,251390.5037927283,1.3292040792815707
0.3303030303030303,251698.874477854,1.330834560808979
0.3383838383838384,250352.3698947206,1.3237150421411303
0.3464646464646465,253218.86298119742,1.3388713596881086
0.35454545454545455,252683.2726120688,1.3360394750594964
0.36262626262626263,252591.34197616484,1.3355534003096114
0.3707070707070707,252700.45054262504,1.3361303017813673
0.3787878787878788,248091.7319599595,1.311762127773527
0.38686868686868686,248993.10790349543,1.3165280698558186
0.39494949494949494,248513.27339933068,1.3139909892155661
0.403030303030303,248766.7990409173,1.3153314826388074
0.4111111111111111,248965.3932285197,1.3163815310706302
0.41919191919191917,250454.32452889532,1.3242541178564105
0.42727272727272725,247638.67833194137,1.3093666485433668
0.4353535353535354,249117.0908500608,1.3171836182391097
0.44343434343434346,248755.09377007,1.3152695920998863
0.45151515151515154,248281.47602331452,1.3127653819904759
0.4595959595959596,244781.88674587756,1.2942616267841354
0.4676767676767677,245115.56139941886,1.296025900708363
0.47575757575757577,244659.71291630156,1.2936156439398998
0.48383838383838385,244354.9180461131,1.2920040692038364
0.4919191919191919,245214.91612283513,1.2965512296355435
0.5,241911.57270668074,1.2790851063024182
0.5080808080808081,242975.4920742847,1.2847104817327162
0.5161616161616162,238656.76949680783,1.2618756348285518
0.5242424242424242,238162.49937401526,1.2592622271875673
0.5323232323232323,239244.99681762047,1.264985832479509
0.5404040404040404,237093.30505079776,1.2536089609164707
0.5484848484848485,235570.52064845338,1.245557378979504
0.5565656565656566,233575.0128106661,1.2350063155216253
0.5646464646464646,232823.35842339694,1.2310320123451146
0.5727272727272728,230235.73054905422,1.217350168861182
0.5808080808080809,231019.66471358575,1.2214951483797507
0.5888888888888889,230067.37251248397,1.2164599912864018
0.5969696969696969,229200.40652921423,1.2118759886921326
0.6050505050505051,229812.6021769885,1.2151129166590335
0.6131313131313131,228343.7313695401,1.2073463978775292
0.6212121212121212,227386.0785747189,1.2022828971398034
0.6292929292929292,231395.317972593,1.2234813803047224
0.6373737373737374,228201.23418101668,1.2065929571492047
0.6454545454545455,229450.83151762746,1.2132000876979858
0.6535353535353535,226614.85061055236,1.1982051004825702
0.6616161616161615,225895.4430704713,1.19440129953339
0.6696969696969697,225022.9451026246,1.1897880470814082
0.6777777777777778,225431.51037972048,1.1919482982634355
0.6858585858585858,223705.11182739213,1.1828201253070192
0.6939393939393939,221259.83025437966,1.1698909247493081
0.702020202020202,220051.6636159271,1.1635028551919666
0.7101010101010101,221445.7299020104,1.1708738519730488
0.7181818181818181,221092.60144702718,1.169006717869761
0.7262626262626262,218427.08518595248,1.154913046731996
0.7343434343434343,217335.12564964965,1.1491394114984992
0.7424242424242424,218994.4382128194,1.1579128734809252
0.7505050505050505,216090.38164733723,1.1425579425067385
0.7585858585858586,214593.64308177307,1.1346440755270764
0.7666666666666666,215954.984358456,1.1418420418422768
0.7747474747474747,214503.62317049876,1.134168103557264
0.7828282828282829,213463.95975356922,1.1286709792267364
0.7909090909090909,211264.9477545023,1.1170439063045274
0.7989898989898989,212933.91567078233,1.1258684200750977
0.807070707070707,212839.83752180263,1.125370990548093
0.8151515151515152,212001.97520135343,1.120940870884004
0.8232323232323232,210813.18843690678,1.1146552706212303
0.8313131313131312,209472.33386714756,1.1075656258774622
0.8393939393939394,209474.58712360635,1.107577539762957
0.8474747474747475,209886.28037945926,1.1097543298438728
0.8555555555555555,209024.10369909182,1.1051956502465292
0.8636363636363635,210010.4610619396,1.1104109237375583
0.8717171717171717,212711.38420740888,1.1246918055076343
0.8797979797979798,214342.56463082507,1.1333165213984011
0.8878787878787879,213706.26509888843,1.1299521463693727
0.895959595959596,215652.75135426596,1.1402440127361568
