bins,hist
-90.5,0.30669435545662826
-89.5,0.31007541378316295
-88.5,0.31354067398727004
-87.5,0.3170899870999229
-86.5,0.320721989481569
-85.5,0.32443414292917594
-84.5,0.32822678548784284
-83.5,0.3320954538163457
-82.5,0.33603767273700946
-81.5,0.3400519926666125
-80.5,0.34413232306379254
-79.5,0.3482747506268089
-78.5,0.3524747375299241
-77.5,0.35672622760924355
-76.5,0.36102258028392176
-75.5,0.3653561522969717
-74.5,0.3697197186505968
-73.5,0.37410348176650016
-72.5,0.37849768990300875
-71.5,0.38289052867038703
-70.5,0.38727225205653976
-69.5,0.3916277225165196
-68.5,0.3959450167986099
-67.5,0.4002081665690603
-66.5,0.40440238951675644
-65.5,0.4085110755952175
-64.5,0.41251700742269987
-63.5,0.41640268113856216
-62.5,0.4201496131243336
-61.5,0.42373989844891613
-60.5,0.4271542742712377
-59.5,0.43037391892772814
-58.5,0.4333815176338186
-57.5,0.43615822007804933
-56.5,0.43868820116611873
-55.5,0.44095457010222644
-54.5,0.4429434154711066
-53.5,0.44464116963217054
-52.5,0.4460370208718242
-51.5,0.4471214695498242
-50.5,0.4478870442965221
-49.5,0.4483298776468007
-48.5,0.44844618234963435
-47.5,0.4482373335037312
-46.5,0.4477040415767573
-45.5,0.4468527466143299
-44.5,0.44568854794082563
-43.5,0.4442217015007773
-42.5,0.4424629789007335
-41.5,0.44042370178672596
-40.5,0.43812064063341805
-39.5,0.4355656212897014
-38.5,0.43277873738545125
-37.5,0.4297740894120057
-36.5,0.42657080270056624
-35.5,0.42318666186109377
-34.5,0.41963824829217933
-33.5,0.41594601085753113
-32.5,0.41212576319229477
-31.5,0.408193891889411
-30.5,0.40416826177293214
-29.5,0.40006477815125085
-28.5,0.39589783372418086
-27.5,0.39168215350705704
-26.5,0.38743418138859964
-25.5,0.38318325280791943
-24.5,0.3788966690636481
-23.5,0.3746107614095751
-22.5,0.37033396951402264
-21.5,0.3660769332032463
-20.5,0.3618459893904602
-19.5,0.3576505231243486
-18.5,0.35349491753204426
-17.5,0.3493881565917748
-16.5,0.34533354054044024
-15.5,0.34133654112498396
-14.5,0.3374011862387059
-13.5,0.3335312230255861
-12.5,0.3297299631816804
-11.5,0.3259993031972907
-10.5,0.3223434715009451
-9.5,0.31876226182783735
-8.5,0.31525782849927714
-7.5,0.3118326638816733
-6.5,0.30848563351859143
-5.5,0.3052197053314103
-4.5,0.3020334526552201
-3.5,0.2989289782451289
-2.5,0.2959044314474585
-1.5,0.29296155405390595
-0.5,0.29009867302770964
0.5,0.28729682919542854
1.5,0.28459474304485777
2.5,0.2819724985630384
3.5,0.27942871492168425
4.5,0.27696366714053705
5.5,0.2745756248870554
6.5,0.27226568824020597
7.5,0.2700303908053282
8.5,0.2678714170783399
9.5,0.2657859538364668
10.5,0.26377533034179373
11.5,0.2618371344420031
12.5,0.2599707244243645
13.5,0.2581747652972151
14.5,0.2564502998437421
15.5,0.25479500758487533
16.5,0.2532076509317772
17.5,0.2516881324816226
18.5,0.25023707102883014
19.5,0.2488508798576024
20.5,0.2475308653117123
21.5,0.24627468399377775
22.5,0.24508431833776984
23.5,0.2439564910251005
24.5,0.24289183803892225
25.5,0.2418891160608197
26.5,0.24094807871894092
27.5,0.24006845099354426
28.5,0.23924902394368205
29.5,0.23849103515819167
30.5,0.2377914078537133
31.5,0.23715230781071261
32.5,0.23657106504586417
33.5,0.23604926092268266
34.5,0.23558570941853205
35.5,0.23518011259535893
36.5,0.2348326996362814
37.5,0.23454243348769013
38.5,0.2343105574680007
39.5,0.23413540999960714
40.5,0.23401825158965878
41.5,0.23395801653665668
42.5,0.2339555241702479
43.5,0.23401004110445459
44.5,0.2341221517562278
45.5,0.2342919535283928
46.5,0.23451971571111319
47.5,0.23480522058042688
48.5,0.23514864002367242
49.5,0.23555082774796446
50.5,0.2360113654941127
51.5,0.2365314450143309
52.5,0.23711091161001438
53.5,0.23774996008681357
54.5,0.23844975927863044
55.5,0.23921007427276905
56.5,0.24003187336790313
57.5,0.24091558628237908
58.5,0.241861780244414
59.5,0.24287129177238886
60.5,0.2439445677733838
61.5,0.2450819806699657
62.5,0.24628596553276386
63.5,0.24755448836160554
64.5,0.24889091814832617
65.5,0.25029459599146126
66.5,0.25176706314747976
67.5,0.25330896705869016
68.5,0.25492109267727187
69.5,0.2566045228934575
70.5,0.2583606270763776
71.5,0.2601898464035343
72.5,0.2620929429087952
73.5,0.2640715724401882
74.5,0.26612649703158076
75.5,0.2682583755844374
76.5,0.27046847433548526
77.5,0.2727583918369728
78.5,0.2751272514634735
79.5,0.27757797529974243
80.5,0.28011051750915616
81.5,0.2827255255340229
82.5,0.2854242598814923
83.5,0.2882070184896175
84.5,0.2910742769133686
85.5,0.29402697480352963
86.5,0.29706524394039346
87.5,0.30018912443100576
88.5,0.30339900015708926
89.5,0.30669435545662826
90.5,0.31007541378316295
