a,cf,epsilon,eta,fic,ficfn,foc,g,gstd,lambda,mu,nuw,rei,reo,rho,ta,tempavg,tempavgstd,tempbot,tempmid,temptop,time,torque,torquestd
-0.0,0.04808246078905026,0.5704289754360363,0.0001843080629599338,6.590137631534994,6.6,0.0,43286295.49099678,9064103.307454264,0.0007556493019742653,8.698805872470132e-06,55.25860498922249,75209.34406672808,0.0,946.4937799541286,8574676673.066259,21.12427876977927,0.07771180218959536,21.201602932122743,21.04284145823972,21.1283919189729,59.86,10.440760174848476,2.186283851730036
-0.0,0.04762505864735625,0.6181085779138649,0.00018031894645837367,6.790461165859423,6.8,0.0,45741242.941350035,7367832.745287592,0.000738613252871906,8.677808698424563e-06,56.53313980736166,77683.02937790602,0.0,946.3956719057048,9148006351.608213,21.247929437646377,0.05570871575284898,21.300870784957915,21.18451746846087,21.25840005951746,59.86,10.978563268476831,1.7683869686141016
-0.0,0.04727127882715056,0.669574726048663,0.0001770506531685045,6.991280942041111,7.0,0.0,47908449.127187826,5618976.463075918,0.0007244094492048928,8.697539206797681e-06,57.64160908448791,79798.97530248907,0.0,946.487871005882,9653143897.651358,21.131726423110194,0.06359248373985506,21.111452548652203,21.166946945448107,21.116779775231006,59.86,11.552197724777173,1.3549077103288032
-0.0,0.046916946841893084,0.7227981107170753,0.0001742826812534705,7.189829797895427,7.2,0.0,49839274.38180959,4970541.482243243,0.0007129155900047763,8.736644141919717e-06,58.5709260305247,81697.90470713252,0.0,946.6697362826117,10118030582.059273,20.902485258818775,0.08692586065913097,20.8581007635389,21.001262679022588,20.848092333892094,59.86,12.128417975015303,1.2095843169177685
-0.0,0.04643759544635253,0.776775694368036,0.00017169635342155934,7.389779652522456,7.4,0.0,51689238.55373155,4608869.065729193,0.0007036454914945479,8.772296547823041e-06,59.34256211815887,83628.66029320814,0.0,946.8345468295498,10601917736.7521,20.694709636261116,0.08572365019457082,20.65017565492095,20.795487254975754,20.638465998886804,59.85,12.683686445706398,1.130940438177618
-0.0,0.04603072213047847,0.8342970811812723,0.00016900529014661562,7.590094204108883,7.6,0.0,53755332.11235946,4864297.600661356,0.0006930334067415026,8.796447330949226e-06,60.25124601785961,85659.75241005282,0.0,946.9456527554805,11123149657.48252,20.554621717546976,0.06499003983234274,20.528204064629882,20.632539388590526,20.50312169942122,59.86,13.264957883214295,1.2003405107668872
-0.0,0.045764914828192824,0.896600066321161,0.00016619264186284582,7.789535427807523,7.8,0.0,56107277.05560502,4028500.3060401934,0.0006803194901186629,8.810799348526986e-06,61.37723069038407,87767.39354703532,0.0,947.011475647017,11677249331.41424,20.471622249559562,0.04158098031256491,20.469347467826665,20.520072036681253,20.42544724416942,59.83,13.891518263489505,0.9974104699532845
-0.0,0.045421656179245026,0.9599085341752723,0.00016328702452157606,7.988743611157595,8.0,0.0,58661919.79736131,4689808.843146463,0.0006678504451500956,8.803976025797639e-06,62.52316905889488,90081.70286552551,0.0,946.9802006148234,12301195637.618166,20.51105916687829,0.04188606844094432,20.541748358631413,20.505049484337103,20.486379657666014,59.86,14.501052712963123,1.1593068464705572
-0.0,0.04499492419046056,1.02424209062319,0.00016023900431469664,8.189094553959231,8.2,0.0,61491104.16364045,4720681.886079634,0.000655391690031314,8.773209964964652e-06,63.71171152045362,92664.69864725546,0.0,946.8387568657724,13016756669.773806,20.68940166798817,0.07960475263276617,20.766864800709456,20.628286254161345,20.673053949094378,59.85,15.092112108557076,1.1586238566142977
-0.0,0.04450420915480134,1.0884704575910396,0.00015729033695131614,8.387413228662087,8.4,0.0,64377582.751771174,6522202.395018622,0.0006440520421000302,8.73390115384333e-06,64.83346617771042,95335.95538095263,0.0,946.6570169506222,13778044944.70914,20.918519172036678,0.09947539941178386,21.01140891181364,20.82163776480199,20.92251083949338,59.86,15.656278104853971,1.586164161308871
-0.0,0.04408182002440399,1.1573539547054632,0.000154285729873176,8.587994318181796,8.6,0.0,67560195.55784887,7489731.071600646,0.0006317040058474375,8.68806535372548e-06,66.10077805690239,98130.86444855678,0.0,946.4436373053402,14597732471.55719,21.187477472131114,0.1187549126437052,21.293777010868915,21.06481175188257,21.20384365364269,59.83,16.25460687028003,1.8019875923649062
-0.0,0.04364455325778477,1.2274363948696811,0.00015135234934861606,8.787105395022596,8.8,0.0,70872647.59407288,7712079.003223337,0.0006198469716305922,8.63611773391195e-06,67.36521786713328,101009.96868566735,0.0,946.1998772527201,15466876717.545935,21.49466829334567,0.13034843230537088,21.600026325837458,21.356500298646427,21.527478255553298,59.86,16.843925469705532,1.8328888274471395
-0.0,0.04332584340636921,1.303227777722459,0.0001485409148678815,8.986293970268974,9.0,0.0,74324587.46240096,6404483.108272396,0.0006075039022666774,8.592803925131377e-06,68.73392274910499,103820.39454929269,0.0,945.9950441949778,16339527775.64778,21.752753286935334,0.09200545190410071,21.83949582135516,21.638943129783886,21.779820909666526,59.86,17.483800027525405,1.5065633832322913
-0.0,0.042964362672879036,1.3806955951382045,0.00014617723288602212,9.186555629802852,9.2,0.0,77356458.32778862,5576367.360987355,0.0005979795920523487,8.574437289821163e-06,69.82868118436087,106361.39779336021,0.0,945.907747353745,17149135161.842121,21.8627318517937,0.05372243256891472,21.91080084126143,21.79853188812677,21.878862825990712,59.85,18.117625373802106,1.3060387843114794
-0.0,0.04267356309204115,1.4630094104613718,0.00014396331798844777,9.386829406850406,9.4,0.0,80387364.90846679,4918017.730454001,0.0005885935367471782,8.565476012430456e-06,70.94220999934862,108793.85788806109,0.0,945.8650585228436,17942497964.514175,21.916509319928753,0.030286370596210827,21.95045878666969,21.891727433096825,21.907341740021863,59.84,18.78731164526492,1.1493887364536084
-0.0,0.04232844726174042,1.546315461528025,0.00014187052773980406,9.587633873392358,9.6,0.0,83362623.0936425,4874671.654952592,0.0005803459845261122,8.556357958221882e-06,71.95040097033504,111239.60838633178,0.0,945.8215581692812,18758281699.32584,21.971307157887317,0.029269282541228077,22.0045328755356,21.948435298594458,21.960953299532267,59.86,19.440307436034168,1.1367818346544663
-0.0,0.042058274885833774,1.6345317064746014,0.00013984479556910584,9.787463426853728,9.8,0.0,86437078.53668366,5255376.343364878,0.0005717590808863341,8.550526572984323e-06,73.03098050222094,113635.55738905567,0.0,945.793703551663,19575039361.56975,22.006394872988892,0.024822050479896267,22.036045154303253,21.997051378155874,21.986088086510094,59.87,20.129216844509237,1.2238568425262122
-0.0,0.04178002460567389,1.7257192938997505,0.00013797507970394104,9.98826390512783,10.0,0.0,89397952.33858837,4859443.807868247,0.0005640800070054592,8.55180106679647e-06,74.0251839625536,115949.63187979817,0.0,945.7997936780873,20380409186.64513,21.998723372553506,0.0201922625093975,21.99968623284257,22.017233171606343,21.979250713213318,59.86,20.8250773791086,1.1319978888890534
-0.0,0.04158891213053557,1.8232817051251606,0.00013624539307457577,10.18860969089392,10.2,0.0,92315381.2202245,4433906.140893348,0.0005563691290682134,8.564730325184007e-06,75.05112003268273,118096.81571063156,0.0,945.8615034549576,21142217017.74676,21.92098774886555,0.04571585039091728,21.906257214560874,21.967444074635498,21.8892619574013,59.84,21.571168021363842,1.0360628217306525
-0.0,0.04148455894861503,1.9283354088600464,0.0001346010676728615,10.389346250208796,10.4,0.0,95273597.32134108,4672528.325372791,0.0005483518564513717,8.586025982468076e-06,76.14841783959675,120124.88291231933,0.0,945.9628592102351,21874599266.699574,21.793301599794372,0.07312271626545712,21.756313729387223,21.881115527290522,21.74247554270576,59.86,22.375652238294627,1.097375052707318
-0.0,0.04136557211550073,2.0361541651363035,0.00013311748365266895,10.589612326707842,10.6,0.0,98037560.73940831,5307818.280965724,0.000541343681694764,8.614902202246914e-06,77.13422674012435,122030.0151159239,0.0,946.0997294708718,22573945962.088707,21.620857790090213,0.09198054253655148,21.563846268129975,21.72777069553553,21.57095640660483,59.86,23.183274458412765,1.2551577890650722
-0.0,0.04114538151347848,2.1426054285021183,0.00013182774451310953,10.790209822920172,10.8,0.0,100437352.74451241,5452931.118282469,0.0005362664939309397,8.64947662140786e-06,77.8645072193434,123844.58325683094,0.0,946.2627599416485,23250279768.363117,21.41542854801313,0.1065133257360133,21.343116215892362,21.546476887987847,21.3566925401576,59.85,23.945908714141325,1.3000680246426197
-0.0,0.040910245855478714,2.2511687169218138,0.00013063308485063876,10.990433918128705,11.0,0.0,102709029.7394148,6089071.100772628,0.0005318246714154556,8.687075417657062e-06,78.51483493054837,125596.69250967706,0.0,946.4390113381696,23912806877.1796,21.19330780133638,0.11831101750962007,21.118874710752138,21.33673621513491,21.12431247812488,59.84,24.705468934260047,1.4646556130488846
-0.0,0.040757705494035734,2.367274052182432,0.00012945777027282315,11.190146985134488,11.2,0.0,105083533.0236307,6206082.724931396,0.0005267646735136625,8.728112648302409e-06,79.2690330003586,127277.72489811547,0.0,946.6301569415011,24557206276.97598,20.952378143864333,0.13081154791766159,20.881483635150865,21.11596505362331,20.85968574281983,59.86,25.52115617530206,1.507242875286666
-0.0,0.04057875210731415,2.486795775218655,0.00012833013994043152,11.392088024052086,11.4,0.0,107406244.61888577,7460424.774453964,0.0005221854044964324,8.769703913218552e-06,79.96417733744396,128960.09861066115,0.0,946.8225937319412,25210697654.24961,20.70977986318745,0.1271175111354364,20.629423039085786,20.869377467681463,20.63053908279676,59.86,26.339811610873593,1.8295601321271668
-0.0,0.040362829725610574,2.60605636963944,0.0001272459098450271,11.59196124937363,11.6,0.0,109668878.4501644,10534422.21233998,0.0005181509926722134,8.807507945800112e-06,80.58679203301827,130659.45198305673,0.0,946.9963936113095,25879496080.480633,20.490640404054744,0.11896700052391028,20.42074440683215,20.6410050192049,20.41017178613373,59.86,27.13204149376404,2.606212305781175
-0.0,0.04017575454469253,2.7353785054519486,0.0001260081191245086,11.798876357560529,11.8,0.0,112391039.25677988,15767037.236201856,0.0005130278880909635,8.834944969087928e-06,81.39153300916455,132578.7001414178,0.0,947.1218743480688,26645364420.93267,20.33240361706989,0.10190799817267099,20.269484477457638,20.466973938543756,20.260752435206946,59.84,27.982718886799635,3.9256205261197032
-0.0,0.03995106196237885,2.863484432603069,0.00012447642658450214,12.002683480875202,12.0,0.0,115900033.22832955,8281393.14798875,0.0005066206574982606,8.825671499257074e-06,82.42089158853732,135010.50147875387,0.0,947.0795245772367,27631804768.860455,20.385810600866098,0.044880222871517904,20.38752257526223,20.42260918373984,20.347300043596775,59.86,28.794542523927657,2.057453483963612
-0.0,0.03972028526020054,2.9840488415072124,0.00012284546899828298,12.192348755637287,12.2,0.0,119817289.18182786,7721969.004740661,0.000499715607925635,8.791861393223485e-06,83.55978005472176,137671.32732591967,0.0,946.9245882346478,28731688554.06528,20.581182004081914,0.09988855131253994,20.62852681547658,20.538629079933344,20.57639011683337,59.86,29.535287777926943,1.9034863693263862
-0.0,0.03945236586266285,3.107692461615465,0.00012131341076682672,12.386383291562229,12.4,0.0,123615785.4155293,8862188.777274055,0.0004936456862050556,8.763772512625724e-06,84.58724031234124,140310.5653453882,0.0,946.7952288051513,29843853537.80007,20.744280406935786,0.022778503240952097,20.75822305063612,20.73074224417836,20.743875925993397,59.84,30.273096330454404,2.1703206726491913
-0.0,0.03924802545683516,3.242000209559478,0.00012001812986145204,12.58407398129603,12.6,0.0,126985482.6783271,9004757.939725064,0.0004883181820860786,8.761937544713574e-06,85.51007891984871,142579.82093296607,0.0,946.7867577601471,30816994498.91434,20.75496017082367,0.021814331653187715,20.75105754000509,20.780099445265876,20.733723527199643,59.87,31.085024468184194,2.204292293753694
-0.0,0.03905353075442545,3.3822228717921106,0.00011880894096489908,12.784100033400186,12.8,0.0,130245337.64449222,9840733.695647256,0.000483367663702392,8.767307525170227e-06,86.38584957947612,144757.43372561457,0.0,946.8115409751567,31765515056.979126,20.7237148141734,0.03457265337155402,20.699923218270143,20.771243019651344,20.699978204603248,59.87,31.922938967471723,2.411949224768085
-0.0,0.03896666924468847,3.5365028616718095,0.00011749475961129609,12.985233505929617,13.0,0.0,134066885.41184841,12353985.788308444,0.0004769594257492145,8.767639152323738e-06,87.54649564286633,147029.35487250754,0.0,946.8130707788468,32770438619.072083,20.721786096424104,0.029816951527727027,20.691514817787905,20.76028698569085,20.71355648579108,59.86,32.86213365401799,3.0281775465140557
-0.0,0.038771284211020315,3.683541809498839,0.00011629769698871943,13.184833806580867,13.2,0.0,137547755.20533016,13095779.089943454,0.000472070641175636,8.766980098225637e-06,88.45313104875352,149300.61427566243,0.0,946.8100304670165,33790711786.417774,20.72561920223245,0.03140358328870828,20.704394591041407,20.76817988057145,20.704283135084204,59.86,33.710178845077365,3.20951115907786
-0.0,0.03856016265461247,3.832023035679714,0.00011510366429128563,13.384000334001334,13.4,0.0,141128579.73747522,9943924.7540146,0.00046731737054432496,8.761831622588598e-06,89.3528229852459,151644.96356249508,0.0,946.7862686991072,34860220765.75751,20.75557674592671,0.03149383763539969,20.737598081275905,20.79360580014321,20.735526356361063,59.87,34.546287723501536,2.4341326632214284
-0.0,0.03828960232298473,3.98018451684715,0.00011392363292153715,13.58616769667619,13.6,0.0,144720426.50455683,8579356.154149016,0.0004631092906850473,8.752245740073708e-06,90.16473460597287,154104.18151493248,0.0,946.7419744265771,36000041158.7559,20.811418851086813,0.02878822706924547,20.7937577200706,20.836343844468896,20.804154988720335,59.86,35.34639529841319,2.09541473415211
-0.0,0.038191779242722254,4.14791235509514,0.00011260360774945564,13.786141997995296,13.8,0.0,149161554.34780517,9038034.290767334,0.0004567467256440095,8.73667668216898e-06,91.42074577393369,156651.09633005844,0.0,946.6698871390719,37199836258.9904,20.902295088988875,0.03568705614028683,20.877072830803108,20.92412882417234,20.905683611990273,59.85,36.2988318727092,2.199427919712952
-0.0,0.038005522845660215,4.310616740719786,0.00011134389777734545,13.98686621012194,14.0,0.0,153453995.22556776,7637564.571149887,0.0004514154122863711,8.717695543260884e-06,92.50044449454504,159277.9576776118,0.0,946.5817557877606,38457894851.32992,21.013389247511743,0.03724600135201944,21.01154961586108,21.001281031035706,21.027337095637407,59.86,37.17785959845122,1.8503806491511037
-0.0,0.03777956442522011,4.471557314616881,0.00011008239667479174,14.186985969600794,14.2,0.0,157874163.5488216,7958526.753454842,0.000446380109033455,8.691807560095577e-06,93.54387761271889,162038.04406166344,0.0,946.4611179043728,39802296944.05376,21.165445619440202,0.04932940078649498,21.1658094281991,21.151775948120353,21.17875148199846,59.86,38.01707524923527,1.9164624765570302
-0.0,0.03755843554731663,4.6363033987762945,0.00010879834097428552,14.387244989979934,14.4,0.0,162573411.97676846,8687826.85057185,0.0004411744279614542,8.660712993764947e-06,94.6476578008413,164915.29936060106,0.0,946.315545597854,41228358697.29645,21.348908986071322,0.05451284951781153,21.35803677161949,21.322287160818767,21.366403025773813,59.87,38.86310059037482,2.0768210785523826
-0.0,0.0373457435775244,4.80542091207132,0.00010751789708722522,14.587682258603442,14.6,0.0,167470412.51472062,9038461.798463704,0.0004359124148394491,8.627497194307681e-06,95.79017450915417,167856.6006509819,0.0,946.1592259441443,42712107258.46034,21.5458915695307,0.06659278883394137,21.549784570794696,21.510015288909756,21.577874848889646,59.85,39.72067591022339,2.1437447154562688
-0.0,0.037146497999770975,4.9794880132930555,0.00010620535373026406,14.788080033416824,14.8,0.0,172738290.30674285,9586473.428678636,0.0004303636594017004,8.588621096317135e-06,97.02521431811361,170932.7596475081,0.0,945.9751863106734,44291945756.81391,21.77777140801792,0.07439242284006965,21.79161700056027,21.723380178572963,21.818317044920406,59.84,40.593818570923474,2.252839034169652
-0.0,0.0369365363092553,5.156312348319297,0.00010487784859330953,14.989386940547845,15.0,0.0,178293325.99439937,10305790.20840719,0.000424808513160795,8.544594008246782e-06,98.29399598772271,174152.37189991525,0.0,945.7653381336173,45976185727.690414,22.042125205705712,0.08119644356946235,22.058212280350524,21.982261361448742,22.085901975316077,59.87,41.46159475572841,2.3965815594912034
