fic,a0,a5,a10,a20,a30,a40,a50,a60,a65,a70,a75,a80,a90,a100
5.10030510827317,3.950628612724689,3.712837554630909,3.9807158387181483,4.069897596291654,4.283346377200622,4.468128375830053,4.89884105627379,5.2301145655330945,5.483250915654175,4.874291747281064,3.0460617609539455,2.9292149415182283,2.926738948691505,3.049933543215882
5.3003067612687795,4.221543490145594,4.0066233691040996,4.284634028522712,4.402366522693469,4.604880841463195,4.793359248820595,5.242407079669514,5.586144962447374,5.834007972367769,5.1961205411126095,3.22016556105077,3.1023413293018822,3.159297090222993,3.2839584645726028
5.5003706149401115,4.524029195219619,4.324865118819967,4.617941483475545,4.74322149237799,4.934970342870093,5.131216507258772,5.580481740881081,5.945953494295276,6.195142457086155,5.473033135666359,3.4106950727480836,3.3104921301644357,3.3980186829385155,3.497756239783768
5.700205973079091,4.805256507893734,4.675811976876074,4.954450185396034,5.096562630368631,5.269051753416751,5.470597301237892,5.96067645208109,6.3007717450553855,6.575479378852923,5.716773135939312,3.585705415428535,3.580887459364539,3.638159259748592,3.7533638355056254
5.899500276472242,5.108886046350959,5.004578638578705,5.3073706958538205,5.460734011922184,5.6458195910641455,5.844268794210807,6.347056694867907,6.695566072328723,6.971661193099135,6.034252225720351,3.812630373831393,3.829233186183539,3.8944880885569697,3.9985520592794117
6.100108752584418,5.4350412501149075,5.338582367502881,5.675849509121571,5.843734170992504,6.0084690014592965,6.205557240717789,6.749734696249574,7.089332764812932,7.381005958170183,6.134464529794799,4.037309102889405,4.1028419258582,4.159699382333465,4.259243648092566
6.300275267621266,5.768649394293012,5.6993078205657905,6.048091856911744,6.237319580425774,6.400340389519661,6.609333954086148,7.139444804366922,7.513070579555836,7.793901443158372,5.528964878865406,4.266294647419258,4.361302553299718,4.46986240098781,4.535667702115002
6.500081054823002,6.089920944283911,6.039680481651483,6.439410852527252,6.639568348477051,6.782179021654828,7.016188476763639,7.5799540913125725,7.935186381262668,8.22019088561428,5.690027397887476,4.555928457641165,4.6289486306157475,4.709984539454518,4.815034759548826
6.700143626570933,6.404480483215353,6.433445815573128,6.8404116806501625,7.043062218366158,7.204276115628375,7.427116232344426,7.971653818851876,8.349990252942014,8.655031122454638,5.362200607301486,4.777001964112563,4.910839690107084,5.002513492034461,5.100550985225209
6.901044741189459,6.785855954736797,6.789714303742101,7.268049211462185,7.475783592109537,7.598300361184828,7.858089413161229,8.410276391824478,8.78236273702419,9.078423907137175,5.498362196243216,5.0740933190919355,5.167258740345106,5.29932416440345,5.390924868413066
7.101075626740962,7.123775998367056,7.179070854572577,7.648524179919473,7.855357715677134,8.004890404544144,8.296659867966916,8.832310306080757,9.205755209894056,9.534769556701624,5.614634328777265,5.323822495060379,5.47836831599664,5.587340192435708,5.689398594863488
7.3002283200670135,7.496416555932194,7.58165517562468,8.042327270109075,8.293166916093202,8.42667876782214,8.724396959033566,9.275696662507771,9.652673250929903,9.983136089666875,5.8482041468240835,5.650283331522263,5.77592549573836,5.9158137596440135,6.005083357171891
7.500293117630872,7.859963987656286,7.968061284396537,8.435796949140318,8.718214669837241,8.861295159852231,9.167703923917005,9.740876669617968,10.11217681138082,10.442394035592493,6.117172697808102,5.930237961416841,6.116151650506366,6.240772929433534,6.322026120838823
7.701062283257025,8.23491253963089,8.381722128327242,8.856516354217161,9.136760775433821,9.289933116848,9.623354069565314,10.17913230755791,10.571661701029033,10.890983434463479,6.443380450658508,6.281258480718417,6.415136060571317,6.569479697892004,6.632684559690316
7.901193795214263,8.63016682686235,8.788888353773697,9.271562219649747,9.580208872189539,9.730874347746397,10.066178738853319,10.644030616684027,11.04575255708522,11.373586520484691,6.745042110060056,6.614339872312995,6.6927297850111565,6.8946335078550005,6.953410511523173
8.100876426384662,9.028858772574672,9.201300994476323,9.708521046028077,10.033192958078496,10.172631858874352,10.545419765738016,11.12746781426618,11.53135325256237,11.85870607027837,7.053981022601403,6.990620707507171,7.037980651938251,7.233844211937811,7.274827641675805
8.300489596251902,9.441262118012597,9.65027158834769,10.166295302006452,10.484724245826428,10.673987652334223,11.054490115016517,11.614463950285096,11.997385692949958,12.339732100279182,7.368207855462058,7.3212199456365425,7.375843976528404,7.560925273278767,7.628575069095929
8.500050410806253,9.85959177156389,10.102559766530199,10.627766319903758,10.957302854710793,11.135632227258585,11.539606499307837,12.095278676436994,12.483117435134798,12.840895088272715,7.671967142669431,7.724633528179672,7.724784782352543,7.929171110545789,7.9835777371656
8.700039409553028,10.267015321408817,10.554089497875625,11.079863173037811,11.439086757811962,11.620861596615258,12.021842099862047,12.597859893944932,12.98683359165616,13.322248916656342,8.002422323970833,8.054196981812542,8.05960010690002,8.289121890457256,8.338737871989823
8.899886209286237,10.700654154243654,11.018155772408223,11.571480505692906,11.918577178555383,12.118510176072368,12.511358633064667,13.106244393069383,13.502079494128314,13.810304319537494,8.368034325676433,8.400085713074747,8.446214882841971,8.629141581039194,8.691044430790765
9.10068723375018,11.12453879251224,11.487849615293518,12.053836075016354,12.41847155415419,12.62515416753248,13.060901850711083,13.623659712118851,13.999215979552307,14.342348051545105,8.745247037169307,8.814672044964974,8.745788444177998,9.039271060242843,9.053387342067959
9.301039927907933,11.579030831882386,11.960627582050863,12.540301146786847,12.924167693939687,13.140891379586488,13.552431687191918,14.135679318624987,14.528235761116527,14.854796373461012,9.074799515124521,9.221881583958393,9.124689607897727,9.378544354969407,9.428285582571254
