r,u,umax,umin,unorm
0.005,-7.227720582677522,0.518312401895666,0.6598648352846953,0.5751637290100808
0.015,-6.814552978794614,0.433936554222723,0.6827293828440376,0.5422848957683813
0.025,-6.606010348653715,0.42019786694387656,0.6658553958606908,0.5256896005522269
0.035,-6.497285642759376,0.40598319690054324,0.6515858133539602,0.5170375633625786
0.045,-6.4077398624273245,0.40113584311627526,0.6522675054358519,0.5099117365761451
0.055,-6.353874323543946,0.3788616282041412,0.6761780019857406,0.5056252531883458
0.065,-6.292482055508281,0.38278097465627553,0.6638792912607472,0.5007398117255966
0.07500000000000001,-6.232950731064706,0.3657455763623051,0.6922060565909455,0.4960024594485954
0.08499999999999999,-6.187063824993608,0.35430605006359056,0.7009188256051947,0.492350895486391
0.095,-6.132186369396485,0.37882493538496204,0.6727909760153878,0.4879838863250969
0.10500000000000001,-6.085982456976368,0.3554108957011223,0.6532995044705868,0.48430709579917364
0.11499999999999999,-6.04401304097936,0.36877328649969066,0.6466023430816054,0.48096727579187165
0.125,-5.9924022950465865,0.3668704829249757,0.6433426547972536,0.4768602231259413
0.135,-5.982077572277356,0.3673312529461003,0.6386922796907114,0.476038607793553
0.14500000000000002,-5.938072160865072,0.3493804380404278,0.6469145313350168,0.4725367684190243
0.155,-5.91356360768436,0.35092436589051734,0.6399292687980674,0.4705864397256538
0.165,-5.896067573555499,0.35700934805544976,0.6313028238012817,0.4691941495675974
0.175,-5.8614943206053685,0.35032293797380026,0.619769664437901,0.4664428975147076
0.185,-5.825938744978624,0.3560261858930117,0.6135093680598137,0.46361347470697056
0.195,-5.795360517758041,0.3442502904411146,0.6066053949352728,0.4611801367003991
0.20500000000000002,-5.775537358357528,0.3231065706147007,0.614886074207424,0.45960265979725395
0.215,-5.751544103281713,0.3546635442808719,0.6211153325791812,0.4576933372241636
0.225,-5.721090887755375,0.3479186946794292,0.6166508163697253,0.4552699473321339
0.235,-5.6998530150871645,0.3139653453715702,0.5970760833728712,0.45357989112418284
0.245,-5.6888405992141395,0.3237803847434876,0.601794194798395,0.4527035509133951
0.255,-5.671716522086571,0.3285199913955086,0.5923644771956944,0.45134086015302544
0.265,-5.655893273274461,0.32034091918072216,0.5854138930662623,0.45008168602091525
0.275,-5.622238312265314,0.3203498810390387,0.5783737030639824,0.4474035093188299
0.28500000000000003,-5.589046678317141,0.32028054860642985,0.5796002111636077,0.4447622030127556
0.295,-5.570128702154577,0.3208489105595239,0.5882631688113027,0.44325675830297223
0.305,-5.564085945061396,0.3361721976561832,0.5824939769181803,0.44277589097233055
0.315,-5.541987095325353,0.33189905019549937,0.5795185350731271,0.44101732038626246
0.325,-5.511855649253438,0.3233280761524457,0.5758425138811413,0.4386195360938364
0.335,-5.495135875253556,0.31829162549986395,0.5695009252332356,0.43728901875410614
0.34500000000000003,-5.471033928311104,0.31796396373616,0.5722294356465,0.43537104675709115
0.355,-5.467034095086889,0.3228898662767156,0.5742680325062459,0.4350527501425027
0.365,-5.441662887946891,0.3113924413906849,0.5731997951822224,0.43303377362823314
0.375,-5.44003662479817,0.3104471394141799,0.5669139271292034,0.43290435971878954
0.385,-5.426665065359775,0.30568179019188424,0.5508428159068169,0.43184028482805575
0.395,-5.401225159474065,0.30804991074932503,0.5442282288664538,0.4298158414413041
0.405,-5.3858506232475944,0.3147365143219494,0.5398918021514884,0.42859237472220996
0.41500000000000004,-5.367078715391811,0.2899495846872146,0.5400320356495573,0.4270985537589532
0.425,-5.345821144397342,0.2989147251588179,0.550102629194873,0.4254069300080049
0.435,-5.322583002486119,0.2990700907975309,0.5472319416329074,0.42355769743128385
0.445,-5.306512743831575,0.30178369440001873,0.5475545659014148,0.42227886688046584
0.455,-5.302915503993146,0.3010901106512757,0.5471056319225467,0.42199260762957935
0.465,-5.2915945847734625,0.2999509589947824,0.54950561630182,0.42109171750250096
0.475,-5.277857853400622,0.26321778680404456,0.5476807680997037,0.41999858315254446
0.485,-5.262355753980748,0.26265510105911577,0.5516113852607271,0.41876496527705703
0.495,-5.24657166974534,0.2970331019819654,0.5534409934384734,0.417508907762935
0.505,-5.227868330019987,0.27814606702332134,0.552869736648613,0.4160205432781265
0.515,-5.198459952834734,0.2733764831217703,0.5511814719898509,0.4136802989794546
0.525,-5.184096835193076,0.2825769367805263,0.5380870421716851,0.41253731839401436
0.535,-5.181866119607084,0.28702015454715807,0.5216720005188616,0.41235980368794295
0.545,-5.164114630356223,0.2884959297721975,0.5119778342509529,0.4109471850571844
0.555,-5.145699236093116,0.2891547664794076,0.5153360067721238,0.4094817345442046
0.5650000000000001,-5.124329367509293,0.29216054369647204,0.5375817815388778,0.40778117443503475
0.575,-5.120211819518448,0.29297478929098286,0.5434932859364167,0.40745351037695426
0.585,-5.109097913053454,0.2971847242112063,0.5390507978983868,0.4065690938014719
0.595,-5.099487924546108,0.2986418572149413,0.525918378126689,0.40580435521447167
0.605,-5.089389450264451,0.28554341134550726,0.5258427921589369,0.40500074416466564
0.615,-5.063823550905215,0.2809638760086216,0.5234712119947357,0.4029662745358594
0.625,-5.043885686630553,0.28482367374311507,0.5171763859140039,0.4013796697088555
0.635,-5.027589064276266,0.28114345734505186,0.5139521287039498,0.40008282570716225
0.645,-5.01963140188284,0.2806954927858652,0.5182445544017555,0.39944957505447715
0.655,-5.006601015312079,0.27665447897916634,0.5181054160248058,0.39841264983790964
0.665,-4.984620455043893,0.2764405133937752,0.5253216898371783,0.3966634924286041
0.675,-4.977509260830491,0.2855201977501522,0.5258707013067923,0.39609760157342944
0.685,-4.967407282682769,0.2593951303566032,0.5108281974599255,0.3952937116948213
0.6950000000000001,-4.945684193621635,0.2570803648329606,0.5061613771701896,0.3935650431931688
0.7050000000000001,-4.936768087683103,0.2939275571030851,0.5015936245721104,0.39285552202654467
0.715,-4.936558125400069,0.2816275114471285,0.5027405558034539,0.39283881375894075
0.725,-4.922598886598588,0.2983918104229356,0.5012436678674494,0.39172797283041283
0.735,-4.902480141599813,0.2908371000861775,0.5419278609734374,0.39012697397273266
0.745,-4.888744407847602,0.26317834227404774,0.5459580235412775,0.38903391901090334
0.755,-4.868352699652601,0.2606106147295786,0.5458785741668101,0.3874111984322424
0.765,-4.861090978399682,0.27668343776430443,0.5431155662386274,0.38683332901586365
0.775,-4.851675020578993,0.2748174070660601,0.5296475887912386,0.3860840309003099
0.785,-4.832918780461339,0.27100086553495195,0.5011777015675333,0.38459145673603834
0.795,-4.8191560638851545,0.2586560097479658,0.490859230099893,0.3834962545493021
0.805,-4.810907096246801,0.2714823512684633,0.5271034640913765,0.38283982256177757
0.8150000000000001,-4.797841960986701,0.2582626847161616,0.5097345051901789,0.38180013213237296
0.8250000000000001,-4.787342053759647,0.2634351374972261,0.482228187287751,0.380964576063777
0.835,-4.773224009578177,0.25218806101688857,0.49155294553469303,0.37984109780464165
0.845,-4.760582907177947,0.25755079800008585,0.4916395125829543,0.37883515083807795
0.855,-4.744855562236701,0.25285381925473244,0.4822708475123077,0.3775836084935226
0.865,-4.713549102326045,0.24739190152541493,0.4753779014161952,0.37509231957077804
0.875,-4.70331894475692,0.2495542278240505,0.470426616088632,0.37427822949791045
0.885,-4.693528459066906,0.2443044622987114,0.4751149116408799,0.3734991274014923
0.895,-4.6671153103234735,0.24294562388723356,0.4863523805206187,0.3713972358089229
0.905,-4.638164735184344,0.24465018363975363,0.47828254525646685,0.36909342223955005
0.915,-4.603502784841207,0.2422376396031869,0.4931057683134697,0.366335111872392
0.925,-4.561542797632476,0.2337661396458963,0.47373402717226515,0.3629960421842209
0.935,-4.509260706979725,0.20816167610007077,0.47979755844448857,0.35883556560293894
0.9450000000000001,-4.428892306588477,0.22309868999352667,0.48835323772621797,0.35244005150761104
0.9550000000000001,-4.331800658849785,0.21353447488146496,0.5020658342799609,0.34471374367233615
0.965,-4.266114741437195,0.19644480268475925,0.46643415909831987,0.3394866244484663
0.975,-4.197288598270707,0.2038348751256289,0.48888153268966034,0.3340096139990178
0.985,-3.8661227420387023,0.1736104743583108,0.41506167788462356,0.30765627249772604
0.995,-3.5715750268786204,0.20965420253168682,0.39956938245407675,0.2842169100756507
