alpha,nueff
0.3656762543541001,1.6196648875197657
0.3670337937335304,1.621065661676959
0.3683827594821284,1.6169883114939374
0.3697118252544583,1.6159605780229447
0.3710342996526066,1.6191865810698376
0.3723818598700073,1.621044752411417
0.3737441670529108,1.6214079458392618
0.3750951933370466,1.6235715897098608
0.3765015660610973,1.6276555554090266
0.37802660485963635,1.6326618240405286
0.3795603364693001,1.6387184314902934
0.38100328279275214,1.6441596632746918
0.3823376259326893,1.6448985603187276
0.38362724826106465,1.6433508041032905
0.38498455029135453,1.6461002108749545
0.38647838098698395,1.6546199464447453
0.388102517279413,1.6658070104848461
0.38964753639983046,1.669965822530754
0.3910153685518844,1.6663154822767028
0.39230398346461,1.666122212525736
0.39362109296197184,1.6720580183991045
0.3950590888764094,1.68023065117075
0.39657710401418933,1.6878339379765515
0.3980806325350159,1.6936447048119248
0.3995418924970887,1.6995197800573172
0.4009731196274349,1.7051384940126215
0.40241983743395954,1.7069475690191105
0.40389937399876685,1.7109543876830848
0.4054070171466845,1.7255275690298522
0.40693613713824656,1.7366340736422419
0.4084797752938932,1.7368533025204673
0.41003034525942905,1.7414230497313974
0.4115704706596539,1.749631359151236
0.4130815710886837,1.7523652257314004
0.41456346836115715,1.7528784103954431
0.41604204494906805,1.7555610538269144
0.417563008734385,1.7626547592370287
0.4190660411033926,1.7768353978370561
0.4204357484315272,1.797227065008362
0.4215891358902658,1.8091531741818858
0.4224795092494361,1.8008059382997361
0.42315001913274186,1.7790125786343405
0.4236611337190495,1.7542292674171966
0.4240734120194987,1.7368300334201687
0.4244695098613586,1.7329545800859916
0.4249828577632112,1.7392050416121154
0.4257539907619596,1.750891854780172
0.4269205472553702,1.7633541445887295
0.4284253068199547,1.7720936962778864
0.42991865292056786,1.773453316341425
0.43132475650859575,1.7719772067778896
0.43276545778583303,1.7767580837803416
0.4342545199791035,1.7892336268874
0.43575492757606943,1.8037484440638918
0.4372083400612898,1.8049411443528163
0.4386288635267669,1.7952981547335451
0.44009916838352137,1.7948250696277577
0.44162639653186375,1.8043100175059898
0.44316939386936766,1.8150291316112266
0.44466771413063666,1.8215111755431728
0.446126584657382,1.822840299283071
0.44762147090731597,1.8227037783153428
0.44915268227310745,1.826097267929043
0.4506803486481051,1.8351819691347742
0.4521700441213033,1.8421964520937724
0.45365956234645455,1.8435034120158302
0.4552481562844004,1.842486396536767
0.45688688318590126,1.8444683906560393
0.45848192586984743,1.8530315547228193
0.46452260091629705,1.8747455822606858
0.46608593313781627,1.8752359664875866
0.46764762826290923,1.8854518494205963
0.4692067956916802,1.8979506066705327
0.4707735239629528,1.902583317292827
0.4723512055361064,1.9012022465818215
0.4739409590507288,1.8976039988588034
0.4755415554320816,1.8957859470977338
0.4771459134949939,1.900913993636702
0.4787477965494455,1.9136796157065799
0.48034723103512944,1.9272237077125056
0.4819638892470884,1.9261911238378193
0.4835976712430577,1.9104947648752784
0.48520703525382913,1.9086931582947497
0.4868085456590153,1.9178796978309505
0.4884290814287967,1.924369953823139
0.4900476972973171,1.9295037182189427
0.4916643497215609,1.9257597789472283
0.4932921925028038,1.9055662835750895
0.4949279837074488,1.8826723037607098
0.4965682422021347,1.8646135507855937
0.4982183361948735,1.8512982203240802
0.49990294610116076,1.8396921887762903
0.5015826973870171,1.7124676678939021
0.503184495570454,1.345670144057192
0.5047371194061737,0.908810004156948
0.5063463513514628,0.6049763578952319
0.508086093441023,0.5432739991625505
0.5095677204979284,0.5683663900266182
0.5105720602859437,0.5607962327622077
0.5112745024696695,0.5357308847266845
0.5118659170239533,0.5153102274963342
0.5124248060456857,0.506687753056184
0.5129489563943908,0.5065863397380013
0.5134343870230931,0.5115813545104813
0.5138771168848169,0.5182626806712409
0.5142777292190264,0.5234157630924955
0.514683517805473,0.5259978666572191
0.5151691479667223,0.52625104610386
0.5158096316879587,0.5244387325358751
0.5166797180687416,0.5208324480172343
0.517784320468244,0.517033091097354
0.5189649670850499,0.5177445259798434
0.5200787071563435,0.5259927763153635
0.5211527890225326,0.535446267061716
0.5222553286537778,0.5381960495078622
0.5233910376059479,0.5380544660107682
0.524526102497923,0.5456993253556582
0.5256514680738243,0.5589783267437181
0.526785800492474,0.5614732088510161
0.5279442071269943,0.5461305913054212
0.5291321391698318,0.5256481119002788
0.5303479282689654,0.5128889805411584
0.5315725537794972,0.5151694659609697
0.5327908264760974,0.5344984104872701
0.534010816800219,0.557941681915826
0.5352403916707023,0.5727288391256712
0.5364676759638944,0.5800663927547889
0.5376847885790149,0.5841653365288401
0.5389219631429807,0.5870044191633349
0.5402074498100866,0.5896518836670455
0.5415102536922063,0.5917060984495395
0.5427878276246066,0.5920851939503055
0.5440220869126131,0.5887896039775542
0.5452143902775716,0.5808489255295602
0.5464171060550984,0.5719879198775206
0.5476802575816712,0.5664166865775867
0.5489832631209586,0.5654471244254577
0.5502889404517294,0.5686388868165049
0.5515807979440407,0.5718714515076976
0.5528519020913882,0.5720097700900494
0.554109178046061,0.5724140986140942
0.5553655914530706,0.5757189408386626
0.556643892266777,0.5781489428227138
0.5579566274008072,0.578021677605921
0.5592816260719694,0.583239469995325
0.5605993443048801,0.5973066535255653
0.5619092556062987,0.6104259403116565
0.5632125684160285,0.6121141918686925
0.5645098049198484,0.5943153143623668
0.5658223057576988,0.5663098264303734
0.5671965921223354,0.5580312339398804
0.5686237723060419,0.5720394352099113
0.5700399008509276,0.5838516348280467
0.5713995881046668,0.5812105280517657
0.5726830772076904,0.5634299574639647
0.5739431435723552,0.5507886150381968
0.5752433732664876,0.5619045434189004
