bins,hist
-89.1,0.006870697804629688
-87.30000000000001,0.006619330811777382
-85.5,0.006745014308203535
-83.69999999999999,0.007003774447904438
-81.9,0.007109742886067665
-80.1,0.0072009250305336975
-78.30000000000001,0.0074596851702346005
-76.5,0.007319215380111253
-74.69999999999999,0.0077701973378756835
-72.9,0.0072699277344539385
-71.1,0.007531152256437706
-69.30000000000001,0.007629727547752337
-67.5,0.007696265869389711
-65.69999999999999,0.007590297431226484
-63.9,0.007353716732071373
-62.1,0.007255141440756743
-60.3,0.007186138736836503
-58.5,0.007341394820657044
-56.7,0.0075114371981747806
-54.9,0.007247748293908146
-53.099999999999994,0.007067848387258947
-51.3,0.007324144144676984
-49.5,0.007141779855744919
-47.7,0.007230497617928086
-45.9,0.007223104471079489
-44.099999999999994,0.006831267688103836
-42.3,0.006589758224382993
-40.5,0.00677705127788079
-38.7,0.006814017012123776
-36.9,0.006611937664928785
-35.099999999999994,0.00644682405197678
-33.3,0.006175742000861548
-31.5,0.006133847502052831
-29.7,0.006200385823690206
-27.9,0.0058726229800690624
-26.1,0.0060180215347581415
-24.299999999999997,0.0058627654509376
-22.499999999999993,0.0056311135163482195
-20.699999999999996,0.005596612164388099
-18.9,0.005574432723842308
-17.1,0.005258991791635493
-15.299999999999997,0.0054413560805675575
-13.499999999999993,0.0051554877357551316
-11.699999999999996,0.005160416500320863
-9.899999999999999,0.004975587829105932
-8.100000000000001,0.004771044099628076
-6.299999999999997,0.004716827689405029
-4.499999999999993,0.00500023165193459
-2.6999999999999957,0.004721756453970761
-0.8999999999999986,0.004623181162656131
0.8999999999999986,0.004440816873724066
2.700000000000003,0.004398922374915349
4.500000000000007,0.0042584525847920015
6.300000000000004,0.004231344379680479
8.100000000000001,0.004076088295859937
9.899999999999999,0.004081017060425668
11.700000000000003,0.004063766384445608
13.500000000000007,0.0040341937970512195
15.300000000000004,0.004041586943899817
17.1,0.003891259624645006
18.9,0.003930689741170858
20.700000000000003,0.004019407503354025
22.500000000000007,0.0037286103939758674
24.300000000000004,0.0037458610699559274
26.1,0.003780362421916048
27.9,0.003723681629410136
29.700000000000003,0.003662072072338492
31.500000000000007,0.0037606473636531217
33.300000000000004,0.0036522145432070293
35.1,0.0038419719789876913
36.9,0.0038616870372506175
38.699999999999996,0.004019407503354025
40.5,0.003844436361270557
42.30000000000001,0.003967655475413844
44.10000000000001,0.003915903447473663
45.900000000000006,0.0037138241002786726
47.7,0.004061302002162742
49.5,0.004174663587174566
51.30000000000001,0.004255988202509136
53.10000000000001,0.004433423726875469
54.900000000000006,0.004443281256006932
56.7,0.004359492258389497
58.5,0.0046182523980904
60.30000000000001,0.004623181162656131
62.10000000000001,0.004946015241711544
63.900000000000006,0.004953408388560141
65.7,0.005135772677492206
67.5,0.005261456173918358
69.30000000000001,0.005623720369499622
71.10000000000001,0.005840586010391808
72.9,0.005776512071037299
74.7,0.005850443539523271
76.5,0.005833192863543211
78.30000000000001,0.005995842094212349
80.10000000000001,0.005840586010391808
81.9,0.006141240648901428
83.7,0.006286639203590507
85.5,0.006434502140562451
87.30000000000001,0.006496111697634095
89.10000000000001,0.006823874541255239
