centers,pdf
-89.0909090909091,0.005421993717478674
-87.27272727272728,0.005491239286851188
-85.45454545454545,0.005557203075684721
-83.63636363636364,0.005625135932841643
-81.81818181818181,0.005604296626419109
-80.0,0.005713087651286353
-78.18181818181819,0.005721620280687706
-76.36363636363637,0.005857157816947652
-74.54545454545455,0.005907533148221021
-72.72727272727272,0.005940350953610838
-70.9090909090909,0.006015175549899622
-69.0909090909091,0.006078185736248071
-67.27272727272728,0.006171224214528204
-65.45454545454545,0.006264426781835285
-63.63636363636364,0.006299870011656288
-61.81818181818181,0.006396026181448453
-60.0,0.006433930746673692
-58.18181818181819,0.0064467296907757205
-56.36363636363636,0.006578493179415837
-54.54545454545455,0.006605239690808538
-52.727272727272734,0.006667101253968344
-50.90909090909091,0.006716492051080019
-49.09090909090909,0.006734870022098317
-47.27272727272727,0.006764898314029999
-45.45454545454545,0.006840379266426579
-43.63636363636364,0.006854490922744201
-41.81818181818182,0.006810843241575743
-40.0,0.0068449737591811536
-38.18181818181819,0.006822985829569976
-36.36363636363636,0.006797880208446766
-34.54545454545455,0.006804771947578628
-32.727272727272734,0.006679243841962576
-30.90909090909091,0.006723711968265779
-29.090909090909093,0.006610982806751756
-27.272727272727277,0.006551582578996186
-25.454545454545457,0.006543706305702631
-23.63636363636364,0.006475937537572658
-21.81818181818182,0.006403410187661161
-20.0,0.006316278914351196
-18.181818181818187,0.006277061636910364
-16.363636363636367,0.00619173534289684
-14.545454545454547,0.006058495053014181
-12.727272727272734,0.006077201202086377
-10.909090909090914,0.006008940166875557
-9.090909090909093,0.005875043520885102
-7.272727272727273,0.005829754949447154
-5.454545454545453,0.005705375467019746
-3.6363636363636402,0.005606922050850294
-1.8181818181818201,0.005576729669891662
0.0,0.00557164291005624
1.818181818181813,0.0054733535829137375
3.636363636363633,0.005346020498001246
5.454545454545453,0.005240675342699933
7.272727272727266,0.005211467495902995
9.090909090909086,0.005154036336470815
10.909090909090907,0.00505246522878933
12.72727272727272,0.005011771150105956
14.54545454545454,0.004960411284670892
16.36363636363636,0.0048711468540105895
18.18181818181818,0.004852440704938394
20.0,0.004768919390221308
21.818181818181813,0.0047470955496370796
23.636363636363633,0.004718544058947938
25.454545454545453,0.004712144586896924
27.272727272727266,0.00464470399682085
29.090909090909086,0.004658815653138471
30.909090909090907,0.004611393924350185
32.72727272727272,0.004630756429530177
34.54545454545454,0.004633545942988312
36.36363636363636,0.0045764429616100295
38.18181818181818,0.0045496964502173285
40.0,0.004579724742149011
41.81818181818181,0.004518355446070052
43.636363636363626,0.004584975591011382
45.45454545454544,0.004618449752508995
47.272727272727266,0.00457988883117596
49.09090909090909,0.004592687775277989
50.90909090909091,0.004604502185218323
52.72727272727272,0.0046000717814906975
54.54545454545453,0.004519175891204798
56.36363636363636,0.004640601771147122
58.18181818181819,0.004657667029949827
60.0,0.004681131760803547
61.81818181818181,0.004686218520638968
63.636363636363626,0.004761371294981651
65.45454545454544,0.004759238137631312
67.27272727272727,0.004859332444070255
69.0909090909091,0.0048680291624985566
70.9090909090909,0.004890673448217531
72.72727272727272,0.004940392423383104
74.54545454545453,0.004999628562111724
76.36363636363636,0.005027851874746967
78.18181818181819,0.005035071791932727
80.0,0.005085447123206096
81.81818181818181,0.005211795673956893
83.63636363636363,0.005292527475215844
85.45454545454544,0.005256591978313994
87.27272727272727,0.005405748903810714
89.0909090909091,0.005444638003197648
